"","MIR1199","HAS2","GRHL2","ESRP1","TGFB","MIR129","SNAIL1","TWIST1","ZEB1","MIR200","HA","CD44s","CD24","MIR340","MIR190","MIR34"
"MIR1199",0.157429689692554,0.157429689692554,0.157429689692554,0.157429689692554,0.139450939551478,0.0331518643054501,0.0269334161951018,-0.0468475669374944,-0.15823397923679,-0.128565669810069,-0.159213886803854,-0.159213886803854,-0.159213886803854,-0.157429689692554,-0.157429689692554,-0.161069611423683
"CD44s",0.157429689692554,0.157429689692554,0.157429689692554,0.157429689692554,0.139450939551478,0.0331518643054501,0.0269334161951018,-0.0468475669374944,-0.15823397923679,-0.128565669810069,-0.159213886803854,-0.159213886803854,-0.159213886803854,-0.157429689692554,-0.157429689692554,-0.161069611423683
"CD24",0.157429689692554,0.157429689692554,0.157429689692554,0.157429689692554,0.139450939551478,0.0331518643054501,0.0269334161951018,-0.0468475669374944,-0.15823397923679,-0.128565669810069,-0.159213886803854,-0.159213886803854,-0.159213886803854,-0.157429689692554,-0.157429689692554,-0.161069611423683
"HAS2",0.159213886803854,0.159213886803854,0.159213886803854,0.159213886803854,0.137615190759207,0.0334258369081899,0.0252304833663412,-0.0484000783530195,-0.157429689692554,-0.130040906901744,-0.255905998763142,-0.155905998763142,-0.155905998763142,-0.159213886803854,-0.159213886803854,-0.161807229969521
"MIR200",0.154074674888157,0.154074674888157,0.154074674888157,0.154074674888157,0.132295907145384,0.0435874621811236,0.0586285742283997,-0.0845424007669613,-0.154795110663943,-0.21810097758147,-0.155441763495752,-0.155441763495752,-0.155441763495752,-0.154074674888157,-0.154074674888157,-0.0631335820101808
"MIR190",0.080218893333236,0.080218893333236,0.080218893333236,0.080218893333236,0.0158645670908169,0.0116597431560015,-0.00954552006010391,-0.0568612802237796,-0.0808187219536302,-0.0846519341571474,-0.0809707730324841,-0.0809707730324841,-0.0809707730324841,-0.080218893333236,-0.080218893333236,0.00324778557825911
"SNAIL1",0.0804214878797741,0.0804214878797741,0.0804214878797741,0.0804214878797741,0.116857456102387,0.0105128587490046,-0.110147214973471,-0.0584035622522002,-0.0807144763622958,-0.0846394842617866,-0.0808187219536302,-0.0808187219536302,-0.0808187219536302,-0.0804214878797741,-0.0804214878797741,0.00298842690585182
"GRHL2",0.0280412683102849,0.0280412683102849,0.0280412683102849,0.0280412683102849,0.0265629707961504,0.0410792199343284,0.0392556804774095,-0.0496479394274967,-0.0290999361532492,-0.0237440737075105,-0.0302068734058263,-0.0302068734058263,-0.130206873405826,-0.0280412683102849,-0.0280412683102849,-0.0271005589038143
"MIR129",0.0212447279767603,0.0212447279767603,0.0212447279767603,0.0212447279767603,0.0173188937230306,-0.104696462084661,0.0132991561598152,-0.0467091347471094,-0.020518093048171,-0.0160510336626105,-0.0197544150110375,-0.0197544150110375,-0.0197544150110375,-0.0212447279767603,-0.0212447279767603,-0.0109580682897197
"TWIST1",-0.020518093048171,-0.020518093048171,-0.020518093048171,-0.020518093048171,-0.0175724862843154,0.105088824104018,-0.0144656169804547,-0.0557490242487065,0.0208138480934041,0.0151579015406517,0.0212447279767603,0.0212447279767603,0.0212447279767603,0.020518093048171,0.020518093048171,0.0109580682897197
"ZEB1",-0.15823397923679,-0.15823397923679,-0.15823397923679,-0.15823397923679,-0.137857443616518,-0.0348034691667776,-0.0260867864328094,0.0478759246813399,0.0579385733082987,0.129717196039277,0.157429689692554,0.157429689692554,0.157429689692554,0.15823397923679,0.15823397923679,0.160905107676653
"TGFB",-0.0808187219536302,-0.0808187219536302,-0.0808187219536302,-0.0808187219536302,-0.116386141296602,-0.0114397695528338,0.00996334735815405,0.0587530532110211,0.0804214878797741,0.0850447071343666,0.080218893333236,0.080218893333236,0.080218893333236,0.0808187219536302,0.0808187219536302,-0.00290738233133584
"MIR34",-0.0808187219536302,-0.0808187219536302,-0.0808187219536302,-0.0808187219536302,-0.116386141296602,-0.0114397695528338,0.00996334735815405,0.0587530532110211,0.0804214878797741,0.0850447071343666,0.080218893333236,0.080218893333236,0.080218893333236,0.0808187219536302,0.0808187219536302,-0.00290738233133584
"ESRP1",-0.159213886803854,-0.159213886803854,-0.159213886803854,-0.159213886803854,-0.137615190759207,-0.0334258369081899,-0.0252304833663412,0.0484000783530195,0.157429689692554,0.130040906901744,0.155905998763142,0.0559059987631416,0.155905998763142,0.159213886803854,0.159213886803854,0.161807229969521
"MIR340",-0.157429689692554,-0.157429689692554,-0.157429689692554,-0.157429689692554,-0.139450939551478,-0.0331518643054501,-0.0269334161951018,0.0468475669374944,0.15823397923679,0.128565669810069,0.159213886803854,0.159213886803854,0.159213886803854,0.157429689692554,0.157429689692554,0.161069611423683
"HA",-0.157429689692554,-0.157429689692554,-0.157429689692554,-0.157429689692554,-0.139450939551478,-0.0331518643054501,-0.0269334161951018,0.0468475669374944,0.15823397923679,0.128565669810069,0.159213886803854,0.159213886803854,0.159213886803854,0.157429689692554,0.157429689692554,0.161069611423683
