"","MIR340","MIR1199","GRHL2","ESRP1","HA","CD44s","CD24","MIR200","TGFB","TWIST1","MIR129","ZEB1","MIR34","SNAIL1","MIR190","HAS2"
"GRHL2",0.266237958005924,0.266237958005924,0.266237958005924,0.266237958005924,0.267766620426306,0.267766620426306,0.367766620426306,0.287394821785953,0.278949936923912,0.125031701631559,0.125031701631559,-0.267914182090618,-0.200829039096488,-0.169071673788316,-0.266237958005924,-0.266237958005924
"MIR340",0.199714325598711,0.199714325598711,0.199714325598711,0.199714325598711,0.200818828572373,0.200818828572373,0.200818828572373,0.196054469188455,0.195975040040654,0.10540699289966,0.10540699289966,-0.202365502244526,-0.117810211215275,-0.14374708001945,-0.199714325598711,-0.199714325598711
"HA",0.199714325598711,0.199714325598711,0.199714325598711,0.199714325598711,0.200818828572373,0.200818828572373,0.200818828572373,0.196054469188455,0.195975040040654,0.10540699289966,0.10540699289966,-0.202365502244526,-0.117810211215275,-0.14374708001945,-0.199714325598711,-0.199714325598711
"CD44s",0.199714325598711,0.199714325598711,0.199714325598711,0.199714325598711,0.200818828572373,0.200818828572373,0.200818828572373,0.196054469188455,0.195975040040654,0.10540699289966,0.10540699289966,-0.202365502244526,-0.117810211215275,-0.14374708001945,-0.199714325598711,-0.199714325598711
"CD24",0.199714325598711,0.199714325598711,0.199714325598711,0.199714325598711,0.200818828572373,0.200818828572373,0.200818828572373,0.196054469188455,0.195975040040654,0.10540699289966,0.10540699289966,-0.202365502244526,-0.117810211215275,-0.14374708001945,-0.199714325598711,-0.199714325598711
"ESRP1",0.200818828572373,0.200818828572373,0.200818828572373,0.200818828572373,0.203617810760668,0.303617810760668,0.203617810760668,0.195632972876548,0.198776972407804,0.103123887876829,0.103123887876829,-0.199714325598711,-0.119601570540881,-0.143179435743196,-0.200818828572373,-0.200818828572373
"MIR129",0.0535012855183032,0.0535012855183032,0.0535012855183032,0.0535012855183032,0.0557367549668874,0.0557367549668874,0.0557367549668874,0.0349739614050067,0.0432067714247507,-0.129049609062934,0.0841697969901304,-0.0555809647966796,-0.0317672128524276,-0.000246842792659015,-0.0535012855183032,-0.0535012855183032
"TGFB",0.0314989461664059,0.0314989461664059,0.0314989461664059,0.0314989461664059,0.0348408484800306,0.0348408484800306,0.0348408484800306,0.0830000799875956,0.101680006955576,0.0430244571161778,0.0430244571161778,-0.0330731700887246,0.0486327556753491,-0.031380586547274,-0.0314989461664059,-0.0314989461664059
"MIR190",-0.0348408484800306,-0.0348408484800306,-0.0348408484800306,-0.0348408484800306,-0.0320839562494541,-0.0320839562494541,-0.0320839562494541,-0.0844926173010284,-0.200779106054675,-0.0400768108337317,-0.0400768108337317,0.0314989461664059,-0.0460404540257026,0.0312877360365962,0.0348408484800306,0.0348408484800306
"SNAIL1",-0.0330731700887246,-0.0330731700887246,-0.0330731700887246,-0.0330731700887246,-0.0314989461664059,-0.0314989461664059,-0.0314989461664059,-0.0839996297399594,-0.09948595527347,-0.0420671557941902,-0.0420671557941902,0.0329822426286316,-0.0477052455447773,-0.0687553156031776,0.0330731700887246,0.0330731700887246
"MIR34",-0.0314989461664059,-0.0314989461664059,-0.0314989461664059,-0.0314989461664059,-0.0348408484800306,-0.0348408484800306,-0.0348408484800306,-0.0830000799875956,-0.101680006955576,-0.0430244571161778,-0.0430244571161778,0.0330731700887246,-0.0486327556753491,0.031380586547274,0.0314989461664059,0.0314989461664059
"TWIST1",-0.0555809647966796,-0.0555809647966796,-0.0555809647966796,-0.0555809647966796,-0.0535012855183032,-0.0535012855183032,-0.0535012855183032,-0.0360518794832327,-0.0423332859358806,0.0309847555064482,-0.0822603018292619,0.0551634282622328,0.0332455005025662,0.000754596326349148,0.0555809647966796,0.0555809647966796
"ZEB1",-0.202365502244526,-0.202365502244526,-0.202365502244526,-0.202365502244526,-0.199714325598711,-0.199714325598711,-0.199714325598711,-0.197900566794012,-0.195812438414638,-0.105001882273297,-0.105001882273297,0.101683012685597,0.119217632162086,0.142933012940322,0.202365502244526,0.202365502244526
"MIR200",-0.168823331153491,-0.168823331153491,-0.168823331153491,-0.168823331153491,-0.170595483052225,-0.170595483052225,-0.170595483052225,-0.0640974121463685,0.0362953112420177,0.0200246212028708,0.0200246212028708,0.171757789069498,0.200514578609599,0.0073087673325068,0.168823331153491,0.168823331153491
"HAS2",-0.200818828572373,-0.200818828572373,-0.200818828572373,-0.200818828572373,-0.303617810760668,-0.203617810760668,-0.203617810760668,-0.195632972876548,-0.198776972407804,-0.103123887876829,-0.103123887876829,0.199714325598711,0.119601570540881,0.143179435743196,0.200818828572373,0.200818828572373
"MIR1199",-0.199714325598711,-0.199714325598711,-0.199714325598711,-0.199714325598711,-0.200818828572373,-0.200818828572373,-0.200818828572373,-0.196054469188455,-0.195975040040654,-0.10540699289966,-0.10540699289966,0.202365502244526,0.117810211215275,0.14374708001945,0.199714325598711,0.199714325598711
