"","TWIST1","MIR190","MIR1199","HAS2","GRHL2","ESRP1","MIR34","MIR200","SNAIL1","TGFB","ZEB1","MIR340","MIR129","HA","CD44s","CD24"
"GRHL2",0.131772263776022,0.214826352958077,0.214826352958077,0.214826352958077,0.214826352958077,0.214826352958077,0.188633201312701,0.188633201312701,0.103275569961075,0.0117791846508113,-0.214782241797953,-0.214826352958077,-0.131772263776022,-0.214062021747886,-0.214062021747886,-0.314062021747886
"ESRP1",0.111157548334019,0.111017717288164,0.111017717288164,0.111017717288164,0.111017717288164,0.111017717288164,0.0993360056807926,0.0993360056807926,0.0790680121285435,0.00445254542617626,-0.112292143796236,-0.111017717288164,-0.111157548334019,-0.11178107606679,-0.21178107606679,-0.11178107606679
"MIR340",0.111979466142238,0.112292143796236,0.112292143796236,0.112292143796236,0.112292143796236,0.112292143796236,0.0995467538367462,0.0995467538367462,0.0784057604729144,0.0037762169237608,-0.111785739268384,-0.112292143796236,-0.111979466142238,-0.111017717288164,-0.111017717288164,-0.111017717288164
"MIR1199",0.111979466142238,0.112292143796236,0.112292143796236,0.112292143796236,0.112292143796236,0.112292143796236,0.0995467538367462,0.0995467538367462,0.0784057604729144,0.0037762169237608,-0.111785739268384,-0.112292143796236,-0.111979466142238,-0.111017717288164,-0.111017717288164,-0.111017717288164
"HA",0.111979466142238,0.112292143796236,0.112292143796236,0.112292143796236,0.112292143796236,0.112292143796236,0.0995467538367462,0.0995467538367462,0.0784057604729144,0.0037762169237608,-0.111785739268384,-0.112292143796236,-0.111979466142238,-0.111017717288164,-0.111017717288164,-0.111017717288164
"TWIST1",0.165787016242765,0.0450778201840021,0.0450778201840021,0.0450778201840021,0.0450778201840021,0.0450778201840021,0.0127960652372955,0.0127960652372955,0.0479559373248283,0.00901135489043206,-0.0441731576927008,-0.0450778201840021,-0.296234682231015,-0.0430983664130174,-0.0430983664130174,-0.0430983664130174
"TGFB",-0.126868151167624,0.0116667525631215,0.0116667525631215,0.0116667525631215,0.0116667525631215,0.0116667525631215,0.070179266983029,0.070179266983029,-0.027016038719711,-0.0752823029200876,-0.012446508337728,-0.0116667525631215,0.126868151167624,-0.0131234792126502,-0.0131234792126502,-0.0131234792126502
"MIR190",-0.125504314827984,0.0131234792126502,0.0131234792126502,0.0131234792126502,0.0131234792126502,0.0131234792126502,0.0699959729269934,0.0699959729269934,-0.0285016468905559,0.0238167961790115,-0.0116667525631215,-0.0131234792126502,0.125504314827984,-0.0106172135484898,-0.0106172135484898,-0.0106172135484898
"SNAIL1",0.126366707618011,-0.012446508337728,-0.012446508337728,-0.012446508337728,-0.012446508337728,-0.012446508337728,-0.0700802125030651,-0.0700802125030651,-0.0721285771568579,0.0759486445420606,0.0118605313726845,0.012446508337728,-0.126366707618011,0.0116667525631215,0.0116667525631215,0.0116667525631215
"ZEB1",-0.111823654362868,-0.111785739268384,-0.111785739268384,-0.111785739268384,-0.111785739268384,-0.111785739268384,-0.0994919192544029,-0.0994919192544029,-0.0789593260867209,-0.00413394050099657,0.0121015180195295,0.111785739268384,0.111823654362868,0.112292143796236,0.112292143796236,0.112292143796236
"MIR34",0.126868151167624,-0.0116667525631215,-0.0116667525631215,-0.0116667525631215,-0.0116667525631215,-0.0116667525631215,-0.070179266983029,-0.070179266983029,0.027016038719711,0.0752823029200876,0.012446508337728,0.0116667525631215,-0.126868151167624,0.0131234792126502,0.0131234792126502,0.0131234792126502
"MIR129",-0.264113376075401,-0.0430983664130174,-0.0430983664130174,-0.0430983664130174,-0.0430983664130174,-0.0430983664130174,-0.0127960652372955,-0.0127960652372955,-0.0495615363367674,-0.0101102559893332,0.0450778201840021,0.0430983664130174,0.294586761749717,0.0456318984547461,0.0456318984547461,0.0456318984547461
"MIR200",0.0736612600830357,-0.0891400620065552,-0.0891400620065552,-0.0891400620065552,-0.0891400620065552,-0.0891400620065552,-0.182798600080324,-0.182798600080324,0.0239929801404329,-0.00798806614264363,0.0882439101878942,0.0891400620065552,-0.0736612600830357,0.087367910107821,0.087367910107821,0.087367910107821
"CD44s",-0.111979466142238,-0.112292143796236,-0.112292143796236,-0.112292143796236,-0.112292143796236,-0.112292143796236,-0.0995467538367462,-0.0995467538367462,-0.0784057604729144,-0.0037762169237608,0.111785739268384,0.112292143796236,0.111979466142238,0.111017717288164,0.111017717288164,0.111017717288164
"CD24",-0.111979466142238,-0.112292143796236,-0.112292143796236,-0.112292143796236,-0.112292143796236,-0.112292143796236,-0.0995467538367462,-0.0995467538367462,-0.0784057604729144,-0.0037762169237608,0.111785739268384,0.112292143796236,0.111979466142238,0.111017717288164,0.111017717288164,0.111017717288164
"HAS2",-0.111157548334019,-0.111017717288164,-0.111017717288164,-0.111017717288164,-0.111017717288164,-0.111017717288164,-0.0993360056807926,-0.0993360056807926,-0.0790680121285435,-0.00445254542617626,0.112292143796236,0.111017717288164,0.111157548334019,0.0117810760667904,0.11178107606679,0.11178107606679
