"","MIR129","MIR190","HAS2","ESRP1","HA","CD24","TWIST1","TGFB","MIR34","ZEB1","MIR200","CD44s","MIR340","MIR1199","GRHL2","SNAIL1"
"TWIST1",-0.00549861170760498,0.14931685675668,0.14931685675668,0.14931685675668,0.149141462118745,0.149141462118745,-0.0314742064160792,0.136061825854984,0.127415990978302,-0.150325903381593,-0.127415990978302,-0.149141462118745,-0.14931685675668,-0.14931685675668,-0.14931685675668,0.100781545760514
"MIR340",0.18124634280573,0.104348218562591,0.104348218562591,0.104348218562591,0.10647226274271,0.10647226274271,0.105819334036901,0.0666398721659327,0.0408199216931607,-0.106105740159255,-0.0408199216931607,-0.10647226274271,-0.104348218562591,-0.104348218562591,-0.104348218562591,-0.167835077038866
"HA",0.18124634280573,0.104348218562591,0.104348218562591,0.104348218562591,0.10647226274271,0.10647226274271,0.105819334036901,0.0666398721659327,0.0408199216931607,-0.106105740159255,-0.0408199216931607,-0.10647226274271,-0.104348218562591,-0.104348218562591,-0.104348218562591,-0.167835077038866
"CD24",0.18124634280573,0.104348218562591,0.104348218562591,0.104348218562591,0.10647226274271,0.10647226274271,0.105819334036901,0.0666398721659327,0.0408199216931607,-0.106105740159255,-0.0408199216931607,-0.10647226274271,-0.104348218562591,-0.104348218562591,-0.104348218562591,-0.167835077038866
"HAS2",0.177319402166461,0.10647226274271,0.10647226274271,0.10647226274271,0.207235621521336,0.107235621521336,0.108285087461558,0.0694418045330824,0.0427166550967434,-0.104348218562591,-0.0427166550967434,-0.107235621521336,-0.10647226274271,-0.10647226274271,-0.10647226274271,-0.169821832005753
"ESRP1",0.177319402166461,0.10647226274271,0.10647226274271,0.10647226274271,0.107235621521336,0.107235621521336,0.108285087461558,0.0694418045330824,0.0427166550967434,-0.104348218562591,-0.0427166550967434,-0.207235621521336,-0.10647226274271,-0.10647226274271,-0.10647226274271,-0.169821832005753
"MIR200",-0.0656551485421752,0.0932529541190919,0.0932529541190919,0.0932529541190919,0.0954301693089654,0.0954301693089654,-0.0321351438735347,0.0752036673190553,0.162150135312445,-0.0944653948149275,-0.162150135312445,-0.0954301693089654,-0.0932529541190919,-0.0932529541190919,-0.0932529541190919,0.0313159952926091
"SNAIL1",-0.132037553873679,0.0474734033708967,0.0474734033708967,0.0474734033708967,0.0470761692970406,0.0470761692970406,-0.0416387882967616,0.141052036312721,0.138421150853127,-0.0478876284668757,-0.138421150853127,-0.0470761692970406,-0.0474734033708967,-0.0474734033708967,-0.0474734033708967,0.0285484773705673
"GRHL2",0.127833431152147,-0.00561669429972361,-0.00561669429972361,-0.00561669429972361,-0.00421542041437329,-0.104215420414373,0.0840931561836934,-0.0210477801842866,-0.0334437550050265,0.00376402557453614,0.0334437550050265,0.00421542041437329,0.00561669429972361,0.00561669429972361,0.00561669429972361,-0.10806251060217
"ZEB1",-0.179096140250417,-0.106105740159255,-0.106105740159255,-0.106105740159255,-0.104348218562591,-0.104348218562591,-0.103170533787602,-0.0646561323285343,-0.0426660192987172,0.00678822971818298,0.0426660192987172,0.104348218562591,0.106105740159255,0.106105740159255,0.106105740159255,0.166532569712262
"MIR190",0.137332991358424,-0.0466477202824734,-0.0466477202824734,-0.0466477202824734,-0.0489033593802177,-0.0489033593802177,0.0402491006298636,-0.0449602479450209,-0.139095897454724,0.0470761692970406,0.139095897454724,0.0489033593802177,0.0466477202824734,0.0466477202824734,0.0466477202824734,-0.125499370963021
"TGFB",0.1316576723967,-0.0470761692970406,-0.0470761692970406,-0.0470761692970406,-0.0466477202824734,-0.0466477202824734,0.0387972748489573,-0.141783386873423,-0.137655729871587,0.0474734033708967,0.137655729871587,0.0466477202824734,0.0470761692970406,0.0470761692970406,0.0470761692970406,-0.126845703367849
"MIR34",0.1316576723967,-0.0470761692970406,-0.0470761692970406,-0.0470761692970406,-0.0466477202824734,-0.0466477202824734,0.0387972748489573,-0.141783386873423,-0.137655729871587,0.0474734033708967,0.137655729871587,0.0466477202824734,0.0470761692970406,0.0470761692970406,0.0470761692970406,-0.126845703367849
"MIR1199",-0.18124634280573,-0.104348218562591,-0.104348218562591,-0.104348218562591,-0.10647226274271,-0.10647226274271,-0.105819334036901,-0.0666398721659327,-0.0408199216931607,0.106105740159255,0.0408199216931607,0.10647226274271,0.104348218562591,0.104348218562591,0.104348218562591,0.167835077038866
"CD44s",-0.18124634280573,-0.104348218562591,-0.104348218562591,-0.104348218562591,-0.10647226274271,-0.10647226274271,-0.105819334036901,-0.0666398721659327,-0.0408199216931607,0.106105740159255,0.0408199216931607,0.10647226274271,0.104348218562591,0.104348218562591,0.104348218562591,0.167835077038866
"MIR129",0.0111747822542961,-0.149141462118745,-0.149141462118745,-0.149141462118745,-0.151376931567329,-0.151376931567329,-0.0692057099019124,-0.140091129884288,-0.128678695012796,0.14931685675668,0.128678695012796,0.151376931567329,0.149141462118745,0.149141462118745,0.149141462118745,-0.0982702242290195
