"","MIR190","HAS2","GRHL2","ESRP1","CD24","MIR129","TWIST1","TGFB","SNAIL1","ZEB1","MIR34","MIR200","HA","CD44s","MIR340","MIR1199"
"GRHL2",0.493088073207792,0.493088073207792,0.493088073207792,0.493088073207792,0.579330111424352,0.155621603983669,0.0997591072841003,-0.0206800182304831,-0.153074626000867,-0.499660636066195,-0.36809293478239,-0.36809293478239,-0.479330111424352,-0.479330111424352,-0.493088073207792,-0.493088073207792
"HA",0.334622083379714,0.334622083379714,0.334622083379714,0.334622083379714,0.317714691705968,0.136508085629117,0.0832328240118732,-0.0111411317514148,-0.128971421791956,-0.337571145041913,-0.244904749528441,-0.244904749528441,-0.317714691705968,-0.317714691705968,-0.334622083379714,-0.334622083379714
"CD24",0.334622083379714,0.334622083379714,0.334622083379714,0.334622083379714,0.317714691705968,0.136508085629117,0.0832328240118732,-0.0111411317514148,-0.128971421791956,-0.337571145041913,-0.244904749528441,-0.244904749528441,-0.317714691705968,-0.317714691705968,-0.334622083379714,-0.334622083379714
"ESRP1",0.317714691705968,0.317714691705968,0.317714691705968,0.317714691705968,0.313388991960421,0.132946441793501,0.0776620477561654,-0.0125904071137337,-0.130863569379468,-0.334622083379714,-0.237844686303994,-0.237844686303994,-0.313388991960421,-0.413388991960421,-0.317714691705968,-0.317714691705968
"MIR129",0.303419293631133,0.303419293631133,0.303419293631133,0.303419293631133,0.300885761589404,-0.118490867014141,-0.00958922046197196,-0.00776208381618087,-0.0348124649188378,-0.309006865668216,-0.151320708429576,-0.151320708429576,-0.300885761589404,-0.300885761589404,-0.303419293631133,-0.303419293631133
"SNAIL1",0.192587143152696,0.192587143152696,0.192587143152696,0.192587143152696,0.191101193469012,-0.0667772645330811,-0.0138645400046963,0.0694473013229855,-0.0971575683805362,-0.194223837434369,-0.154846519089323,-0.154846519089323,-0.191101193469012,-0.191101193469012,-0.192587143152696,-0.192587143152696
"TGFB",0.191101193469012,0.191101193469012,0.191101193469012,0.191101193469012,0.187416531943734,-0.0670659744555853,-0.0135758300821922,0.0698536071900422,0.00347397690685686,-0.192587143152696,-0.153937018864199,-0.153937018864199,-0.187416531943734,-0.187416531943734,-0.191101193469012,-0.191101193469012
"MIR34",0.191101193469012,0.191101193469012,0.191101193469012,0.191101193469012,0.187416531943734,-0.0670659744555853,-0.0135758300821922,0.0698536071900422,0.00347397690685686,-0.192587143152696,-0.153937018864199,-0.153937018864199,-0.187416531943734,-0.187416531943734,-0.191101193469012,-0.191101193469012
"MIR190",-0.187416531943734,-0.187416531943734,-0.187416531943734,-0.187416531943734,-0.184409013146741,0.0679018741476222,0.0144117297742291,-0.169806191353153,-0.00347397690685686,0.191101193469012,0.152339742090174,0.152339742090174,0.184409013146741,0.184409013146741,0.187416531943734,0.187416531943734
"ZEB1",-0.337571145041913,-0.337571145041913,-0.337571145041913,-0.337571145041913,-0.334622083379714,-0.137162495102473,-0.080770997897819,0.0132549528896262,0.132553316940116,0.244976666076852,0.247445418510345,0.247445418510345,0.334622083379714,0.334622083379714,0.337571145041913,0.337571145041913
"TWIST1",-0.309006865668216,-0.309006865668216,-0.309006865668216,-0.309006865668216,-0.303419293631133,0.117366095891986,-0.0919275159397017,0.00745213735238825,0.0344144959329725,0.310450846183178,0.153692128201674,0.153692128201674,0.303419293631133,0.303419293631133,0.309006865668216,0.309006865668216
"MIR200",-0.321277915095281,-0.321277915095281,-0.321277915095281,-0.321277915095281,-0.309986775854774,0.0305911820183133,0.0138433237796857,-0.184422031148245,0.0138045389227727,0.324528661888463,0.316666597483151,0.316666597483151,0.309986775854774,0.309986775854774,0.321277915095281,0.321277915095281
"HAS2",-0.317714691705968,-0.317714691705968,-0.317714691705968,-0.317714691705968,-0.313388991960421,-0.132946441793501,-0.0776620477561654,0.0125904071137337,0.130863569379468,0.334622083379714,0.237844686303994,0.237844686303994,0.213388991960421,0.313388991960421,0.317714691705968,0.317714691705968
"MIR340",-0.334622083379714,-0.334622083379714,-0.334622083379714,-0.334622083379714,-0.317714691705968,-0.136508085629117,-0.0832328240118732,0.0111411317514148,0.128971421791956,0.337571145041913,0.244904749528441,0.244904749528441,0.317714691705968,0.317714691705968,0.334622083379714,0.334622083379714
"MIR1199",-0.334622083379714,-0.334622083379714,-0.334622083379714,-0.334622083379714,-0.317714691705968,-0.136508085629117,-0.0832328240118732,0.0111411317514148,0.128971421791956,0.337571145041913,0.244904749528441,0.244904749528441,0.317714691705968,0.317714691705968,0.334622083379714,0.334622083379714
"CD44s",-0.334622083379714,-0.334622083379714,-0.334622083379714,-0.334622083379714,-0.317714691705968,-0.136508085629117,-0.0832328240118732,0.0111411317514148,0.128971421791956,0.337571145041913,0.244904749528441,0.244904749528441,0.317714691705968,0.317714691705968,0.334622083379714,0.334622083379714
