"","MIR340","MIR190","MIR1199","ESRP1","HA","TWIST1","SNAIL1","TGFB","ZEB1","MIR34","MIR129","CD44s","CD24","HAS2","GRHL2","MIR200"
"GRHL2",0.326908919316129,0.326908919316129,0.326908919316129,0.326908919316129,0.323978983010397,0.205811373691904,0.17162922567924,0.0247618467411943,-0.328496921080576,-0.246663157075545,-0.205811373691904,-0.323978983010397,-0.223978983010397,-0.326908919316129,-0.326908919316129,-0.333758251158286
"TWIST1",0.229471338231294,0.229471338231294,0.229471338231294,0.229471338231294,0.228744703302705,-0.0684057087519006,-0.140228961234541,-0.0513581118648128,-0.229627914431711,-0.193940677256123,0.0129312465370597,-0.228744703302705,-0.228744703302705,-0.229471338231294,-0.229471338231294,-0.0431075277906801
"MIR340",0.199216140891555,0.199216140891555,0.199216140891555,0.199216140891555,0.196412402573798,0.184478321892988,0.147046322851019,0.0220564474378744,-0.200377892455452,-0.134178363258646,-0.184478321892988,-0.196412402573798,-0.196412402573798,-0.199216140891555,-0.199216140891555,-0.210684541255141
"MIR1199",0.199216140891555,0.199216140891555,0.199216140891555,0.199216140891555,0.196412402573798,0.184478321892988,0.147046322851019,0.0220564474378744,-0.200377892455452,-0.134178363258646,-0.184478321892988,-0.196412402573798,-0.196412402573798,-0.199216140891555,-0.199216140891555,-0.210684541255141
"HA",0.199216140891555,0.199216140891555,0.199216140891555,0.199216140891555,0.196412402573798,0.184478321892988,0.147046322851019,0.0220564474378744,-0.200377892455452,-0.134178363258646,-0.184478321892988,-0.196412402573798,-0.196412402573798,-0.199216140891555,-0.199216140891555,-0.210684541255141
"CD24",0.199216140891555,0.199216140891555,0.199216140891555,0.199216140891555,0.196412402573798,0.184478321892988,0.147046322851019,0.0220564474378744,-0.200377892455452,-0.134178363258646,-0.184478321892988,-0.196412402573798,-0.196412402573798,-0.199216140891555,-0.199216140891555,-0.210684541255141
"ESRP1",0.196412402573798,0.196412402573798,0.196412402573798,0.196412402573798,0.193104514533086,0.182377865271983,0.146289463816015,0.0215733556504348,-0.199216140891555,-0.133229996556854,-0.182377865271983,-0.293104514533086,-0.193104514533086,-0.196412402573798,-0.196412402573798,-0.208155563383698
"MIR190",0.0311545613413186,0.0311545613413186,0.0311545613413186,0.0311545613413186,0.0309039347749025,-0.191660906992949,-0.124813543059857,-0.209928281603258,-0.0302119735092706,-0.127881775964497,0.191660906992949,-0.0309039347749025,-0.0309039347749025,-0.0311545613413186,-0.0311545613413186,0.101556686465717
"MIR34",0.0302119735092706,0.0302119735092706,0.0302119735092706,0.0302119735092706,0.0311545613413186,-0.191704901713583,-0.124070738974434,-0.110165360787706,-0.0296381909581451,-0.126808196493431,0.191704901713583,-0.0311545613413186,-0.0311545613413186,-0.0302119735092706,-0.0302119735092706,0.101635241061161
"SNAIL1",-0.0296381909581451,-0.0296381909581451,-0.0296381909581451,-0.0296381909581451,-0.0302119735092706,0.191233848682129,0.0241746641483089,0.109856568328743,0.0293553055267448,0.126168844850027,-0.191233848682129,0.0302119735092706,0.0302119735092706,0.0296381909581451,0.0296381909581451,-0.101698275730229
"TGFB",-0.0302119735092706,-0.0302119735092706,-0.0302119735092706,-0.0302119735092706,-0.0311545613413186,0.191704901713583,0.124070738974434,0.110165360787706,0.0296381909581451,0.126808196493431,-0.191704901713583,0.0311545613413186,0.0311545613413186,0.0302119735092706,0.0302119735092706,-0.101635241061161
"ZEB1",-0.200377892455452,-0.200377892455452,-0.200377892455452,-0.200377892455452,-0.199216140891555,-0.185693653772078,-0.14730682431634,-0.0225442523159232,0.101406719999508,0.134598761723278,0.185693653772078,0.199216140891555,0.199216140891555,0.200377892455452,0.200377892455452,0.211689841931434
"MIR200",-0.178513932129586,-0.178513932129586,-0.178513932129586,-0.178513932129586,-0.176944311876421,-0.237066534968368,-0.187285212209171,-0.213580415685774,0.179585799991122,0.0255494163534048,0.237066534968368,0.176944311876421,0.176944311876421,0.178513932129586,0.178513932129586,0.273799366019032
"HAS2",-0.196412402573798,-0.196412402573798,-0.196412402573798,-0.196412402573798,-0.293104514533086,-0.182377865271983,-0.146289463816015,-0.0215733556504348,0.199216140891555,0.133229996556854,0.182377865271983,0.193104514533086,0.193104514533086,0.196412402573798,0.196412402573798,0.208155563383698
"CD44s",-0.199216140891555,-0.199216140891555,-0.199216140891555,-0.199216140891555,-0.196412402573798,-0.184478321892988,-0.147046322851019,-0.0220564474378744,0.200377892455452,0.134178363258646,0.184478321892988,0.196412402573798,0.196412402573798,0.199216140891555,0.199216140891555,0.210684541255141
"MIR129",-0.228744703302705,-0.228744703302705,-0.228744703302705,-0.228744703302705,-0.227403421633554,-0.0311235799510283,0.140846499316056,0.0512735810110512,0.229471338231294,0.193879081937367,-0.0133759234923304,0.227403421633554,0.227403421633554,0.228744703302705,0.228744703302705,0.0422759909874772
