"","MIR340","MIR190","GRHL2","ESRP1","CD24","MIR34","ZEB1","TWIST1","SNAIL1","MIR129","MIR200","TGFB","HA","CD44s","MIR1199","HAS2"
"GRHL2",0.134779716319617,0.134779716319617,0.134779716319617,0.134779716319617,0.235798824599872,0.151824194320787,-0.134956160960111,0.0501944881079051,0.0439113565251541,-0.0501944881079051,-0.151824194320787,-0.144603197359273,-0.135798824599872,-0.135798824599872,-0.134779716319617,-0.134779716319617
"MIR200",0.0690572761194841,0.0690572761194841,0.0690572761194841,0.0690572761194841,0.0692091748536613,0.166570231837129,-0.0689342748894718,0.0612099911702961,0.0727769956065611,-0.0612099911702961,-0.166570231837129,-0.0673643899662389,-0.0692091748536613,-0.0692091748536613,-0.0690572761194841,-0.0690572761194841
"MIR1199",0.0591459465092503,0.0591459465092503,0.0591459465092503,0.0591459465092503,0.0594008318108645,0.0498562061103182,-0.0594736200272723,0.0333035113154372,0.0186540301418222,-0.0333035113154372,-0.0498562061103182,-0.0512802134514808,-0.0594008318108645,-0.0594008318108645,-0.0591459465092503,-0.0591459465092503
"HA",0.0591459465092503,0.0591459465092503,0.0591459465092503,0.0591459465092503,0.0594008318108645,0.0498562061103182,-0.0594736200272723,0.0333035113154372,0.0186540301418222,-0.0333035113154372,-0.0498562061103182,-0.0512802134514808,-0.0594008318108645,-0.0594008318108645,-0.0591459465092503,-0.0591459465092503
"CD44s",0.0591459465092503,0.0591459465092503,0.0591459465092503,0.0591459465092503,0.0594008318108645,0.0498562061103182,-0.0594736200272723,0.0333035113154372,0.0186540301418222,-0.0333035113154372,-0.0498562061103182,-0.0512802134514808,-0.0594008318108645,-0.0594008318108645,-0.0591459465092503,-0.0591459465092503
"CD24",0.0591459465092503,0.0591459465092503,0.0591459465092503,0.0591459465092503,0.0594008318108645,0.0498562061103182,-0.0594736200272723,0.0333035113154372,0.0186540301418222,-0.0333035113154372,-0.0498562061103182,-0.0512802134514808,-0.0594008318108645,-0.0594008318108645,-0.0591459465092503,-0.0591459465092503
"HAS2",0.0594008318108645,0.0594008318108645,0.0594008318108645,0.0594008318108645,0.062708719851577,0.0505938246561559,-0.0591459465092503,0.0350386711327888,0.0191270670387002,-0.0350386711327888,-0.0505938246561559,-0.0531159622437513,0.037291280148423,-0.062708719851577,-0.0594008318108645,-0.0594008318108645
"TGFB",0.0552304665833079,0.0552304665833079,0.0552304665833079,0.0552304665833079,0.056001674809529,0.089904930225843,-0.0554805769261062,0.0390790860027992,0.0232995857244358,-0.0390790860027992,-0.089904930225843,-0.112093193312564,-0.056001674809529,-0.056001674809529,-0.0552304665833079,-0.0552304665833079
"SNAIL1",0.0554805769261062,0.0554805769261062,0.0554805769261062,0.0554805769261062,0.0552304665833079,0.089787865840431,-0.0554805769261062,0.0385168614168701,-0.0765325351485357,-0.0385168614168701,-0.089787865840431,-0.111719391914871,-0.0552304665833079,-0.0552304665833079,-0.0554805769261062,-0.0554805769261062
"MIR34",0.0552304665833079,0.0552304665833079,0.0552304665833079,0.0552304665833079,0.056001674809529,0.089904930225843,-0.0554805769261062,0.0390790860027992,0.0232995857244358,-0.0390790860027992,-0.089904930225843,-0.112093193312564,-0.056001674809529,-0.056001674809529,-0.0552304665833079,-0.0552304665833079
"ZEB1",-0.0594736200272723,-0.0594736200272723,-0.0594736200272723,-0.0594736200272723,-0.0591459465092503,-0.0498744843044326,-0.0405161935614004,-0.0335839725183041,-0.0192075957556288,0.0335839725183041,0.0498744843044326,0.0507273679230255,0.0591459465092503,0.0591459465092503,0.0594736200272723,0.0594736200272723
"MIR129",0.00563179975852324,0.00563179975852324,0.00563179975852324,0.00563179975852324,0.00622792494481236,-0.0093199090622063,-0.00595753265754604,0.184519757391176,-0.0296607820035627,0.207841960599877,0.0093199090622063,0.00360689135549915,-0.00622792494481236,-0.00622792494481236,-0.00563179975852324,-0.00563179975852324
"TWIST1",0.00595753265754604,0.00595753265754604,0.00595753265754604,0.00595753265754604,0.00563179975852324,-0.00944309969971785,-0.0058357511683324,0.0841536486045656,-0.0293177052916099,0.208234322619234,0.00944309969971785,0.00391683781929177,-0.00563179975852324,-0.00563179975852324,-0.00595753265754604,-0.00595753265754604
"MIR190",-0.056001674809529,-0.056001674809529,-0.056001674809529,-0.056001674809529,-0.056001674809529,-0.0900358545515827,0.0552304665833079,-0.0387711229583646,-0.0239959645545193,0.0387711229583646,0.0900358545515827,0.0122354408232322,0.056001674809529,0.056001674809529,0.056001674809529,0.056001674809529
"ESRP1",-0.0594008318108645,-0.0594008318108645,-0.0594008318108645,-0.0594008318108645,-0.062708719851577,-0.0505938246561559,0.0591459465092503,-0.0350386711327888,-0.0191270670387002,0.0350386711327888,0.0505938246561559,0.0531159622437513,0.062708719851577,-0.037291280148423,0.0594008318108645,0.0594008318108645
"MIR340",-0.0591459465092503,-0.0591459465092503,-0.0591459465092503,-0.0591459465092503,-0.0594008318108645,-0.0498562061103182,0.0594736200272723,-0.0333035113154372,-0.0186540301418222,0.0333035113154372,0.0498562061103182,0.0512802134514808,0.0594008318108645,0.0594008318108645,0.0591459465092503,0.0591459465092503
