"","MIR34","MIR1199","GRHL2","ESRP1","ZEB1","TGFB","MIR340","MIR190","HAS2","HA","CD44s","CD24","TWIST1","MIR129","SNAIL1","MIR200"
"MIR129",0.100920153669526,0.195692703552735,0.195692703552735,0.195692703552735,-0.195417083407408,0.00280948786915374,-0.195692703552735,-0.195692703552735,-0.195692703552735,-0.195096578366446,-0.195096578366446,-0.195096578366446,-0.195757258508757,0.19188019813018,0.00223769393203269,-0.0947166673973425
"MIR200",0.17105920783186,0.0818405489112788,0.0818405489112788,0.0818405489112788,-0.081401258804092,0.187213206696859,-0.0818405489112788,-0.0818405489112788,-0.0818405489112788,-0.0812835868859624,-0.0812835868859624,-0.0812835868859624,0.0324479976108733,0.0324479976108733,0.0171315992052897,-0.0172770813355876
"SNAIL1",0.0822969606489977,0.0679908515470812,0.0679908515470812,0.0679908515470812,-0.0681626034161457,0.0647623477740069,-0.0679908515470812,-0.0679908515470812,-0.0679908515470812,-0.068005563920187,-0.068005563920187,-0.068005563920187,0.0289843522790395,0.0289843522790395,-0.101555827022053,0.0141232037707408
"TGFB",0.0816035792892499,0.068005563920187,0.068005563920187,0.068005563920187,-0.0679908515470812,0.0650386357636054,-0.068005563920187,-0.068005563920187,-0.068005563920187,-0.0686053925405812,-0.0686053925405812,-0.0686053925405812,0.0280574414752103,0.0280574414752103,-0.000892304758083101,0.013411812505545
"HAS2",0.0706335467341407,0.055696629796957,0.055696629796957,0.055696629796957,-0.0557815915641617,-0.00182776430240933,-0.055696629796957,-0.055696629796957,-0.055696629796957,0.0445578231292517,-0.0554421768707483,-0.0554421768707483,-0.0589889718125012,-0.0589889718125012,-0.0631615498613454,-0.0800713544868109
"ESRP1",0.0706335467341407,0.055696629796957,0.055696629796957,0.055696629796957,-0.0557815915641617,-0.00182776430240933,-0.055696629796957,-0.055696629796957,-0.055696629796957,-0.0554421768707483,-0.155442176870748,-0.0554421768707483,-0.0589889718125012,-0.0589889718125012,-0.0631615498613454,-0.0800713544868109
"MIR340",0.069895928188303,0.0557815915641617,0.0557815915641617,0.0557815915641617,-0.0554539180461397,-0.00153790922994556,-0.0557815915641617,-0.0557815915641617,-0.0557815915641617,-0.055696629796957,-0.055696629796957,-0.055696629796957,-0.0601761864243734,-0.0601761864243734,-0.0624046908263406,-0.0809143471106255
"MIR1199",0.069895928188303,0.0557815915641617,0.0557815915641617,0.0557815915641617,-0.0554539180461397,-0.00153790922994556,-0.0557815915641617,-0.0557815915641617,-0.0557815915641617,-0.055696629796957,-0.055696629796957,-0.055696629796957,-0.0601761864243734,-0.0601761864243734,-0.0624046908263406,-0.0809143471106255
"HA",0.069895928188303,0.0557815915641617,0.0557815915641617,0.0557815915641617,-0.0554539180461397,-0.00153790922994556,-0.0557815915641617,-0.0557815915641617,-0.0557815915641617,-0.055696629796957,-0.055696629796957,-0.055696629796957,-0.0601761864243734,-0.0601761864243734,-0.0624046908263406,-0.0809143471106255
"CD24",0.069895928188303,0.0557815915641617,0.0557815915641617,0.0557815915641617,-0.0554539180461397,-0.00153790922994556,-0.0557815915641617,-0.0557815915641617,-0.0557815915641617,-0.055696629796957,-0.055696629796957,-0.055696629796957,-0.0601761864243734,-0.0601761864243734,-0.0624046908263406,-0.0809143471106255
"ZEB1",-0.069987319158875,-0.0554539180461397,-0.0554539180461397,-0.0554539180461397,-0.0444136586066056,0.00202571410799434,0.0554539180461397,0.0554539180461397,0.0554539180461397,0.0557815915641617,0.0557815915641617,0.0557815915641617,0.0592724781040243,0.0592724781040243,0.062176752044185,0.0804208358695361
"GRHL2",-0.0151446912181513,-0.0140149013290375,-0.0140149013290375,-0.0140149013290375,0.0142795682897785,-0.00227748859327807,0.0140149013290375,0.0140149013290375,0.0140149013290375,0.0140149013290375,0.0140149013290375,-0.0859850986709625,-0.0574252381998771,-0.0574252381998771,-0.0559313686086158,0.00325410746518074
"CD44s",-0.069895928188303,-0.0557815915641617,-0.0557815915641617,-0.0557815915641617,0.0554539180461397,0.00153790922994556,0.0557815915641617,0.0557815915641617,0.0557815915641617,0.055696629796957,0.055696629796957,0.055696629796957,0.0601761864243734,0.0601761864243734,0.0624046908263406,0.0809143471106255
"MIR34",-0.0816035792892499,-0.068005563920187,-0.068005563920187,-0.068005563920187,0.0679908515470812,-0.0650386357636054,0.068005563920187,0.068005563920187,0.068005563920187,0.0686053925405812,0.0686053925405812,0.0686053925405812,-0.0280574414752103,-0.0280574414752103,0.000892304758083101,-0.013411812505545
"MIR190",-0.0824153101088361,-0.0686053925405812,-0.0686053925405812,-0.0686053925405812,0.068005563920187,-0.165939536664506,0.0686053925405812,0.0686053925405812,0.0686053925405812,0.067352259708501,0.067352259708501,0.067352259708501,-0.0273095312244404,-0.0273095312244404,0.00270288971630037,-0.0134903671009888
"TWIST1",-0.100519784097613,-0.195417083407408,-0.195417083407408,-0.195417083407408,0.195382288696204,-0.00227412579533013,0.195417083407408,0.195417083407408,0.195417083407408,0.195692703552735,0.195692703552735,0.195692703552735,0.0953388484669165,-0.192324875085451,-0.00326692406789106,0.0947782627160983
