"","HAS2","ESRP1","HA","CD24","MIR200","MIR34","TGFB","ZEB1","TWIST1","MIR129","SNAIL1","CD44s","MIR340","MIR190","MIR1199","GRHL2"
"TWIST1",0.225821203260067,0.225821203260067,0.226898627464527,0.226898627464527,0.132524935393843,0.0971268065533826,-0.0108477073020247,-0.226412713350533,0.0785461765489794,-0.213099903717384,-0.0413398569279871,-0.226898627464527,-0.225821203260067,-0.225821203260067,-0.225821203260067,-0.225821203260067
"MIR1199",0.147794885431327,0.147794885431327,0.147709923664122,0.147709923664122,0.136476067854781,0.117388714903368,-0.00317196399743362,-0.14883748298867,-0.0656655173996028,-0.0656655173996028,-0.0696839764218015,-0.147709923664122,-0.147794885431327,-0.147794885431327,-0.147794885431327,-0.147794885431327
"HA",0.147794885431327,0.147794885431327,0.147709923664122,0.147709923664122,0.136476067854781,0.117388714903368,-0.00317196399743362,-0.14883748298867,-0.0656655173996028,-0.0656655173996028,-0.0696839764218015,-0.147709923664122,-0.147794885431327,-0.147794885431327,-0.147794885431327,-0.147794885431327
"CD44s",0.147794885431327,0.147794885431327,0.147709923664122,0.147709923664122,0.136476067854781,0.117388714903368,-0.00317196399743362,-0.14883748298867,-0.0656655173996028,-0.0656655173996028,-0.0696839764218015,-0.147709923664122,-0.147794885431327,-0.147794885431327,-0.147794885431327,-0.147794885431327
"CD24",0.147794885431327,0.147794885431327,0.147709923664122,0.147709923664122,0.136476067854781,0.117388714903368,-0.00317196399743362,-0.14883748298867,-0.0656655173996028,-0.0656655173996028,-0.0696839764218015,-0.147709923664122,-0.147794885431327,-0.147794885431327,-0.147794885431327,-0.147794885431327
"HAS2",0.147709923664122,0.147709923664122,0.25,0.15,0.134157838139291,0.119601570540881,-0.00365505578487323,-0.147794885431327,-0.0626518187694658,-0.0626518187694658,-0.0728060199411961,-0.15,-0.147709923664122,-0.147709923664122,-0.147709923664122,-0.147709923664122
"MIR200",0.137575317688106,0.137575317688106,0.136106963257726,0.136106963257726,0.217027245197613,0.0305213624024259,-0.195507289098766,-0.137206313998069,-0.0698315014489169,-0.0698315014489169,-0.0891936489011392,-0.136106963257726,-0.137575317688106,-0.137575317688106,-0.137575317688106,-0.137575317688106
"MIR34",0.0755758045653664,0.0755758045653664,0.0779751190469431,0.0779751190469431,0.0908373378767032,-0.0139100545515623,-0.0681039741880599,-0.0758553396543762,-0.033054919222684,-0.033054919222684,-0.0123264671050191,-0.0779751190469431,-0.0755758045653664,-0.0755758045653664,-0.0755758045653664,-0.0755758045653664
"MIR190",0.0779751190469431,0.0779751190469431,0.0744663471171185,0.0744663471171185,0.0925393541113196,-0.0126793658896089,-0.170806676890763,-0.0755758045653664,-0.0297553151751697,-0.0297553151751697,-0.00735896478375638,-0.0744663471171185,-0.0779751190469431,-0.0779751190469431,-0.0779751190469431,-0.0779751190469431
"GRHL2",0.0158773627166264,0.0158773627166264,0.0152404200414672,-0.0847595799585328,0.0185667767177971,0.00223022682250108,-0.00291743559523491,-0.0166272524387261,-0.0607388286013394,-0.0607388286013394,-0.0590753930004584,-0.0152404200414672,-0.0158773627166264,-0.0158773627166264,-0.0158773627166264,-0.0158773627166264
"ZEB1",-0.14883748298867,-0.14883748298867,-0.147794885431327,-0.147794885431327,-0.135909443837234,-0.119234812508925,0.00457033798117345,0.0481753662523959,0.0625804441680665,0.0625804441680665,0.0694560376396459,0.147794885431327,0.14883748298867,0.14883748298867,0.14883748298867,0.14883748298867
"TGFB",-0.0755758045653664,-0.0755758045653664,-0.0779751190469431,-0.0779751190469431,-0.0908373378767032,0.0139100545515623,0.0681039741880599,0.0758553396543762,0.033054919222684,0.033054919222684,0.0123264671050191,0.0779751190469431,0.0755758045653664,0.0755758045653664,0.0755758045653664,0.0755758045653664
"SNAIL1",-0.0758553396543762,-0.0758553396543762,-0.0755758045653664,-0.0755758045653664,-0.0929354918613948,0.015666020332742,0.0679577040759195,0.0766534806929699,0.0351670602346882,0.0351670602346882,-0.0908152708436578,0.0755758045653664,0.0758553396543762,0.0758553396543762,0.0758553396543762,0.0758553396543762
"ESRP1",-0.147709923664122,-0.147709923664122,-0.15,-0.15,-0.134157838139291,-0.119601570540881,0.00365505578487323,0.147794885431327,0.0626518187694658,0.0626518187694658,0.0728060199411961,0.05,0.147709923664122,0.147709923664122,0.147709923664122,0.147709923664122
"MIR340",-0.147794885431327,-0.147794885431327,-0.147709923664122,-0.147709923664122,-0.136476067854781,-0.117388714903368,0.00317196399743362,0.14883748298867,0.0656655173996028,0.0656655173996028,0.0696839764218015,0.147709923664122,0.147794885431327,0.147794885431327,0.147794885431327,0.147794885431327
"MIR129",-0.226898627464527,-0.226898627464527,-0.225855408388521,-0.225855408388521,-0.132370947096953,-0.0986050942035212,0.0123974396209878,0.225821203260067,-0.181422745586636,0.210196424774146,0.0400636115595227,0.225855408388521,0.226898627464527,0.226898627464527,0.226898627464527,0.226898627464527
