"","SNAIL1","MIR34","HA","MIR190","MIR1199","GRHL2","ESRP1","MIR200","ZEB1","TGFB","MIR340","HAS2","CD44s","CD24","TWIST1","MIR129"
"MIR200",0.114540274784086,0.204532773593701,0.0828902376722595,0.0843585921026393,0.0843585921026393,0.0843585921026393,0.0843585921026393,-0.012267136238321,-0.0833218674496785,-0.085418738763901,-0.0843585921026393,-0.0843585921026393,-0.0828902376722595,-0.0828902376722595,-0.164760433174522,-0.164760433174522
"MIR34",0.0189962056175843,0.0985969872743763,0.077729527184019,0.075844351519923,0.075844351519923,0.075844351519923,0.075844351519923,-0.0222892095640598,-0.0769183547566451,0.0210527789918424,-0.075844351519923,-0.075844351519923,-0.077729527184019,-0.077729527184019,-0.118829586803324,-0.118829586803324
"SNAIL1",-0.0803722490950227,0.0988761408088203,0.075844351519923,0.0769183547566451,0.0769183547566451,0.0769183547566451,0.0769183547566451,-0.0212536400008,-0.0762515533826301,0.0229542904496678,-0.0769183547566451,-0.0769183547566451,-0.075844351519923,-0.075844351519923,-0.118449705326345,-0.118449705326345
"MIR190",0.0199711359797012,0.0989897602515955,0.0744713818206104,0.077729527184019,0.077729527184019,0.077729527184019,0.077729527184019,-0.0203777144082599,-0.075844351519923,-0.0756755282627807,-0.077729527184019,-0.077729527184019,-0.0744713818206104,-0.0744713818206104,-0.118081676552554,-0.118081676552554
"HAS2",0.11096445020921,0.102474261890581,-0.0418367346938776,0.0568910006750792,0.0568910006750792,0.0568910006750792,0.0568910006750792,0.049839741321431,-0.0571458859766935,-0.0553290748016914,-0.0568910006750792,-0.0568910006750792,-0.0581632653061225,-0.0581632653061225,-0.148930402930403,-0.148930402930403
"CD44s",0.111342879726712,0.102895758202488,0.0568910006750792,0.0571458859766935,0.0571458859766935,0.0571458859766935,0.0571458859766935,0.0497343672434542,-0.056699058452118,-0.0538797994393726,-0.0571458859766935,-0.0571458859766935,-0.0568910006750792,-0.0568910006750792,-0.149387023934969,-0.149387023934969
"CD24",0.111342879726712,0.102895758202488,0.0568910006750792,0.0571458859766935,0.0571458859766935,0.0571458859766935,0.0571458859766935,0.0497343672434542,-0.056699058452118,-0.0538797994393726,-0.0571458859766935,-0.0571458859766935,-0.0568910006750792,-0.0568910006750792,-0.149387023934969,-0.149387023934969
"ZEB1",-0.111017252895061,-0.102767810843687,-0.0571458859766935,-0.056699058452118,-0.056699058452118,-0.056699058452118,-0.056699058452118,-0.0493139687788225,-0.0430666540873544,0.0539123197645758,0.056699058452118,0.056699058452118,0.0571458859766935,0.0571458859766935,0.149792134561332,0.149792134561332
"TWIST1",-0.000537566654686021,-0.00468114066473341,0.0014712933811023,-0.000357822128794966,-0.000357822128794966,-0.000357822128794966,-0.000357822128794966,-0.00043482199397983,-0.000790403340933636,-0.00137683672289878,0.000357822128794966,0.000357822128794966,-0.0014712933811023,-0.0014712933811023,0.0127026178843935,0.0345135519857651
"MIR129",0.000546555755084804,-0.00418837811468721,-0.00180739514348786,0.0014712933811023,0.0014712933811023,0.0014712933811023,0.0014712933811023,0.00132064459055974,0.000357822128794966,0.00191986657380452,-0.0014712933811023,-0.0014712933811023,0.00180739514348786,0.00180739514348786,0.113330232947155,0.0351674886846926
"MIR340",-0.111342879726712,-0.102895758202488,-0.0568910006750792,-0.0571458859766935,-0.0571458859766935,-0.0571458859766935,-0.0571458859766935,-0.0497343672434542,0.056699058452118,0.0538797994393726,0.0571458859766935,0.0571458859766935,0.0568910006750792,0.0568910006750792,0.149387023934969,0.149387023934969
"MIR1199",-0.111342879726712,-0.102895758202488,-0.0568910006750792,-0.0571458859766935,-0.0571458859766935,-0.0571458859766935,-0.0571458859766935,-0.0497343672434542,0.056699058452118,0.0538797994393726,0.0571458859766935,0.0571458859766935,0.0568910006750792,0.0568910006750792,0.149387023934969,0.149387023934969
"HA",-0.111342879726712,-0.102895758202488,-0.0568910006750792,-0.0571458859766935,-0.0571458859766935,-0.0571458859766935,-0.0571458859766935,-0.0497343672434542,0.056699058452118,0.0538797994393726,0.0571458859766935,0.0571458859766935,0.0568910006750792,0.0568910006750792,0.149387023934969,0.149387023934969
"ESRP1",-0.11096445020921,-0.102474261890581,-0.0581632653061225,-0.0568910006750792,-0.0568910006750792,-0.0568910006750792,-0.0568910006750792,-0.049839741321431,0.0571458859766935,0.0553290748016914,0.0568910006750792,0.0568910006750792,-0.0418367346938776,0.0581632653061225,0.148930402930403,0.148930402930403
"TGFB",-0.0189962056175843,-0.0985969872743763,-0.077729527184019,-0.075844351519923,-0.075844351519923,-0.075844351519923,-0.075844351519923,0.0222892095640598,0.0769183547566451,-0.0210527789918424,0.075844351519923,0.075844351519923,0.077729527184019,0.077729527184019,0.118829586803324,0.118829586803324
"GRHL2",-0.136208432618876,-0.21459896136286,-0.175156262585582,-0.17502887405055,-0.17502887405055,-0.17502887405055,-0.17502887405055,-0.151746897189259,0.174764207089809,0.162331734345976,0.17502887405055,0.17502887405055,0.175156262585582,0.0751562625855819,0.170975623827869,0.170975623827869
