"","TWIST1","ZEB1","HA","MIR340","MIR190","HAS2","ESRP1","TGFB","MIR34","MIR200","MIR1199","GRHL2","CD44s","CD24","SNAIL1","MIR129"
"GRHL2",0.335223660121151,-0.1873363217054,0.18126538983607,0.186233542702312,0.186233542702312,0.186233542702312,0.186233542702312,-0.14045341634899,0.115502692500731,0.115502692500731,-0.186233542702312,-0.186233542702312,-0.18126538983607,-0.0812653898360705,-0.286696551051606,-0.335223660121151
"SNAIL1",-0.285602910707614,-0.133273395068353,0.131583615547934,0.133010715739195,0.133010715739195,0.133010715739195,0.133010715739195,-0.228268021814758,0.228110704731104,0.228110704731104,-0.133010715739195,-0.133010715739195,-0.131583615547934,-0.131583615547934,0.123897386915939,0.285602910707614
"TGFB",-0.283764284359035,-0.133010715739195,0.132097754365415,0.131583615547934,0.131583615547934,0.131583615547934,0.131583615547934,-0.228024238294524,0.226552847909852,0.226552847909852,-0.131583615547934,-0.131583615547934,-0.132097754365415,-0.132097754365415,0.223201887675392,0.283764284359035
"ZEB1",-0.309158367836859,-0.0740607267039982,-0.024408125498638,-0.0227101809052511,-0.0227101809052511,-0.0227101809052511,-0.0227101809052511,0.00305962134997688,0.0149347806989134,0.0149347806989134,0.0227101809052511,0.0227101809052511,0.024408125498638,0.024408125498638,0.262618515842018,0.309158367836859
"MIR200",0.346030990256307,-0.0356853564784472,0.0309570913296112,0.0364760786713834,0.0364760786713834,0.0364760786713834,0.0364760786713834,-0.0106971097451511,-0.10022028010964,-0.10022028010964,-0.0364760786713834,-0.0364760786713834,-0.0309570913296112,-0.0309570913296112,-0.294342097862571,-0.346030990256307
"MIR340",0.310498349139445,-0.0227101809052511,0.015317216407729,0.024408125498638,0.024408125498638,0.024408125498638,0.024408125498638,0.00477777702400686,-0.0141853747402221,-0.0141853747402221,-0.024408125498638,-0.024408125498638,-0.015317216407729,-0.015317216407729,-0.261869574129221,-0.310498349139445
"CD44s",0.310498349139445,-0.0227101809052511,0.015317216407729,0.024408125498638,0.024408125498638,0.024408125498638,0.024408125498638,0.00477777702400686,-0.0141853747402221,-0.0141853747402221,-0.024408125498638,-0.024408125498638,-0.015317216407729,-0.015317216407729,-0.261869574129221,-0.310498349139445
"CD24",0.310498349139445,-0.0227101809052511,0.015317216407729,0.024408125498638,0.024408125498638,0.024408125498638,0.024408125498638,0.00477777702400686,-0.0141853747402221,-0.0141853747402221,-0.024408125498638,-0.024408125498638,-0.015317216407729,-0.015317216407729,-0.261869574129221,-0.310498349139445
"MIR129",-0.470830932336595,-0.0173001847208251,0.0176572847682119,0.0212340358859466,0.0212340358859466,0.0212340358859466,0.0212340358859466,-0.106713211064842,0.156475593580867,0.156475593580867,-0.0212340358859466,-0.0212340358859466,-0.0176572847682119,-0.0176572847682119,0.316810571614353,0.469007697057773
"TWIST1",0.371929258696428,0.0190573176366219,-0.0212340358859466,-0.0173001847208251,-0.0173001847208251,-0.0173001847208251,-0.0173001847208251,0.109502729238975,-0.154288959765037,-0.154288959765037,0.0173001847208251,0.0173001847208251,0.0212340358859466,0.0212340358859466,-0.317675124928474,-0.470080153244015
"MIR1199",-0.310498349139445,0.0227101809052511,-0.015317216407729,-0.024408125498638,-0.024408125498638,-0.024408125498638,-0.024408125498638,-0.00477777702400686,0.0141853747402221,0.0141853747402221,0.024408125498638,0.024408125498638,0.015317216407729,0.015317216407729,0.261869574129221,0.310498349139445
"HA",-0.310498349139445,0.0227101809052511,-0.015317216407729,-0.024408125498638,-0.024408125498638,-0.024408125498638,-0.024408125498638,-0.00477777702400686,0.0141853747402221,0.0141853747402221,0.024408125498638,0.024408125498638,0.015317216407729,0.015317216407729,0.261869574129221,0.310498349139445
"HAS2",-0.312964102564103,0.024408125498638,0.0773036487322202,-0.015317216407729,-0.015317216407729,-0.015317216407729,-0.015317216407729,-0.000429950937050334,0.0212454379646689,0.0212454379646689,0.015317216407729,0.015317216407729,0.0226963512677798,0.0226963512677798,0.262626433164225,0.312964102564103
"ESRP1",-0.312964102564103,0.024408125498638,-0.0226963512677798,-0.015317216407729,-0.015317216407729,-0.015317216407729,-0.015317216407729,-0.000429950937050334,0.0212454379646689,0.0212454379646689,0.015317216407729,0.015317216407729,-0.0773036487322202,0.0226963512677798,0.262626433164225,0.312964102564103
"MIR190",0.281784521930526,0.131583615547934,-0.132348380931831,-0.132097754365415,-0.132097754365415,-0.132097754365415,-0.132097754365415,0.127692327436297,-0.225845856550858,-0.225845856550858,0.132097754365415,0.132097754365415,0.132348380931831,0.132348380931831,-0.221437727972514,-0.281784521930526
"MIR34",0.283764284359035,0.133010715739195,-0.132097754365415,-0.131583615547934,-0.131583615547934,-0.131583615547934,-0.131583615547934,0.228024238294524,-0.226552847909852,-0.226552847909852,0.131583615547934,0.131583615547934,0.132097754365415,0.132097754365415,-0.223201887675392,-0.283764284359035
