"","TWIST1","TGFB","CD44s","HAS2","GRHL2","ESRP1","MIR34","ZEB1","MIR340","MIR190","MIR1199","HA","CD24","MIR200","SNAIL1","MIR129"
"HAS2",0.212273561732385,0.129621696761656,0.10813234384663,0.114493667001846,0.114493667001846,0.114493667001846,0.0477948892481352,-0.118486870060469,-0.114493667001846,-0.114493667001846,-0.114493667001846,-0.20813234384663,-0.10813234384663,-0.152581831695122,-0.169705973286549,-0.212273561732385
"ESRP1",0.212273561732385,0.129621696761656,0.20813234384663,0.114493667001846,0.114493667001846,0.114493667001846,0.0477948892481352,-0.118486870060469,-0.114493667001846,-0.114493667001846,-0.114493667001846,-0.10813234384663,-0.10813234384663,-0.152581831695122,-0.169705973286549,-0.212273561732385
"TGFB",0.219600530359563,0.195394413301987,0.117145187923958,0.117145187923958,0.117145187923958,0.117145187923958,-0.0694804926756832,-0.118160341668257,-0.117145187923958,-0.117145187923958,-0.117145187923958,-0.117145187923958,-0.117145187923958,-0.18518178958235,-0.154394103318326,-0.219600530359563
"MIR34",0.219600530359563,0.195394413301987,0.117145187923958,0.117145187923958,0.117145187923958,0.117145187923958,-0.0694804926756832,-0.118160341668257,-0.117145187923958,-0.117145187923958,-0.117145187923958,-0.117145187923958,-0.117145187923958,-0.18518178958235,-0.154394103318326,-0.219600530359563
"MIR340",0.213095479540604,0.13686807357325,0.114493667001846,0.118486870060469,0.118486870060469,0.118486870060469,0.0509561115874398,-0.116014424424485,-0.118486870060469,-0.118486870060469,-0.118486870060469,-0.114493667001846,-0.114493667001846,-0.154373191020728,-0.166583929767155,-0.213095479540604
"MIR1199",0.213095479540604,0.13686807357325,0.114493667001846,0.118486870060469,0.118486870060469,0.118486870060469,0.0509561115874398,-0.116014424424485,-0.118486870060469,-0.118486870060469,-0.118486870060469,-0.114493667001846,-0.114493667001846,-0.154373191020728,-0.166583929767155,-0.213095479540604
"CD44s",0.213095479540604,0.13686807357325,0.114493667001846,0.118486870060469,0.118486870060469,0.118486870060469,0.0509561115874398,-0.116014424424485,-0.118486870060469,-0.118486870060469,-0.118486870060469,-0.114493667001846,-0.114493667001846,-0.154373191020728,-0.166583929767155,-0.213095479540604
"CD24",0.213095479540604,0.13686807357325,0.114493667001846,0.118486870060469,0.118486870060469,0.118486870060469,0.0509561115874398,-0.116014424424485,-0.118486870060469,-0.118486870060469,-0.118486870060469,-0.114493667001846,-0.114493667001846,-0.154373191020728,-0.166583929767155,-0.213095479540604
"MIR200",-0.0928631689390306,-0.1103195378671,0.069494357940842,0.0729880288269179,0.0729880288269179,0.0729880288269179,0.150758260410132,-0.0715295856710578,-0.0729880288269179,-0.0729880288269179,-0.0729880288269179,-0.069494357940842,-0.069494357940842,-0.00378075066731405,0.0454084426582717,0.0928631689390306
"MIR129",-0.0159642777830653,0.0600575661116632,0.00520143487858719,0.00251887154028615,0.00251887154028615,0.00251887154028615,-0.0786516371641903,-0.00169201110430519,-0.00251887154028615,-0.00251887154028615,-0.00251887154028615,-0.00520143487858719,-0.00520143487858719,-0.0837013195601563,-0.157102834073815,-0.0286820565206008
"GRHL2",0.143675482168684,0.0115887814384089,0.00201861547411286,0.00341988935946318,0.00341988935946318,0.00341988935946318,-0.0267983543108946,-0.000552663951434945,-0.00341988935946318,-0.00341988935946318,-0.00341988935946318,-0.00201861547411286,-0.102018615474113,-0.0193539144728818,-0.10716781251675,-0.143675482168684
"TWIST1",-0.0841926259826251,-0.0573807557425451,-0.00251887154028615,-0.00169201110430519,-0.00169201110430519,-0.00169201110430519,0.0796063646049048,0.00270105772921821,0.00169201110430519,0.00169201110430519,0.00169201110430519,0.00251887154028615,0.00251887154028615,0.0836397242414006,0.157912495114024,0.0288651587963005
"ZEB1",-0.21131922525578,-0.139502219914714,-0.118486870060469,-0.116014424424485,-0.116014424424485,-0.116014424424485,-0.0506453822874946,0.0148633599445013,0.116014424424485,0.116014424424485,0.116014424424485,0.118486870060469,0.118486870060469,0.151649740097679,0.167560810262108,0.21131922525578
"HA",-0.213095479540604,-0.13686807357325,-0.114493667001846,-0.118486870060469,-0.118486870060469,-0.118486870060469,-0.0509561115874398,0.116014424424485,0.118486870060469,0.118486870060469,0.118486870060469,0.114493667001846,0.114493667001846,0.154373191020728,0.166583929767155,0.213095479540604
"MIR190",-0.218940609550061,-0.297812620983353,-0.119902080154535,-0.117145187923958,-0.117145187923958,-0.117145187923958,0.0688782407772805,0.117145187923958,0.117145187923958,0.117145187923958,0.117145187923958,0.119902080154535,0.119902080154535,0.184579537683947,0.154022701275615,0.218940609550061
"SNAIL1",-0.220071583391018,-0.195768214699679,-0.117145187923958,-0.118160341668257,-0.118160341668257,-0.118160341668257,0.0690032301813113,0.118089620310407,0.118160341668257,0.118160341668257,0.118160341668257,0.117145187923958,0.117145187923958,0.185947210563889,0.0538105234957986,0.220071583391018
