"","MIR129","MIR34","MIR200","HA","CD24","MIR1199","GRHL2","ESRP1","TWIST1","ZEB1","TGFB","MIR340","MIR190","HAS2","CD44s","SNAIL1"
"TWIST1",0.0153039178339746,0.0750886125052586,0.0750886125052586,0.163209457236572,0.163209457236572,0.163685528396682,0.163685528396682,0.163685528396682,0.0049176023726881,-0.162850455327788,0.00101433313415444,-0.163685528396682,-0.163685528396682,-0.163685528396682,-0.163209457236572,-0.016698852548807
"MIR200",-0.0557859758981302,0.172662937281575,0.172662937281575,0.0816760127846644,0.0816760127846644,0.0830431013922594,0.0830431013922594,0.0830431013922594,-0.0283158911852756,-0.0826740977022225,-0.187265225322578,-0.0830431013922594,-0.0830431013922594,-0.0830431013922594,-0.0816760127846644,0.0172095667284649
"MIR190",-0.0683195781663519,0.0863358485098563,0.0863358485098563,0.0694321573704463,0.0694321573704463,0.0719384230346067,0.0719384230346067,0.0719384230346067,-0.0168579433544633,-0.0718527332316932,-0.165881464655215,-0.0719384230346067,-0.0719384230346067,-0.0719384230346067,-0.0694321573704463,-0.000928953409257103
"SNAIL1",-0.0649153588045702,0.084570797606172,0.084570797606172,0.0718527332316932,0.0718527332316932,0.0710729774570868,0.0710729774570868,0.0710729774570868,-0.0138036093730975,-0.0714164811952157,-0.0652843164022376,-0.0710729774570868,-0.0710729774570868,-0.0710729774570868,-0.0718527332316932,-0.0987979380652815
"MIR340",0.0825677497361623,0.0697190259064539,0.0697190259064539,0.0548449914316872,0.0548449914316872,0.0554397238021205,0.0554397238021205,0.0554397238021205,0.0529158445100427,-0.0548737422709915,0.00148870306379787,-0.0554397238021205,-0.0554397238021205,-0.0554397238021205,-0.0548449914316872,-0.0636345867582233
"MIR1199",0.0825677497361623,0.0697190259064539,0.0697190259064539,0.0548449914316872,0.0548449914316872,0.0554397238021205,0.0554397238021205,0.0554397238021205,0.0529158445100427,-0.0548737422709915,0.00148870306379787,-0.0554397238021205,-0.0554397238021205,-0.0554397238021205,-0.0548449914316872,-0.0636345867582233
"HA",0.0825677497361623,0.0697190259064539,0.0697190259064539,0.0548449914316872,0.0548449914316872,0.0554397238021205,0.0554397238021205,0.0554397238021205,0.0529158445100427,-0.0548737422709915,0.00148870306379787,-0.0554397238021205,-0.0554397238021205,-0.0554397238021205,-0.0548449914316872,-0.0636345867582233
"CD44s",0.0825677497361623,0.0697190259064539,0.0697190259064539,0.0548449914316872,0.0548449914316872,0.0554397238021205,0.0554397238021205,0.0554397238021205,0.0529158445100427,-0.0548737422709915,0.00148870306379787,-0.0554397238021205,-0.0554397238021205,-0.0554397238021205,-0.0548449914316872,-0.0636345867582233
"ZEB1",-0.0837207569035042,-0.0691889582771357,-0.0691889582771357,-0.0554397238021205,-0.0554397238021205,-0.0548737422709915,-0.0548737422709915,-0.0548737422709915,-0.0531963057129097,-0.0451364441403358,-0.00197650794184665,0.0548737422709915,0.0548737422709915,0.0548737422709915,0.0554397238021205,0.0627553943127658
"CD24",-0.0825677497361623,-0.0697190259064539,-0.0697190259064539,-0.0548449914316872,-0.0548449914316872,-0.0554397238021205,-0.0554397238021205,-0.0554397238021205,-0.0529158445100427,0.0548737422709915,-0.00148870306379787,0.0554397238021205,0.0554397238021205,0.0554397238021205,0.0548449914316872,0.0636345867582233
"HAS2",-0.0824764255352491,-0.0701405222183612,-0.0701405222183612,-0.154081632653061,-0.0540816326530612,-0.0548449914316872,-0.0548449914316872,-0.0548449914316872,-0.0504500910853852,0.0554397238021205,-0.00235826828118917,0.0548449914316872,0.0548449914316872,0.0548449914316872,0.0540816326530612,0.0631615498613454
"ESRP1",-0.0824764255352491,-0.0701405222183612,-0.0701405222183612,-0.0540816326530612,-0.0540816326530612,-0.0548449914316872,-0.0548449914316872,-0.0548449914316872,-0.0504500910853852,0.0554397238021205,-0.00235826828118917,0.0548449914316872,0.0548449914316872,0.0548449914316872,-0.0459183673469388,0.0631615498613454
"TGFB",0.0658118790902411,-0.0846338322752399,-0.0846338322752399,-0.0719384230346067,-0.0719384230346067,-0.0718527332316932,-0.0718527332316932,-0.0718527332316932,0.0122384976879433,0.0710729774570868,0.0663082071872205,0.0718527332316932,0.0718527332316932,0.0718527332316932,0.0719384230346067,-0.000138827463537698
"MIR34",0.0658118790902411,-0.0846338322752399,-0.0846338322752399,-0.0719384230346067,-0.0719384230346067,-0.0718527332316932,-0.0718527332316932,-0.0718527332316932,0.0122384976879433,0.0710729774570868,0.0663082071872205,0.0718527332316932,0.0718527332316932,0.0718527332316932,0.0719384230346067,-0.000138827463537698
"MIR129",-0.0141791467118192,-0.0762589235616183,-0.0762589235616183,-0.161421081677704,-0.161421081677704,-0.163209457236572,-0.163209457236572,-0.163209457236572,-0.100524296933358,0.163685528396682,-0.00205688033054779,0.163209457236572,0.163209457236572,0.163209457236572,0.161421081677704,0.0166851294803289
"GRHL2",-0.102574761800123,-0.165608690343679,-0.165608690343679,-0.172385271699408,-0.0723852716994078,-0.173022214374567,-0.173022214374567,-0.173022214374567,-0.0707183995779663,0.172757547413826,-0.00877242385211911,0.173022214374567,0.173022214374567,0.173022214374567,0.172385271699408,0.0888705482372119
