"","HA","CD44s","MIR340","MIR190","HAS2","GRHL2","MIR34","MIR200","SNAIL1","TWIST1","MIR129","TGFB","ZEB1","MIR1199","ESRP1","CD24"
"GRHL2",0.489973568413359,0.489973568413359,0.511374842298709,0.511374842298709,0.511374842298709,0.511374842298709,0.380064024098526,0.380064024098526,0.148533120328942,0.114097942980269,0.114097942980269,0.0194293294033815,-0.514859623948467,-0.511374842298709,-0.511374842298709,-0.589973568413359
"HAS2",0.428787878787879,0.328787878787879,0.322426555632662,0.322426555632662,0.322426555632662,0.322426555632662,0.245366371626996,0.245366371626996,0.133427327688806,0.0813876868229809,0.0813876868229809,0.0130030213194513,-0.35309775359358,-0.322426555632662,-0.322426555632662,-0.328787878787879
"ESRP1",0.328787878787879,0.228787878787879,0.322426555632662,0.322426555632662,0.322426555632662,0.322426555632662,0.245366371626996,0.245366371626996,0.133427327688806,0.0813876868229809,0.0813876868229809,0.0130030213194513,-0.35309775359358,-0.322426555632662,-0.322426555632662,-0.328787878787879
"MIR340",0.322426555632662,0.322426555632662,0.35309775359358,0.35309775359358,0.35309775359358,0.35309775359358,0.257062894282423,0.257062894282423,0.122452871681238,0.101570335224807,0.101570335224807,0.00904166866244651,-0.347050687760991,-0.35309775359358,-0.35309775359358,-0.322426555632662
"HA",0.322426555632662,0.322426555632662,0.35309775359358,0.35309775359358,0.35309775359358,0.35309775359358,0.257062894282423,0.257062894282423,0.122452871681238,0.101570335224807,0.101570335224807,0.00904166866244651,-0.347050687760991,-0.35309775359358,-0.35309775359358,-0.322426555632662
"MIR200",0.241599054890457,0.241599054890457,0.250763611852483,0.250763611852483,0.250763611852483,0.250763611852483,0.092287311240856,0.092287311240856,0.116051747513599,0.0839060383764561,0.0839060383764561,0.00303740656587115,-0.252714059928392,-0.250763611852483,-0.250763611852483,-0.241599054890457
"TGFB",0.137000801172204,0.137000801172204,0.123547502114792,0.123547502114792,0.123547502114792,0.123547502114792,0.119369238260907,0.119369238260907,0.00434432630200141,-0.0358886248972574,-0.0358886248972574,-0.0664429141251672,-0.13733299571491,-0.123547502114792,-0.123547502114792,-0.137000801172204
"MIR190",0.114444410194761,0.114444410194761,0.137000801172204,0.137000801172204,0.137000801172204,0.137000801172204,0.122328128022625,0.122328128022625,-0.00702986125603016,-0.0197425624247541,-0.0197425624247541,0.0290525813703283,-0.123547502114792,-0.137000801172204,-0.137000801172204,-0.114444410194761
"TWIST1",0.0688766313663176,0.0688766313663176,0.0898989315417122,0.0898989315417122,0.0898989315417122,0.0898989315417122,0.0447641576209904,0.0447641576209904,0.0369337343005221,0.0569539955063135,-0.0502614776851588,0.00434045249050451,-0.07782516675396,-0.0898989315417122,-0.0898989315417122,-0.0688766313663176
"MIR129",-0.0873565121412803,-0.0873565121412803,-0.0688766313663176,-0.0688766313663176,-0.0688766313663176,-0.0688766313663176,-0.038327446811012,-0.038327446811012,-0.0491335421775634,-0.137916338602548,0.0692779568899718,-0.00904600334990152,0.0898989315417122,0.0688766313663176,0.0688766313663176,0.0873565121412803
"SNAIL1",-0.123547502114792,-0.123547502114792,-0.13733299571491,-0.13733299571491,-0.13733299571491,-0.13733299571491,-0.123394452128534,-0.123394452128534,-0.0958304562884112,0.022866287866411,0.022866287866411,0.0697096132963032,0.128583753443744,0.13733299571491,0.13733299571491,0.123547502114792
"MIR34",-0.137000801172204,-0.137000801172204,-0.123547502114792,-0.123547502114792,-0.123547502114792,-0.123547502114792,-0.119369238260907,-0.119369238260907,-0.00434432630200141,0.0358886248972574,0.0358886248972574,0.0664429141251672,0.13733299571491,0.123547502114792,0.123547502114792,0.137000801172204
"ZEB1",-0.35309775359358,-0.35309775359358,-0.347050687760991,-0.347050687760991,-0.347050687760991,-0.347050687760991,-0.257592961911741,-0.257592961911741,-0.134110312254341,-0.0874537880138383,-0.0874537880138383,-0.0135619938656985,0.264703738591184,0.347050687760991,0.347050687760991,0.35309775359358
"MIR1199",-0.322426555632662,-0.322426555632662,-0.35309775359358,-0.35309775359358,-0.35309775359358,-0.35309775359358,-0.257062894282423,-0.257062894282423,-0.122452871681238,-0.101570335224807,-0.101570335224807,-0.00904166866244651,0.347050687760991,0.35309775359358,0.35309775359358,0.322426555632662
"CD44s",-0.322426555632662,-0.322426555632662,-0.35309775359358,-0.35309775359358,-0.35309775359358,-0.35309775359358,-0.257062894282423,-0.257062894282423,-0.122452871681238,-0.101570335224807,-0.101570335224807,-0.00904166866244651,0.347050687760991,0.35309775359358,0.35309775359358,0.322426555632662
"CD24",-0.322426555632662,-0.322426555632662,-0.35309775359358,-0.35309775359358,-0.35309775359358,-0.35309775359358,-0.257062894282423,-0.257062894282423,-0.122452871681238,-0.101570335224807,-0.101570335224807,-0.00904166866244651,0.347050687760991,0.35309775359358,0.35309775359358,0.322426555632662
