"","SNAIL1","MIR34","ZEB1","MIR340","MIR1199","HAS2","ESRP1","CD24","MIR200","TGFB","HA","CD44s","MIR190","GRHL2","TWIST1","MIR129"
"GRHL2",0.155121128391301,0.213552057243134,-0.164194784749141,0.163709561987783,0.163709561987783,0.163709561987783,0.163709561987783,0.0638369505228144,-0.137752809307793,-0.149324883873574,-0.163836950522814,-0.163836950522814,-0.163709561987783,-0.163709561987783,-0.119046500668007,-0.119046500668007
"ZEB1",-0.131560565035082,-0.101979948576173,-0.0526904514558075,-0.0482568847976304,-0.0482568847976304,-0.0482568847976304,-0.0482568847976304,-0.0472738642435643,0.0379310771032581,0.0423172926450929,0.0472738642435643,0.0472738642435643,0.0482568847976304,0.0482568847976304,0.0982364152938438,0.0982364152938438
"MIR1199",0.130225495025313,0.101815444829143,-0.0482568847976304,0.0472738642435643,0.0472738642435643,0.0472738642435643,0.0472738642435643,0.0482084436828166,-0.0368892200387361,-0.0435205446776132,-0.0482084436828166,-0.0482084436828166,-0.0472738642435643,-0.0472738642435643,-0.0998256954434231,-0.0998256954434231
"HA",0.130225495025313,0.101815444829143,-0.0482568847976304,0.0472738642435643,0.0472738642435643,0.0472738642435643,0.0472738642435643,0.0482084436828166,-0.0368892200387361,-0.0435205446776132,-0.0482084436828166,-0.0482084436828166,-0.0472738642435643,-0.0472738642435643,-0.0998256954434231,-0.0998256954434231
"CD44s",0.130225495025313,0.101815444829143,-0.0482568847976304,0.0472738642435643,0.0472738642435643,0.0472738642435643,0.0472738642435643,0.0482084436828166,-0.0368892200387361,-0.0435205446776132,-0.0482084436828166,-0.0482084436828166,-0.0472738642435643,-0.0472738642435643,-0.0998256954434231,-0.0998256954434231
"MIR34",0.0470354612887741,0.0952063322657653,-0.038197438242697,0.0211163730668841,0.0211163730668841,0.0211163730668841,0.0211163730668841,0.0426245135981609,0.0741298731571598,0.0529037191251107,-0.0426245135981609,-0.0426245135981609,-0.0211163730668841,-0.0211163730668841,-0.0666340223042409,-0.0666340223042409
"SNAIL1",-0.0357529310687285,0.0973224961559048,-0.0245684222798762,0.038197438242697,0.038197438242697,0.038197438242697,0.038197438242697,0.0211163730668841,0.0553365368221756,0.0758031177924275,-0.0211163730668841,-0.0211163730668841,-0.038197438242697,-0.038197438242697,-0.0417289926734857,-0.0417289926734857
"TWIST1",-0.0108795116494111,0.0063981727739743,0.0019560739098472,0.0101002935223031,0.0101002935223031,0.0101002935223031,0.0101002935223031,-0.00500870171698529,-0.0155772749775491,0.00270945010312247,0.00500870171698529,0.00500870171698529,-0.0101002935223031,-0.0101002935223031,0.0467477939411364,-0.0598228497821929
"MIR129",0.0260709484546807,-0.00451951555192317,0.0101002935223031,0.00500870171698529,0.00500870171698529,0.00500870171698529,0.00500870171698529,-0.0142163355408389,-0.0011150564052658,0.0176061317509209,0.0142163355408389,0.0142163355408389,-0.00500870171698529,-0.00500870171698529,-0.124624362978793,0.0819259102059439
"MIR190",-0.0685303545106868,-0.0977462641851159,0.0211163730668841,-0.0426245135981609,-0.0426245135981609,-0.0426245135981609,-0.0426245135981609,-0.0153062178588125,-0.0503802004679742,0.0181252045353919,0.0153062178588125,0.0153062178588125,0.0426245135981609,0.0426245135981609,0.0352657864925383,0.0352657864925383
"TGFB",-0.0470354612887741,-0.0952063322657653,0.038197438242697,-0.0211163730668841,-0.0211163730668841,-0.0211163730668841,-0.0211163730668841,-0.0426245135981609,-0.0741298731571598,-0.0529037191251107,0.0426245135981609,0.0426245135981609,0.0211163730668841,0.0211163730668841,0.0666340223042409,0.0666340223042409
"HAS2",-0.13136078357782,-0.10160469667319,0.0472738642435643,-0.0482084436828166,-0.0482084436828166,-0.0482084436828166,-0.0482084436828166,-0.0459183673469388,0.0382590830524347,0.0409118490254393,-0.0540816326530612,0.0459183673469388,0.0482084436828166,0.0482084436828166,0.0973599420187655,0.0973599420187655
"ESRP1",-0.13136078357782,-0.10160469667319,0.0472738642435643,-0.0482084436828166,-0.0482084436828166,-0.0482084436828166,-0.0482084436828166,-0.0459183673469388,0.0382590830524347,0.0409118490254393,0.0459183673469388,-0.0540816326530612,0.0482084436828166,0.0482084436828166,0.0973599420187655,0.0973599420187655
"MIR340",-0.130225495025313,-0.101815444829143,0.0482568847976304,-0.0472738642435643,-0.0472738642435643,-0.0472738642435643,-0.0472738642435643,-0.0482084436828166,0.0368892200387361,0.0435205446776132,0.0482084436828166,0.0482084436828166,0.0472738642435643,0.0472738642435643,0.0998256954434231,0.0998256954434231
"CD24",-0.130225495025313,-0.101815444829143,0.0482568847976304,-0.0472738642435643,-0.0472738642435643,-0.0472738642435643,-0.0472738642435643,-0.0482084436828166,0.0368892200387361,0.0435205446776132,0.0482084436828166,0.0482084436828166,0.0472738642435643,0.0472738642435643,0.0998256954434231,0.0998256954434231
"MIR200",-0.147528390434271,-0.203303280316048,0.049116223813399,-0.0573573062242231,-0.0573573062242231,-0.0573573062242231,-0.0573573062242231,-0.0468762935659953,-0.0385549148853602,0.0490272843860466,0.0468762935659953,0.0468762935659953,0.0573573062242231,0.0573573062242231,0.089529258384403,0.089529258384403
