"","ZEB1","MIR200","MIR34","MIR340","MIR190","MIR1199","GRHL2","ESRP1","TGFB","HA","CD44s","CD24","HAS2","SNAIL1","TWIST1","MIR129"
"SNAIL1",-0.0834441136662315,-0.00443680781037156,0.0818694510473527,0.0823226749917518,0.0823226749917518,0.0823226749917518,0.0823226749917518,0.0823226749917518,-0.0617309742936502,-0.0823668121110691,-0.0823668121110691,-0.0823668121110691,-0.0823226749917518,-0.111264231443397,0.0242218459641012,0.0242218459641012
"TGFB",-0.0823226749917518,-0.00417566418137561,0.0816623371347007,0.0823668121110691,0.0823668121110691,0.0823668121110691,0.0823668121110691,0.0823668121110691,-0.0613896773653226,-0.0851945756072131,-0.0851945756072131,-0.0851945756072131,-0.0823668121110691,-0.0113361796406948,0.0243282127776554,0.0243282127776554
"ZEB1",-0.0675945462200223,-0.0524141368250836,-0.0503075101575445,-0.0310302882507936,-0.0310302882507936,-0.0310302882507936,-0.0310302882507936,-0.0310302882507936,0.000169738215507297,0.0283195346017022,0.0283195346017022,0.0283195346017022,0.0310302882507936,0.0479998117007514,0.0510839897244057,0.0510839897244057
"MIR1199",-0.0310302882507936,0.0513722797605616,0.0480227358932418,0.0283195346017022,0.0283195346017022,0.0283195346017022,0.0283195346017022,0.0283195346017022,0.000318066662541483,-0.0295939611097735,-0.0295939611097735,-0.0295939611097735,-0.0283195346017022,-0.0472183073047892,-0.0516137497742655,-0.0516137497742655
"CD44s",-0.0310302882507936,0.0513722797605616,0.0480227358932418,0.0283195346017022,0.0283195346017022,0.0283195346017022,0.0283195346017022,0.0283195346017022,0.000318066662541483,-0.0295939611097735,-0.0295939611097735,-0.0295939611097735,-0.0283195346017022,-0.0472183073047892,-0.0516137497742655,-0.0516137497742655
"CD24",-0.0310302882507936,0.0513722797605616,0.0480227358932418,0.0283195346017022,0.0283195346017022,0.0283195346017022,0.0283195346017022,0.0283195346017022,0.000318066662541483,-0.0295939611097735,-0.0295939611097735,-0.0295939611097735,-0.0283195346017022,-0.0472183073047892,-0.0516137497742655,-0.0516137497742655
"MIR129",-0.002673340437788,-0.00296769420377107,0.0099159734896644,0.00370065188855222,0.00370065188855222,0.00370065188855222,0.00370065188855222,0.00370065188855222,-0.00434046992519546,-0.00176324503311258,-0.00176324503311258,-0.00176324503311258,-0.00370065188855222,0.0162181366169352,-0.190663367278957,0.202281984508857
"TWIST1",0.00208183034732176,0.00367604036946248,-0.00936161562086243,-0.002673340437788,-0.002673340437788,-0.002673340437788,-0.002673340437788,-0.002673340437788,0.00403052346140284,0.00370065188855222,0.00370065188855222,0.00370065188855222,0.002673340437788,-0.0159573983158511,0.0905587647684966,-0.202412771848642
"HAS2",0.0283195346017022,-0.0529528909302139,-0.0480227358932418,-0.0295939611097735,-0.0295939611097735,-0.0295939611097735,-0.0295939611097735,-0.0295939611097735,-2.8211590077715e-05,0.139517625231911,0.0395176252319109,0.0395176252319109,0.0295939611097735,0.0488266327541742,0.0531662611897906,0.0531662611897906
"ESRP1",0.0283195346017022,-0.0529528909302139,-0.0480227358932418,-0.0295939611097735,-0.0295939611097735,-0.0295939611097735,-0.0295939611097735,-0.0295939611097735,-2.8211590077715e-05,0.0395176252319109,-0.0604823747680891,0.0395176252319109,0.0295939611097735,0.0488266327541742,0.0531662611897906,0.0531662611897906
"MIR340",0.0310302882507936,-0.0513722797605616,-0.0480227358932418,-0.0283195346017022,-0.0283195346017022,-0.0283195346017022,-0.0283195346017022,-0.0283195346017022,-0.000318066662541483,0.0295939611097735,0.0295939611097735,0.0295939611097735,0.0283195346017022,0.0472183073047892,0.0516137497742655,0.0516137497742655
"HA",0.0310302882507936,-0.0513722797605616,-0.0480227358932418,-0.0283195346017022,-0.0283195346017022,-0.0283195346017022,-0.0283195346017022,-0.0283195346017022,-0.000318066662541483,0.0295939611097735,0.0295939611097735,0.0295939611097735,0.0283195346017022,0.0472183073047892,0.0516137497742655,0.0516137497742655
"MIR200",0.0325306680220553,-0.139777356998535,0.0304178573897553,-0.0297719261489223,-0.0297719261489223,-0.0297719261489223,-0.0297719261489223,-0.0297719261489223,0.00894580978351325,0.0300250907058843,0.0300250907058843,0.0300250907058843,0.0297719261489223,0.0671248689940093,0.0584319169222452,0.0584319169222452
"MIR34",0.0823226749917518,0.00417566418137561,-0.0816623371347007,-0.0823668121110691,-0.0823668121110691,-0.0823668121110691,-0.0823668121110691,-0.0823668121110691,0.0613896773653226,0.0851945756072131,0.0851945756072131,0.0851945756072131,0.0823668121110691,0.0113361796406948,-0.0243282127776554,-0.0243282127776554
"MIR190",0.0823668121110691,0.00189758091350444,-0.0828406560663582,-0.0851945756072131,-0.0851945756072131,-0.0851945756072131,-0.0851945756072131,-0.0851945756072131,-0.0375197583862184,0.0864477084392933,0.0864477084392933,0.0864477084392933,0.0851945756072131,0.0119397079601005,-0.0228763869967491,-0.0228763869967491
"GRHL2",0.122247920822796,-0.152234718645123,-0.127685831718382,-0.120571696738102,-0.120571696738102,-0.120571696738102,-0.120571696738102,-0.120571696738102,-0.00684550364422621,0.124011187183962,0.124011187183962,0.0240111871839621,0.120571696738102,0.0732536538999504,0.0703815982208593,0.0703815982208593
