"","MIR340","MIR1199","HAS2","GRHL2","CD24","MIR34","MIR200","TWIST1","TGFB","ZEB1","MIR129","SNAIL1","HA","CD44s","MIR190","ESRP1"
"MIR340",0.149781674686127,0.149781674686127,0.149781674686127,0.149781674686127,0.149866636453332,0.136630516594781,0.136630516594781,0.0944337197049526,-0.00363218637493265,-0.149930617194319,-0.0587620022201811,-0.0768714070974022,-0.149866636453332,-0.149866636453332,-0.149781674686127,-0.149781674686127
"MIR1199",0.149781674686127,0.149781674686127,0.149781674686127,0.149781674686127,0.149866636453332,0.136630516594781,0.136630516594781,0.0944337197049526,-0.00363218637493265,-0.149930617194319,-0.0587620022201811,-0.0768714070974022,-0.149866636453332,-0.149866636453332,-0.149781674686127,-0.149781674686127
"HA",0.149781674686127,0.149781674686127,0.149781674686127,0.149781674686127,0.149866636453332,0.136630516594781,0.136630516594781,0.0944337197049526,-0.00363218637493265,-0.149930617194319,-0.0587620022201811,-0.0768714070974022,-0.149866636453332,-0.149866636453332,-0.149781674686127,-0.149781674686127
"CD24",0.149781674686127,0.149781674686127,0.149781674686127,0.149781674686127,0.149866636453332,0.136630516594781,0.136630516594781,0.0944337197049526,-0.00363218637493265,-0.149930617194319,-0.0587620022201811,-0.0768714070974022,-0.149866636453332,-0.149866636453332,-0.149781674686127,-0.149781674686127
"TGFB",0.0804759131816508,0.0804759131816508,0.0804759131816508,0.0804759131816508,0.0809900519991315,0.102010613316647,0.102010613316647,0.0805416602304352,-0.0738965527925024,-0.0807260235244491,-0.020718278093729,-0.0212832975049804,-0.0809900519991315,-0.0809900519991315,-0.0804759131816508,-0.0804759131816508
"MIR34",0.0804759131816508,0.0804759131816508,0.0804759131816508,0.0804759131816508,0.0809900519991315,0.102010613316647,0.102010613316647,0.0805416602304352,-0.0738965527925024,-0.0807260235244491,-0.020718278093729,-0.0212832975049804,-0.0809900519991315,-0.0809900519991315,-0.0804759131816508,-0.0804759131816508
"TWIST1",0.00828886517843957,0.00828886517843957,0.00828886517843957,0.00828886517843957,0.00801324503311258,0.00974231659887315,0.00974231659887315,-0.0573443607043522,-0.00326173727679144,-0.00818448104482788,0.108274693909618,-0.0126027547057384,-0.00801324503311258,-0.00801324503311258,-0.00828886517843957,-0.00828886517843957
"MIR129",-0.00801324503311258,-0.00801324503311258,-0.00801324503311258,-0.00801324503311258,-0.00801324503311258,-0.00983470957700681,-0.00983470957700681,-0.0433878568688695,0.00317720642302981,0.00828886517843957,-0.107620757210691,0.0124792470894354,0.00801324503311258,0.00801324503311258,0.00801324503311258,0.00801324503311258
"GRHL2",-0.0165306676577894,-0.0165306676577894,-0.0165306676577894,-0.0165306676577894,0.0832145552721469,-0.0184475864463206,-0.0184475864463206,-0.0769268130996216,0.00353122879296785,0.0166630011381599,0.0564343386511561,0.0634688048112663,0.0167854447278531,0.0167854447278531,0.0165306676577894,0.0165306676577894
"ZEB1",-0.149930617194319,-0.149930617194319,-0.149930617194319,-0.149930617194319,-0.149781674686127,-0.136612238400667,-0.136612238400667,-0.0943402326373303,0.0037297473505424,0.0498389394923737,0.0586685151525588,0.0770993458795579,0.149781674686127,0.149781674686127,0.149930617194319,0.149930617194319
"MIR190",-0.0809900519991315,-0.0809900519991315,-0.0809900519991315,-0.0809900519991315,-0.0802381722998834,-0.101879688990907,-0.101879688990907,-0.0800577183034664,-0.0256767046754919,0.0804759131816508,0.0197063995191579,0.0217011248030305,0.0802381722998834,0.0802381722998834,0.0809900519991315,0.0809900519991315
"SNAIL1",-0.0807260235244491,-0.0807260235244491,-0.0807260235244491,-0.0807260235244491,-0.0804759131816508,-0.102001608363923,-0.102001608363923,-0.080617636525831,0.074172840782101,0.0806350960643561,0.0202776155804331,-0.0785488233679911,0.0804759131816508,0.0804759131816508,0.0807260235244491,0.0807260235244491
"MIR200",-0.137686582086479,-0.137686582086479,-0.137686582086479,-0.137686582086479,-0.137433417529517,-0.224146485851109,-0.224146485851109,-0.119287609912019,0.000123051368192106,0.137563580856467,0.0596256903987986,0.0993639536578541,0.137433417529517,0.137433417529517,0.137686582086479,0.137686582086479
"HAS2",-0.149866636453332,-0.149866636453332,-0.149866636453332,-0.149866636453332,-0.149103277674706,-0.136525142516804,-0.136525142516804,-0.0947076923076923,0.00392204144739642,0.149781674686127,0.0584880296174414,0.077155229235529,0.0491032776747062,0.149103277674706,0.149866636453332,0.149866636453332
"ESRP1",-0.149866636453332,-0.149866636453332,-0.149866636453332,-0.149866636453332,-0.149103277674706,-0.136525142516804,-0.136525142516804,-0.0947076923076923,0.00392204144739642,0.149781674686127,0.0584880296174414,0.077155229235529,0.149103277674706,0.249103277674706,0.149866636453332,0.149866636453332
"CD44s",-0.149781674686127,-0.149781674686127,-0.149781674686127,-0.149781674686127,-0.149866636453332,-0.136630516594781,-0.136630516594781,-0.0944337197049526,0.00363218637493265,0.149930617194319,0.0587620022201811,0.0768714070974022,0.149866636453332,0.149866636453332,0.149781674686127,0.149781674686127
