"","MIR190","MIR1199","HAS2","GRHL2","ESRP1","HA","CD44s","MIR34","ZEB1","TWIST1","MIR129","SNAIL1","MIR200","TGFB","CD24","MIR340"
"TWIST1",0.282849712025516,0.282849712025516,0.282849712025516,0.282849712025516,0.282849712025516,0.28172217506736,0.28172217506736,0.301944919048901,-0.283476016827186,-0.0458286483321467,-0.304624780128092,-0.333087202902444,0.00408719454383037,-0.0945323018372403,-0.28172217506736,-0.282849712025516
"GRHL2",0.228279683114345,0.228279683114345,0.228279683114345,0.228279683114345,0.228279683114345,0.22866184871944,0.22866184871944,0.233960601447886,-0.228279683114345,-0.0763173457295162,-0.0763173457295162,-0.0841487701632622,-0.203885431196627,-0.214862268728523,-0.32866184871944,-0.228279683114345
"TGFB",0.183633641853172,0.183633641853172,0.183633641853172,0.183633641853172,0.183633641853172,0.182519674415297,0.182519674415297,0.300988389680138,-0.184295698642932,-0.155958753393885,-0.155958753393885,-0.3247329985738,0.109481934009958,0.0436833057245259,-0.182519674415297,-0.183633641853172
"MIR34",0.183633641853172,0.183633641853172,0.183633641853172,0.183633641853172,0.183633641853172,0.182519674415297,0.182519674415297,0.300988389680138,-0.184295698642932,-0.155958753393885,-0.155958753393885,-0.3247329985738,0.109481934009958,0.0436833057245259,-0.182519674415297,-0.183633641853172
"MIR200",0.178378232569348,0.178378232569348,0.178378232569348,0.178378232569348,0.178378232569348,0.177416207252892,0.177416207252892,0.289166059578503,-0.17885266588511,-0.142976869478035,-0.142976869478035,-0.236453560618947,-0.00463195497307122,0.0669877030459331,-0.177416207252892,-0.178378232569348
"MIR340",0.145921685166378,0.145921685166378,0.145921685166378,0.145921685166378,0.145921685166378,0.146006646933583,0.146006646933583,0.129823713679703,-0.145951473668016,-0.0580150553717032,-0.0580150553717032,-0.0585134823407371,-0.121598165971931,-0.13205999084648,-0.146006646933583,-0.145921685166378
"MIR1199",0.145921685166378,0.145921685166378,0.145921685166378,0.145921685166378,0.145921685166378,0.146006646933583,0.146006646933583,0.129823713679703,-0.145951473668016,-0.0580150553717032,-0.0580150553717032,-0.0585134823407371,-0.121598165971931,-0.13205999084648,-0.146006646933583,-0.145921685166378
"HA",0.145921685166378,0.145921685166378,0.145921685166378,0.145921685166378,0.145921685166378,0.146006646933583,0.146006646933583,0.129823713679703,-0.145951473668016,-0.0580150553717032,-0.0580150553717032,-0.0585134823407371,-0.121598165971931,-0.13205999084648,-0.146006646933583,-0.145921685166378
"HAS2",0.146006646933583,0.146006646933583,0.146006646933583,0.146006646933583,0.146006646933583,0.247278911564626,0.147278911564626,0.129612965523749,-0.145921685166378,-0.05792373117079,-0.05792373117079,-0.0593649487551174,-0.121914288205861,-0.132736319348895,-0.147278911564626,-0.146006646933583
"ZEB1",-0.145951473668016,-0.145951473668016,-0.145951473668016,-0.145951473668016,-0.145951473668016,-0.145921685166378,-0.145921685166378,-0.129512984379758,0.0457579318527977,0.0574229706100953,0.0574229706100953,0.0583832316080767,0.121945451660105,0.131832348570057,0.145921685166378,0.145951473668016
"ESRP1",-0.146006646933583,-0.146006646933583,-0.146006646933583,-0.146006646933583,-0.146006646933583,-0.147278911564626,-0.0472789115646259,-0.129612965523749,0.145921685166378,0.05792373117079,0.05792373117079,0.0593649487551174,0.121914288205861,0.132736319348895,0.147278911564626,0.146006646933583
"CD44s",-0.145921685166378,-0.145921685166378,-0.145921685166378,-0.145921685166378,-0.145921685166378,-0.146006646933583,-0.146006646933583,-0.129823713679703,0.145951473668016,0.0580150553717032,0.0580150553717032,0.0585134823407371,0.121598165971931,0.13205999084648,0.146006646933583,0.145921685166378
"CD24",-0.145921685166378,-0.145921685166378,-0.145921685166378,-0.145921685166378,-0.145921685166378,-0.146006646933583,-0.146006646933583,-0.129823713679703,0.145951473668016,0.0580150553717032,0.0580150553717032,0.0585134823407371,0.121598165971931,0.13205999084648,0.146006646933583,0.145921685166378
"MIR190",-0.182519674415297,-0.182519674415297,-0.182519674415297,-0.182519674415297,-0.182519674415297,-0.180013408751137,-0.180013408751137,-0.299652961557593,0.183633641853172,0.155122853701848,0.155122853701848,0.323665217701005,-0.109508118875106,-0.144868701646764,0.180013408751137,0.182519674415297
"SNAIL1",-0.184295698642932,-0.184295698642932,-0.184295698642932,-0.184295698642932,-0.184295698642932,-0.183633641853172,-0.183633641853172,-0.301807840378022,0.184659408483304,0.156369025389022,0.156369025389022,0.225156693513443,-0.109490938962682,-0.0432444953881046,0.183633641853172,0.184295698642932
"MIR129",-0.28172217506736,-0.28172217506736,-0.28172217506736,-0.28172217506736,-0.28172217506736,-0.279784768211921,-0.279784768211921,-0.300559024376896,0.282849712025516,-0.0548512679858449,0.30391852849325,0.332359880273104,-0.00408719454383037,0.0937715241533857,0.279784768211921,0.28172217506736
