"","MIR34","MIR200","MIR340","MIR190","GRHL2","ESRP1","HA","CD44s","SNAIL1","ZEB1","TWIST1","MIR129","CD24","MIR1199","HAS2","TGFB"
"SNAIL1",0.338166436277391,0.338166436277391,0.168003848712615,0.168003848712615,0.168003848712615,0.168003848712615,0.167577189892547,0.167577189892547,0.323191515926713,-0.168226115837286,-0.199685358103962,-0.199685358103962,-0.167577189892547,-0.168003848712615,-0.168003848712615,-0.312869327901116
"TGFB",0.337328975674059,0.337328975674059,0.167577189892547,0.167577189892547,0.167577189892547,0.167577189892547,0.16714874087798,0.16714874087798,0.422384097268148,-0.168003848712615,-0.199214305072508,-0.199214305072508,-0.16714874087798,-0.167577189892547,-0.167577189892547,-0.311812932646768
"MIR34",0.337328975674059,0.337328975674059,0.167577189892547,0.167577189892547,0.167577189892547,0.167577189892547,0.16714874087798,0.16714874087798,0.422384097268148,-0.168003848712615,-0.199214305072508,-0.199214305072508,-0.16714874087798,-0.167577189892547,-0.167577189892547,-0.311812932646768
"MIR1199",0.0704182884591784,0.0704182884591784,0.0628799405122034,0.0628799405122034,0.0628799405122034,0.0628799405122034,0.061945361072951,0.061945361072951,0.0532622223231689,-0.0632671910335021,-0.0548826896981611,-0.0548826896981611,-0.061945361072951,-0.0628799405122034,-0.0628799405122034,-0.0650954366502475
"CD44s",0.0704182884591784,0.0704182884591784,0.0628799405122034,0.0628799405122034,0.0628799405122034,0.0628799405122034,0.061945361072951,0.061945361072951,0.0532622223231689,-0.0632671910335021,-0.0548826896981611,-0.0548826896981611,-0.061945361072951,-0.0628799405122034,-0.0628799405122034,-0.0650954366502475
"CD24",0.0704182884591784,0.0704182884591784,0.0628799405122034,0.0628799405122034,0.0628799405122034,0.0628799405122034,0.061945361072951,0.061945361072951,0.0532622223231689,-0.0632671910335021,-0.0548826896981611,-0.0548826896981611,-0.061945361072951,-0.0628799405122034,-0.0628799405122034,-0.0650954366502475
"HAS2",0.0702075403032248,0.0702075403032248,0.061945361072951,0.061945361072951,0.061945361072951,0.061945361072951,-0.037291280148423,0.062708719851577,0.0535460444612957,-0.0628799405122034,-0.0547913654972478,-0.0547913654972478,-0.062708719851577,-0.061945361072951,-0.061945361072951,-0.0659650018676388
"ESRP1",0.0702075403032248,0.0702075403032248,0.061945361072951,0.061945361072951,0.061945361072951,0.061945361072951,0.062708719851577,0.162708719851577,0.0535460444612957,-0.0628799405122034,-0.0547913654972478,-0.0547913654972478,-0.062708719851577,-0.061945361072951,-0.061945361072951,-0.0659650018676388
"MIR129",0.202404212175867,0.202404212175867,0.0546084391850324,0.0546084391850324,0.0546084391850324,0.0546084391850324,0.0529690949227373,0.0529690949227373,0.377518835349681,-0.054984284837751,-0.295217084714087,-0.0465096919182589,-0.0529690949227373,-0.0546084391850324,-0.0546084391850324,-0.148611772446299
"ZEB1",-0.0705462358179794,-0.0705462358179794,-0.0632671910335021,-0.0632671910335021,-0.0632671910335021,-0.0632671910335021,-0.0628799405122034,-0.0628799405122034,-0.0533924730558293,-0.0370689605402984,0.0546645532070424,0.0546645532070424,0.0628799405122034,0.0632671910335021,0.0632671910335021,0.0655832415282963
"MIR200",-0.105657300681578,-0.105657300681578,0.022445140458723,0.022445140458723,0.022445140458723,0.022445140458723,0.0224957733701154,0.0224957733701154,-0.227643436907401,-0.0224978552715854,0.13713772091316,0.13713772091316,-0.0224957733701154,-0.022445140458723,-0.022445140458723,-0.00445006995309029
"TWIST1",-0.203851702166628,-0.203851702166628,-0.054984284837751,-0.054984284837751,-0.054984284837751,-0.054984284837751,-0.0546084391850324,-0.0546084391850324,-0.37912443436162,0.055314834594188,0.19657691735007,0.0478437227840711,0.0546084391850324,0.054984284837751,0.054984284837751,0.151175875010402
"MIR340",-0.0704182884591784,-0.0704182884591784,-0.0628799405122034,-0.0628799405122034,-0.0628799405122034,-0.0628799405122034,-0.061945361072951,-0.061945361072951,-0.0532622223231689,0.0632671910335021,0.0548826896981611,0.0548826896981611,0.061945361072951,0.0628799405122034,0.0628799405122034,0.0650954366502475
"HA",-0.0704182884591784,-0.0704182884591784,-0.0628799405122034,-0.0628799405122034,-0.0628799405122034,-0.0628799405122034,-0.061945361072951,-0.061945361072951,-0.0532622223231689,0.0632671910335021,0.0548826896981611,0.0548826896981611,0.061945361072951,0.0628799405122034,0.0628799405122034,0.0650954366502475
"GRHL2",-0.165843605432287,-0.165843605432287,-0.139314718144244,-0.139314718144244,-0.139314718144244,-0.139314718144244,-0.138805164004117,-0.138805164004117,-0.0783664080973721,0.139844052065726,0.0730181553856542,0.0730181553856542,0.0388051640041169,0.139314718144244,0.139314718144244,0.153751317820345
"MIR190",-0.335888808090922,-0.335888808090922,-0.16714874087798,-0.16714874087798,-0.16714874087798,-0.16714874087798,-0.165644981479484,-0.165644981479484,-0.420898489097303,0.167577189892547,0.197762479291602,0.197762479291602,0.165644981479484,0.16714874087798,0.16714874087798,0.209394724965403
