"","MIR34","CD44s","MIR200","MIR340","MIR190","GRHL2","ESRP1","TWIST1","SNAIL1","ZEB1","MIR129","MIR1199","HAS2","TGFB","HA","CD24"
"TGFB",0.0209111300536989,0.127774771917387,0.105611623347382,0.12760339231156,0.12760339231156,0.12760339231156,0.12760339231156,0.0870831845525502,-0.0135483659983662,-0.127824077908146,-0.0870831845525502,-0.12760339231156,-0.12760339231156,-0.146246533313463,-0.127774771917387,-0.127774771917387
"MIR34",0.0209111300536989,0.127774771917387,0.105611623347382,0.12760339231156,0.12760339231156,0.12760339231156,0.12760339231156,0.0870831845525502,-0.0135483659983662,-0.127824077908146,-0.0870831845525502,-0.12760339231156,-0.12760339231156,-0.146246533313463,-0.127774771917387,-0.127774771917387
"SNAIL1",0.0210642142500069,0.12760339231156,0.105728687732794,0.127824077908146,0.127824077908146,0.127824077908146,0.127824077908146,0.0870375987753128,-0.113508394777645,-0.127793768754782,-0.0870375987753128,-0.127824077908146,-0.127824077908146,-0.146002749793229,-0.12760339231156,-0.12760339231156
"HAS2",0.123450567270821,0.0944959802102659,0.0864377597765852,0.0866079394977977,0.0866079394977977,0.0866079394977977,0.0866079394977977,0.049490423302188,0.0263493497640666,-0.0911109131596499,-0.049490423302188,-0.0866079394977977,-0.0866079394977977,-0.0935332416062639,0.00550401978973407,-0.0944959802102659
"MIR340",0.123872063582728,0.0866079394977977,0.0916010895974493,0.0911109131596499,0.0911109131596499,0.0911109131596499,0.0911109131596499,0.052138825128672,0.0230380914859209,-0.0884597365138352,-0.052138825128672,-0.0911109131596499,-0.0911109131596499,-0.0853206812197905,-0.0866079394977977,-0.0866079394977977
"HA",0.123872063582728,0.0866079394977977,0.0916010895974493,0.0911109131596499,0.0911109131596499,0.0911109131596499,0.0911109131596499,0.052138825128672,0.0230380914859209,-0.0884597365138352,-0.052138825128672,-0.0911109131596499,-0.0911109131596499,-0.0853206812197905,-0.0866079394977977,-0.0866079394977977
"CD24",0.123872063582728,0.0866079394977977,0.0916010895974493,0.0911109131596499,0.0911109131596499,0.0911109131596499,0.0911109131596499,0.052138825128672,0.0230380914859209,-0.0884597365138352,-0.052138825128672,-0.0911109131596499,-0.0911109131596499,-0.0853206812197905,-0.0866079394977977,-0.0866079394977977
"MIR200",0.176765008808452,0.0728522163873763,0.00521638335219029,0.0757382923367434,0.0757382923367434,0.0757382923367434,0.0757382923367434,-0.0805484063060775,-0.031129635505274,-0.0742447059723083,0.0805484063060775,-0.0757382923367434,-0.0757382923367434,-0.0904364755793349,-0.0728522163873763,-0.0728522163873763
"ZEB1",-0.123524777894554,-0.0911109131596499,-0.0886948567332562,-0.0884597365138352,-0.0884597365138352,-0.0884597365138352,-0.0884597365138352,-0.0508611685378338,-0.0252197912579821,-0.00947242198672507,0.0508611685378338,0.0884597365138352,0.0884597365138352,0.0902312503254815,0.0911109131596499,0.0911109131596499
"TWIST1",0.0104014718321166,0.00651990127087836,0.00312426225610927,0.00849935504186308,0.00849935504186308,0.00849935504186308,0.00849935504186308,0.0120105176551019,-0.00506767708678207,-0.00722934808292084,-0.0391479699107058,-0.00849935504186308,-0.00849935504186308,-0.002898739040958,-0.00651990127087836,-0.00651990127087836
"MIR129",-0.0102166858758493,-0.00964955849889625,-0.000876033121523494,-0.00651990127087836,-0.00651990127087836,-0.00651990127087836,-0.00651990127087836,-0.110912191295269,0.00362675489658034,0.00849935504186308,0.0380755137244646,0.00651990127087836,0.00651990127087836,0.00630815014267679,0.00964955849889625,0.00964955849889625
"MIR1199",-0.123872063582728,-0.0866079394977977,-0.0916010895974493,-0.0911109131596499,-0.0911109131596499,-0.0911109131596499,-0.0911109131596499,-0.052138825128672,-0.0230380914859209,0.0884597365138352,0.052138825128672,0.0911109131596499,0.0911109131596499,0.0853206812197905,0.0866079394977977,0.0866079394977977
"CD44s",-0.123872063582728,-0.0866079394977977,-0.0916010895974493,-0.0911109131596499,-0.0911109131596499,-0.0911109131596499,-0.0911109131596499,-0.052138825128672,-0.0230380914859209,0.0884597365138352,0.052138825128672,0.0911109131596499,0.0911109131596499,0.0853206812197905,0.0866079394977977,0.0866079394977977
"ESRP1",-0.123450567270821,0.00550401978973407,-0.0864377597765852,-0.0866079394977977,-0.0866079394977977,-0.0866079394977977,-0.0866079394977977,-0.049490423302188,-0.0263493497640666,0.0911109131596499,0.049490423302188,0.0866079394977977,0.0866079394977977,0.0935332416062639,0.0944959802102659,0.0944959802102659
"MIR190",-0.0208325754582551,-0.128276025050219,-0.105899656864009,-0.127774771917387,-0.127774771917387,-0.127774771917387,-0.127774771917387,-0.0871271792731838,0.0135019407430273,0.12760339231156,0.0871271792731838,0.127774771917387,0.127774771917387,0.0461991174765733,0.128276025050219,0.128276025050219
"GRHL2",-0.229345590648752,-0.235926582240718,-0.235069148095977,-0.237327856126069,-0.237327856126069,-0.237327856126069,-0.237327856126069,-0.0695408573276904,-0.0478657341530266,0.236533855243845,0.0695408573276904,0.237327856126069,0.237327856126069,0.234003597154855,0.235926582240718,0.135926582240718
