"","MIR340","MIR190","MIR1199","GRHL2","ESRP1","MIR200","SNAIL1","TWIST1","MIR129","ZEB1","MIR34","TGFB","HA","CD44s","CD24","HAS2"
"TWIST1",0.296337099600117,0.296337099600117,0.296337099600117,0.296337099600117,0.296337099600117,0.290059701797461,0.284132552808483,-0.0228143188824144,-0.282089665900907,-0.296928609690584,-0.290059701797461,-0.291569436010413,-0.295560351917832,-0.295560351917832,-0.295560351917832,-0.296337099600117
"MIR340",0.201706594549979,0.201706594549979,0.201706594549979,0.201706594549979,0.201706594549979,0.161461098317149,0.0561855919104467,-0.0571324631318185,-0.0571324631318185,-0.202868346113875,-0.161461098317149,-0.174440026661563,-0.201791556317183,-0.201791556317183,-0.201791556317183,-0.201706594549979
"ESRP1",0.201791556317183,0.201791556317183,0.201791556317183,0.201791556317183,0.201791556317183,0.161039602005241,0.057510095221705,-0.0568584905290788,-0.0568584905290788,-0.201706594549979,-0.161039602005241,-0.176469012168809,-0.204081632653061,-0.304081632653061,-0.204081632653061,-0.201791556317183
"SNAIL1",0.178577010466485,0.178577010466485,0.178577010466485,0.178577010466485,0.178577010466485,0.269691810300275,0.156079896343261,-0.124590673452595,-0.124590673452595,-0.178718453182185,-0.269691810300275,-0.272929394592542,-0.17838574961611,-0.17838574961611,-0.17838574961611,-0.178577010466485
"TGFB",0.17838574961611,0.17838574961611,0.17838574961611,0.17838574961611,0.17838574961611,0.269646785536655,0.256311729423443,-0.12469704026615,-0.12469704026615,-0.178577010466485,-0.269646785536655,-0.27284813341913,-0.178128680207369,-0.178128680207369,-0.178128680207369,-0.17838574961611
"MIR200",0.107116851138918,0.107116851138918,0.107116851138918,0.107116851138918,0.107116851138918,-0.0218670473496892,-0.149915100516028,0.099051857472877,0.099051857472877,-0.107696714080405,0.0218670473496892,-0.0882342243726037,-0.107876344809804,-0.107876344809804,-0.107876344809804,-0.107116851138918
"GRHL2",-0.0347802243270279,-0.0347802243270279,-0.0347802243270279,-0.0347802243270279,-0.0347802243270279,-0.0277208024864099,-0.0527345624016246,0.0556802057602511,0.0556802057602511,0.0356624475294982,0.0277208024864099,0.0289595126314346,0.0342706701869006,0.0342706701869006,-0.0657293298130995,0.0347802243270279
"ZEB1",-0.202868346113875,-0.202868346113875,-0.202868346113875,-0.202868346113875,-0.202868346113875,-0.161662158452407,-0.0561530292272816,0.0561664300997213,0.0561664300997213,0.102369211958838,0.161662158452407,0.174667668937986,0.201706594549979,0.201706594549979,0.201706594549979,0.202868346113875
"MIR190",-0.178128680207369,-0.178128680207369,-0.178128680207369,-0.178128680207369,-0.178128680207369,-0.269672970401803,-0.256497430444799,0.124741034986783,0.124741034986783,0.17838574961611,0.269672970401803,0.17185240084445,0.176374294242457,0.176374294242457,0.176374294242457,0.178128680207369
"MIR34",-0.17838574961611,-0.17838574961611,-0.17838574961611,-0.17838574961611,-0.17838574961611,-0.269646785536655,-0.256311729423443,0.12469704026615,0.12469704026615,0.178577010466485,0.269646785536655,0.27284813341913,0.178128680207369,0.178128680207369,0.178128680207369,0.17838574961611
"HAS2",-0.201791556317183,-0.201791556317183,-0.201791556317183,-0.201791556317183,-0.201791556317183,-0.161039602005241,-0.057510095221705,0.0568584905290788,0.0568584905290788,0.201706594549979,0.161039602005241,0.176469012168809,0.304081632653061,0.204081632653061,0.204081632653061,0.201791556317183
"MIR1199",-0.201706594549979,-0.201706594549979,-0.201706594549979,-0.201706594549979,-0.201706594549979,-0.161461098317149,-0.0561855919104467,0.0571324631318185,0.0571324631318185,0.202868346113875,0.161461098317149,0.174440026661563,0.201791556317183,0.201791556317183,0.201791556317183,0.201706594549979
"HA",-0.201706594549979,-0.201706594549979,-0.201706594549979,-0.201706594549979,-0.201706594549979,-0.161461098317149,-0.0561855919104467,0.0571324631318185,0.0571324631318185,0.202868346113875,0.161461098317149,0.174440026661563,0.201791556317183,0.201791556317183,0.201791556317183,0.201706594549979
"CD44s",-0.201706594549979,-0.201706594549979,-0.201706594549979,-0.201706594549979,-0.201706594549979,-0.161461098317149,-0.0561855919104467,0.0571324631318185,0.0571324631318185,0.202868346113875,0.161461098317149,0.174440026661563,0.201791556317183,0.201791556317183,0.201791556317183,0.201706594549979
"CD24",-0.201706594549979,-0.201706594549979,-0.201706594549979,-0.201706594549979,-0.201706594549979,-0.161461098317149,-0.0561855919104467,0.0571324631318185,0.0571324631318185,0.202868346113875,0.161461098317149,0.174440026661563,0.201791556317183,0.201791556317183,0.201791556317183,0.201706594549979
"MIR129",-0.295560351917832,-0.295560351917832,-0.295560351917832,-0.295560351917832,-0.295560351917832,-0.28962853456617,-0.284695198616086,-0.0770287773518953,0.282220453240692,0.296337099600117,0.28962853456617,0.290808658326558,0.294368101545254,0.294368101545254,0.294368101545254,0.295560351917832
