"","ZEB1","MIR34","MIR200","TGFB","SNAIL1","CD24","MIR340","MIR1199","HAS2","GRHL2","ESRP1","MIR190","HA","CD44s","MIR129","TWIST1"
"MIR129",-0.118084846845022,-0.0231186183390649,-0.0231186183390649,0.0284610851595736,0.147844893403678,0.127345474613687,0.123321629606235,0.123321629606235,0.123321629606235,0.123321629606235,0.123321629606235,-0.123321629606235,-0.127345474613687,-0.127345474613687,-0.129586232115905,-0.0425521513795998
"TWIST1",-0.116414700707235,-0.0253668474736507,-0.0253668474736507,0.0240373038127154,0.143961265024372,0.123321629606235,0.118084846845022,0.118084846845022,0.118084846845022,0.118084846845022,0.118084846845022,-0.118084846845022,-0.123321629606235,-0.123321629606235,-0.12584571419804,-0.140983113722696
"ZEB1",-0.0785117572083147,-0.0495561016026647,-0.0495561016026647,-0.0416359730693726,-0.0265362251536281,-0.0250309291804823,-0.0210094814593027,-0.0210094814593027,-0.0210094814593027,-0.0210094814593027,-0.0210094814593027,0.0210094814593027,0.0250309291804823,0.0250309291804823,0.0353888175068861,0.0543792963138234
"MIR200",-0.0505208034682959,0.16776830799543,0.16776830799543,0.26152923716297,-0.109184942077798,0.0528335112970016,0.0509600935754827,0.0509600935754827,0.0509600935754827,0.0509600935754827,0.0509600935754827,-0.0509600935754827,-0.0528335112970016,-0.0528335112970016,0.0642952395645988,0.12477131652987
"MIR190",-0.0263664152836971,-0.109257218479092,-0.109257218479092,-0.19225952519983,0.145473710095236,0.0343374998073455,0.031079354443937,0.031079354443937,0.031079354443937,0.031079354443937,0.031079354443937,-0.031079354443937,-0.0343374998073455,-0.0343374998073455,-0.0497485541304684,-0.147571583892584
"SNAIL1",-0.0255617920609133,-0.11139358751191,-0.11139358751191,-0.0995267477715251,0.0407047426375992,0.0263664152836971,0.0247333418689553,0.0247333418689553,0.0247333418689553,0.0247333418689553,0.0247333418689553,-0.0247333418689553,-0.0263664152836971,-0.0263664152836971,-0.0449767614515616,-0.144382170542563
"MIR34",-0.0247333418689553,-0.111744780668146,-0.111744780668146,-0.09619503966166,0.141991815944818,0.031079354443937,0.0263664152836971,0.0263664152836971,0.0263664152836971,0.0263664152836971,0.0263664152836971,-0.0263664152836971,-0.031079354443937,-0.031079354443937,-0.0472408550543575,-0.147527589171951
"HA",-0.0210094814593027,0.0504882895025002,0.0504882895025002,0.0453107698173401,0.0283922980940384,0.030383520514382,0.0250309291804823,0.0250309291804823,0.0250309291804823,0.0250309291804823,0.0250309291804823,-0.0250309291804823,-0.030383520514382,-0.030383520514382,-0.0376013447739475,-0.0587108637803239
"CD44s",-0.0210094814593027,0.0504882895025002,0.0504882895025002,0.0453107698173401,0.0283922980940384,0.030383520514382,0.0250309291804823,0.0250309291804823,0.0250309291804823,0.0250309291804823,0.0250309291804823,-0.0250309291804823,-0.030383520514382,-0.030383520514382,-0.0376013447739475,-0.0587108637803239
"MIR340",0.0210094814593027,-0.0504882895025002,-0.0504882895025002,-0.0453107698173401,-0.0283922980940384,-0.030383520514382,-0.0250309291804823,-0.0250309291804823,-0.0250309291804823,-0.0250309291804823,-0.0250309291804823,0.0250309291804823,0.030383520514382,0.030383520514382,0.0376013447739475,0.0587108637803239
"MIR1199",0.0210094814593027,-0.0504882895025002,-0.0504882895025002,-0.0453107698173401,-0.0283922980940384,-0.030383520514382,-0.0250309291804823,-0.0250309291804823,-0.0250309291804823,-0.0250309291804823,-0.0250309291804823,0.0250309291804823,0.030383520514382,0.030383520514382,0.0376013447739475,0.0587108637803239
"CD24",0.0210094814593027,-0.0504882895025002,-0.0504882895025002,-0.0453107698173401,-0.0283922980940384,-0.030383520514382,-0.0250309291804823,-0.0250309291804823,-0.0250309291804823,-0.0250309291804823,-0.0250309291804823,0.0250309291804823,0.030383520514382,0.030383520514382,0.0376013447739475,0.0587108637803239
"TGFB",0.0247333418689553,0.111744780668146,0.111744780668146,0.09619503966166,-0.141991815944818,-0.031079354443937,-0.0263664152836971,-0.0263664152836971,-0.0263664152836971,-0.0263664152836971,-0.0263664152836971,0.0263664152836971,0.031079354443937,0.031079354443937,0.0472408550543575,0.147527589171951
"HAS2",0.0250309291804823,-0.0531226414519207,-0.0531226414519207,-0.0459870983197555,-0.0323658080278133,-0.0286023500309215,-0.030383520514382,-0.030383520514382,-0.030383520514382,-0.030383520514382,-0.030383520514382,0.030383520514382,-0.0713976499690785,0.0286023500309215,0.0426241758241758,0.059898078392196
"ESRP1",0.0250309291804823,-0.0531226414519207,-0.0531226414519207,-0.0459870983197555,-0.0323658080278133,-0.0286023500309215,-0.030383520514382,-0.030383520514382,-0.030383520514382,-0.030383520514382,-0.030383520514382,0.030383520514382,0.0286023500309215,-0.0713976499690785,0.0426241758241758,0.059898078392196
"GRHL2",0.113904185408091,-0.130986580800057,-0.130986580800057,-0.129035407684724,-0.0549571253229565,-0.0218380692412106,-0.118271190260319,-0.118271190260319,-0.118271190260319,-0.118271190260319,-0.118271190260319,0.118271190260319,0.121838069241211,0.121838069241211,0.0572737491672201,0.0787685842671744
