"","TWIST1","MIR340","MIR190","MIR1199","HAS2","GRHL2","ESRP1","HA","ZEB1","TGFB","MIR129","MIR34","MIR200","SNAIL1","CD44s","CD24"
"TWIST1",-0.104462744194555,0.154214137365423,0.154214137365423,0.154214137365423,0.154214137365423,0.154214137365423,0.154214137365423,0.157847312008369,-0.153396461652131,0.0423748908370413,0.105625340681763,-0.131952768689731,-0.131952768689731,0.0989740742375476,-0.157847312008369,-0.157847312008369
"MIR340",0.128030497893189,0.111819356732167,0.111819356732167,0.111819356732167,0.111819356732167,0.111819356732167,0.111819356732167,0.113603553843467,-0.111968299240359,-0.0146212510089395,-0.078468834952316,-0.0807349972940306,-0.0807349972940306,-0.111589028370229,-0.113603553843467,-0.113603553843467
"HA",0.128030497893189,0.111819356732167,0.111819356732167,0.111819356732167,0.111819356732167,0.111819356732167,0.111819356732167,0.113603553843467,-0.111968299240359,-0.0146212510089395,-0.078468834952316,-0.0807349972940306,-0.0807349972940306,-0.111589028370229,-0.113603553843467,-0.113603553843467
"CD24",0.128030497893189,0.111819356732167,0.111819356732167,0.111819356732167,0.111819356732167,0.111819356732167,0.111819356732167,0.113603553843467,-0.111968299240359,-0.0146212510089395,-0.078468834952316,-0.0807349972940306,-0.0807349972940306,-0.111589028370229,-0.113603553843467,-0.113603553843467
"HAS2",0.123007666842961,0.113603553843467,0.113603553843467,0.113603553843467,0.113603553843467,0.113603553843467,0.113603553843467,0.215893630179344,-0.111819356732167,-0.0131719756466207,-0.0772816203404439,-0.0835800973994046,-0.0835800973994046,-0.111967457887731,-0.115893630179344,-0.115893630179344
"ESRP1",0.123007666842961,0.113603553843467,0.113603553843467,0.113603553843467,0.113603553843467,0.113603553843467,0.113603553843467,0.115893630179344,-0.111819356732167,-0.0131719756466207,-0.0772816203404439,-0.0835800973994046,-0.0835800973994046,-0.111967457887731,-0.215893630179344,-0.115893630179344
"MIR200",-0.084886668340767,0.10404737567709,0.10404737567709,0.10404737567709,0.10404737567709,0.10404737567709,0.10404737567709,0.105211932639116,-0.102448359686931,-0.0114742811424357,0.0412662840046118,-0.186130016779142,-0.186130016779142,0.0507639509406107,-0.105211932639116,-0.105211932639116
"MIR190",-0.131136363139712,0.0367656951203124,0.0367656951203124,0.0367656951203124,0.0367656951203124,0.0367656951203124,0.0367656951203124,0.0370163216867284,-0.0326525845804666,0.00778442985692683,0.0391497482579172,-0.128221695141275,-0.128221695141275,0.109765965936108,-0.0370163216867284,-0.0370163216867284
"SNAIL1",-0.116374352784875,0.0307546884498208,0.0307546884498208,0.0307546884498208,0.0307546884498208,0.0307546884498208,0.0307546884498208,0.0326525845804666,-0.031613447795143,0.105158272174186,0.0325344691541661,-0.118986192991369,-0.118986192991369,0.00753799533028278,-0.0326525845804666,-0.0326525845804666
"MIR34",-0.121677498203505,0.0326525845804666,0.0326525845804666,0.0326525845804666,0.0326525845804666,0.0326525845804666,0.0326525845804666,0.0367656951203124,-0.0307546884498208,0.107547350672479,0.0321545876771869,-0.121858772910325,-0.121858772910325,0.105355566678912,-0.0367656951203124,-0.0367656951203124
"GRHL2",0.0980178656667274,0.00510527097354723,0.00510527097354723,0.00510527097354723,0.00510527097354723,0.00510527097354723,0.00510527097354723,0.00586960218373831,-0.00567871605515287,-0.00718399811355173,-0.0687181328678209,0.0107073437316203,0.0107073437316203,-0.0804238805667799,-0.00586960218373831,-0.105869602183738
"ZEB1",-0.12818630967256,-0.111968299240359,-0.111968299240359,-0.111968299240359,-0.111968299240359,-0.111968299240359,-0.111968299240359,-0.111819356732167,0.0128545170258327,0.0156944217406468,0.0765056065322475,0.080972613817518,0.080972613817518,0.109439891281332,0.111819356732167,0.111819356732167
"TGFB",0.121677498203505,-0.0326525845804666,-0.0326525845804666,-0.0326525845804666,-0.0326525845804666,-0.0326525845804666,-0.0326525845804666,-0.0367656951203124,0.0307546884498208,-0.107547350672479,-0.0321545876771869,0.121858772910325,0.121858772910325,-0.105355566678912,0.0367656951203124,0.0367656951203124
"MIR1199",-0.128030497893189,-0.111819356732167,-0.111819356732167,-0.111819356732167,-0.111819356732167,-0.111819356732167,-0.111819356732167,-0.113603553843467,0.111968299240359,0.0146212510089395,0.078468834952316,0.0807349972940306,0.0807349972940306,0.111589028370229,0.113603553843467,0.113603553843467
"CD44s",-0.128030497893189,-0.111819356732167,-0.111819356732167,-0.111819356732167,-0.111819356732167,-0.111819356732167,-0.111819356732167,-0.113603553843467,0.111968299240359,0.0146212510089395,0.078468834952316,0.0807349972940306,0.0807349972940306,0.111589028370229,0.113603553843467,0.113603553843467
"MIR129",0.0134585600941364,-0.157847312008369,-0.157847312008369,-0.157847312008369,-0.157847312008369,-0.157847312008369,-0.157847312008369,-0.160082781456954,0.154214137365423,-0.0437555614484811,-0.110098267702427,0.137588740355884,0.137588740355884,-0.100799242345137,0.160082781456954,0.160082781456954
