"","SNAIL1","MIR200","MIR1199","HAS2","CD44s","CD24","MIR129","ZEB1","HA","MIR340","MIR190","GRHL2","ESRP1","TGFB","MIR34","TWIST1"
"GRHL2",0.191430930813142,0.270602961878365,0.23073439839125,0.23073439839125,0.229333124505899,0.129333124505899,0.119876210874068,-0.231837177394338,-0.229333124505899,-0.23073439839125,-0.23073439839125,-0.23073439839125,-0.23073439839125,-0.252136497297812,-0.270602961878365,-0.193347262415234
"MIR129",0.0859088741508213,0.14566580544502,0.222569181939907,0.222569181939907,0.221376931567329,0.221376931567329,0.00558484517020789,-0.223345929622192,-0.221376931567329,-0.222569181939907,-0.222569181939907,-0.222569181939907,-0.222569181939907,-0.168831076699016,-0.14566580544502,-0.154913737162238
"SNAIL1",0.0231664879835414,0.196386235019007,0.170691881285813,0.170691881285813,0.169912125511206,0.169912125511206,0.054419106684871,-0.171136415535156,-0.169912125511206,-0.170691881285813,-0.170691881285813,-0.170691881285813,-0.170691881285813,-0.220461935884808,-0.196386235019007,-0.155403245330426
"MIR200",0.193525622009906,0.282548063091487,0.165659443494318,0.165659443494318,0.163786025772799,0.163786025772799,0.0961463532253023,-0.166661024938703,-0.163786025772799,-0.165659443494318,-0.165659443494318,-0.165659443494318,-0.165659443494318,-0.375552825238678,-0.282548063091487,-0.193558990648021
"HA",0.16675859765271,0.164965324993936,0.129494598594365,0.129494598594365,0.128050248551884,0.128050248551884,0.0997346619000124,-0.130477619148431,-0.128050248551884,-0.129494598594365,-0.129494598594365,-0.129494598594365,-0.129494598594365,-0.148999717884099,-0.164965324993936,-0.171932687779585
"CD44s",0.16675859765271,0.164965324993936,0.129494598594365,0.129494598594365,0.128050248551884,0.128050248551884,0.0997346619000124,-0.130477619148431,-0.128050248551884,-0.129494598594365,-0.129494598594365,-0.129494598594365,-0.129494598594365,-0.148999717884099,-0.164965324993936,-0.171932687779585
"ZEB1",-0.167344725949682,-0.166189963999602,-0.130477619148431,-0.130477619148431,-0.129494598594365,-0.129494598594365,-0.100202097238124,0.0310786174167414,0.129494598594365,0.130477619148431,0.130477619148431,0.130477619148431,0.130477619148431,0.150463132518246,0.166189963999602,0.172898720811683
"HAS2",-0.165150272203325,-0.16349008790226,-0.128050248551884,-0.128050248551884,-0.126777983920841,-0.126777983920841,-0.100008634502752,0.129494598594365,0.0267779839208411,0.128050248551884,0.128050248551884,0.128050248551884,0.128050248551884,0.146777495661877,0.16349008790226,0.170197527962234
"ESRP1",-0.165150272203325,-0.16349008790226,-0.128050248551884,-0.128050248551884,-0.226777983920841,-0.126777983920841,-0.100008634502752,0.129494598594365,0.126777983920841,0.128050248551884,0.128050248551884,0.128050248551884,0.128050248551884,0.146777495661877,0.16349008790226,0.170197527962234
"MIR340",-0.16675859765271,-0.164965324993936,-0.129494598594365,-0.129494598594365,-0.128050248551884,-0.128050248551884,-0.0997346619000124,0.130477619148431,0.128050248551884,0.129494598594365,0.129494598594365,0.129494598594365,0.129494598594365,0.148999717884099,0.164965324993936,0.171932687779585
"MIR1199",-0.16675859765271,-0.164965324993936,-0.129494598594365,-0.129494598594365,-0.128050248551884,-0.128050248551884,-0.0997346619000124,0.130477619148431,0.128050248551884,0.129494598594365,0.129494598594365,0.129494598594365,0.129494598594365,0.148999717884099,0.164965324993936,0.171932687779585
"CD24",-0.16675859765271,-0.164965324993936,-0.129494598594365,-0.129494598594365,-0.128050248551884,-0.128050248551884,-0.0997346619000124,0.130477619148431,0.128050248551884,0.129494598594365,0.129494598594365,0.129494598594365,0.129494598594365,0.148999717884099,0.164965324993936,0.171932687779585
"MIR190",-0.121610104401448,-0.193833728233755,-0.168883847876245,-0.168883847876245,-0.166377582212084,-0.166377582212084,-0.0531648192719939,0.169912125511206,0.166377582212084,0.168883847876245,0.168883847876245,0.168883847876245,0.168883847876245,0.316973924277522,0.193833728233755,0.152909310899473
"TGFB",-0.122167207465514,-0.195692853659259,-0.169912125511206,-0.169912125511206,-0.168883847876245,-0.168883847876245,-0.0546166450529002,0.170691881285813,0.168883847876245,0.169912125511206,0.169912125511206,0.169912125511206,0.169912125511206,0.218917973589993,0.195692853659259,0.154537115562913
"MIR34",-0.122167207465514,-0.195692853659259,-0.169912125511206,-0.169912125511206,-0.168883847876245,-0.168883847876245,-0.0546166450529002,0.170691881285813,0.168883847876245,0.169912125511206,0.169912125511206,0.169912125511206,0.169912125511206,0.218917973589993,0.195692853659259,0.154537115562913
"TWIST1",-0.0865264122323363,-0.146805318842002,-0.223345929622192,-0.223345929622192,-0.222569181939907,-0.222569181939907,-0.00608183706139282,0.223954837068261,0.222569181939907,0.223345929622192,0.223345929622192,0.223345929622192,0.223345929622192,0.170099039505441,0.146805318842002,0.0560643647773009
