"","MIR129","SNAIL1","MIR200","ZEB1","MIR340","MIR190","ESRP1","MIR1199","HAS2","GRHL2","HA","CD44s","CD24","TGFB","MIR34","TWIST1"
"MIR129",0.0339558233129427,0.000108999513760714,0.0823515833891286,-0.166564406576991,0.16849374759428,0.16849374759428,0.16849374759428,-0.16849374759428,-0.16849374759428,-0.16849374759428,-0.166258278145695,-0.166258278145695,-0.166258278145695,-0.108897359159889,-0.0823515833891286,-0.11202763814023
"GRHL2",0.170594901270262,0.136826615271485,0.201110143330896,-0.153804733858074,0.155569180263014,0.155569180263014,0.155569180263014,-0.155569180263014,-0.155569180263014,-0.155569180263014,-0.157862173893587,-0.157862173893587,-0.0578621738935875,-0.183060997654489,-0.201110143330896,-0.170594901270262
"ZEB1",-0.150201058334488,-0.111246162038455,-0.0821747608854494,-0.0806963465500462,-0.0190897388120807,-0.0190897388120807,-0.0190897388120807,0.0190897388120807,0.0190897388120807,0.0190897388120807,0.0204897983890839,0.0204897983890839,0.0204897983890839,0.0589066136334167,0.0821747608854494,0.150201058334488
"MIR200",0.165345607737391,0.114704276424341,0.192587639229075,-0.0756404291006908,0.0756931439135533,0.0756931439135533,0.0756931439135533,-0.0756931439135533,-0.0756931439135533,-0.0756931439135533,-0.0781741565717811,-0.0781741565717811,-0.0781741565717811,-0.288257925174548,-0.192587639229075,-0.165345607737391
"HAS2",0.147865162288692,0.111270807399413,0.0837951256827646,-0.0204897983890839,0.023293536706841,0.023293536706841,0.023293536706841,-0.023293536706841,-0.023293536706841,-0.023293536706841,0.0759431045145331,-0.0240568954854669,-0.0240568954854669,-0.0603403357967253,-0.0837951256827646,-0.147865162288692
"HA",0.14923502530239,0.112027666434418,0.0827413849029965,-0.0190897388120807,0.0204897983890839,0.0204897983890839,0.0204897983890839,-0.0204897983890839,-0.0204897983890839,-0.0204897983890839,-0.023293536706841,-0.023293536706841,-0.023293536706841,-0.060630190869189,-0.0827413849029965,-0.14923502530239
"CD44s",0.14923502530239,0.112027666434418,0.0827413849029965,-0.0190897388120807,0.0204897983890839,0.0204897983890839,0.0204897983890839,-0.0204897983890839,-0.0204897983890839,-0.0204897983890839,-0.023293536706841,-0.023293536706841,-0.023293536706841,-0.060630190869189,-0.0827413849029965,-0.14923502530239
"CD24",0.14923502530239,0.112027666434418,0.0827413849029965,-0.0190897388120807,0.0204897983890839,0.0204897983890839,0.0204897983890839,-0.0204897983890839,-0.0204897983890839,-0.0204897983890839,-0.023293536706841,-0.023293536706841,-0.023293536706841,-0.060630190869189,-0.0827413849029965,-0.14923502530239
"TGFB",-0.11902024228206,-0.0197139863989631,-0.054591192566245,-0.0100894938344468,0.0101924804461873,0.0101924804461873,0.0101924804461873,-0.0101924804461873,-0.0101924804461873,-0.0101924804461873,-0.0120776561102833,-0.0120776561102833,-0.0120776561102833,0.0652915304196519,0.054591192566245,0.11902024228206
"MIR34",-0.11902024228206,-0.0197139863989631,-0.054591192566245,-0.0100894938344468,0.0101924804461873,0.0101924804461873,0.0101924804461873,-0.0101924804461873,-0.0101924804461873,-0.0101924804461873,-0.0120776561102833,-0.0120776561102833,-0.0120776561102833,0.0652915304196519,0.054591192566245,0.11902024228206
"SNAIL1",0.119005047022981,-0.0803579617983349,0.0548163163843449,0.0101501121411754,-0.0100894938344468,-0.0100894938344468,-0.0100894938344468,0.0100894938344468,0.0100894938344468,0.0100894938344468,0.0101924804461873,0.0101924804461873,0.0101924804461873,-0.0663479256739994,-0.0548163163843449,-0.119005047022981
"MIR190",0.119856141974097,0.0192961591009129,0.0540413103981382,0.0101924804461873,-0.0120776561102833,-0.0120776561102833,-0.0120776561102833,0.0120776561102833,0.0120776561102833,0.0120776561102833,0.0100726435789549,0.0100726435789549,0.0100726435789549,-0.166761421363227,-0.0540413103981382,-0.119856141974097
"MIR340",-0.14923502530239,-0.112027666434418,-0.0827413849029965,0.0190897388120807,-0.0204897983890839,-0.0204897983890839,-0.0204897983890839,0.0204897983890839,0.0204897983890839,0.0204897983890839,0.023293536706841,0.023293536706841,0.023293536706841,0.060630190869189,0.0827413849029965,0.14923502530239
"MIR1199",-0.14923502530239,-0.112027666434418,-0.0827413849029965,0.0190897388120807,-0.0204897983890839,-0.0204897983890839,-0.0204897983890839,0.0204897983890839,0.0204897983890839,0.0204897983890839,0.023293536706841,0.023293536706841,0.023293536706841,0.060630190869189,0.0827413849029965,0.14923502530239
"ESRP1",-0.147865162288692,-0.111270807399413,-0.0837951256827646,0.0204897983890839,-0.023293536706841,-0.023293536706841,-0.023293536706841,0.023293536706841,0.023293536706841,0.023293536706841,0.0240568954854669,-0.0759431045145331,0.0240568954854669,0.0603403357967253,0.0837951256827646,0.147865162288692
"TWIST1",-0.034557445075956,-0.000177614856151273,-0.0815816419046814,0.166355638309767,-0.166564406576991,-0.166564406576991,-0.166564406576991,0.166564406576991,0.166564406576991,0.166564406576991,0.16849374759428,0.16849374759428,0.16849374759428,0.110785214893899,0.0815816419046814,0.0126552532029912
