"","MIR129","SNAIL1","MIR34","ZEB1","HA","CD44s","CD24","MIR190","MIR1199","HAS2","GRHL2","TGFB","MIR340","ESRP1","MIR200","TWIST1"
"TGFB",-0.40604452860797,-0.325535799414266,0.0109330097450686,-0.421706633732226,0.420150097435843,0.420150097435843,0.420150097435843,0.423663379355295,0.423663379355295,0.423663379355295,0.423663379355295,-0.47791532252805,-0.423663379355295,-0.423663379355295,0.448848048736418,0.40604452860797
"TWIST1",-0.386014190377065,-0.212442212445698,0.115930119500255,-0.404889293898626,0.412229975358843,0.412229975358843,0.412229975358843,0.409899732311988,0.409899732311988,0.409899732311988,0.409899732311988,-0.368164439372444,-0.409899732311988,-0.409899732311988,0.335053390753357,0.287462257979668
"GRHL2",0.465991220310607,0.431250821727629,0.330442883683783,-0.163072257843778,0.199789994182664,0.199789994182664,0.299789994182664,0.178643497367378,0.178643497367378,0.178643497367378,0.178643497367378,-0.1290245402236,-0.178643497367378,-0.178643497367378,0.0621059830438573,-0.465991220310607
"ZEB1",-0.452068272159244,-0.40312889649374,-0.203158182464178,-0.0752469240376908,-0.0474693861667842,-0.0474693861667842,-0.0474693861667842,-0.0333198478885596,-0.0333198478885596,-0.0333198478885596,-0.0333198478885596,-0.0165148165985165,0.0333198478885596,0.0333198478885596,0.0680453453792636,0.452068272159244
"MIR340",0.445493015069808,0.406547978226074,0.211291978845095,-0.0333198478885596,0.0670955543910833,0.0670955543910833,0.0670955543910833,0.0474693861667842,0.0474693861667842,0.0474693861667842,0.0474693861667842,-0.00068843543400382,-0.0474693861667842,-0.0474693861667842,-0.0588148573514807,-0.445493015069808
"MIR1199",0.445493015069808,0.406547978226074,0.211291978845095,-0.0333198478885596,0.0670955543910833,0.0670955543910833,0.0670955543910833,0.0474693861667842,0.0474693861667842,0.0474693861667842,0.0474693861667842,-0.00068843543400382,-0.0474693861667842,-0.0474693861667842,-0.0588148573514807,-0.445493015069808
"CD44s",0.445493015069808,0.406547978226074,0.211291978845095,-0.0333198478885596,0.0670955543910833,0.0670955543910833,0.0670955543910833,0.0474693861667842,0.0474693861667842,0.0474693861667842,0.0474693861667842,-0.00068843543400382,-0.0474693861667842,-0.0474693861667842,-0.0588148573514807,-0.445493015069808
"CD24",0.445493015069808,0.406547978226074,0.211291978845095,-0.0333198478885596,0.0670955543910833,0.0670955543910833,0.0670955543910833,0.0474693861667842,0.0474693861667842,0.0474693861667842,0.0474693861667842,-0.00068843543400382,-0.0474693861667842,-0.0474693861667842,-0.0588148573514807,-0.445493015069808
"HA",-0.445493015069808,-0.406547978226074,-0.211291978845095,0.0333198478885596,-0.0670955543910833,-0.0670955543910833,-0.0670955543910833,-0.0474693861667842,-0.0474693861667842,-0.0474693861667842,-0.0474693861667842,0.00068843543400382,0.0474693861667842,0.0474693861667842,0.0588148573514807,0.445493015069808
"HAS2",-0.428963334704511,-0.405128867535441,-0.219932653239194,0.0474693861667842,0.00720470006184292,-0.0927952999381571,-0.0927952999381571,-0.0670955543910833,-0.0670955543910833,-0.0670955543910833,-0.0670955543910833,0.0255193533084,0.0670955543910833,0.0670955543910833,0.0431141197329349,0.428963334704511
"ESRP1",-0.428963334704511,-0.405128867535441,-0.219932653239194,0.0474693861667842,-0.0927952999381571,-0.192795299938157,-0.0927952999381571,-0.0670955543910833,-0.0670955543910833,-0.0670955543910833,-0.0670955543910833,0.0255193533084,0.0670955543910833,0.0670955543910833,0.0431141197329349,0.428963334704511
"MIR200",0.490191030257819,0.434860844743968,0.230202301507789,0.076574624354816,-0.0501290129185932,-0.0501290129185932,-0.0501290129185932,-0.0667872407666944,-0.0667872407666944,-0.0667872407666944,-0.0667872407666944,0.0899177479069829,0.0667872407666944,0.0667872407666944,-0.225165443292457,-0.490191030257819
"MIR129",0.400374640285514,0.223352051885797,-0.11192642378113,0.409899732311988,-0.409845474613687,-0.409845474613687,-0.409845474613687,-0.412229975358843,-0.412229975358843,-0.412229975358843,-0.412229975358843,0.370503126326515,0.412229975358843,0.412229975358843,-0.341921268794625,-0.401792801912722
"SNAIL1",0.391806570850791,0.214527725227681,-0.0153004118162077,0.417079436318607,-0.423663379355295,-0.423663379355295,-0.423663379355295,-0.421706633732226,-0.421706633732226,-0.421706633732226,-0.421706633732226,0.476663900457516,0.421706633732226,0.421706633732226,-0.442085329240695,-0.391806570850791
"MIR34",0.40604452860797,0.325535799414266,-0.0109330097450686,0.421706633732226,-0.420150097435843,-0.420150097435843,-0.420150097435843,-0.423663379355295,-0.423663379355295,-0.423663379355295,-0.423663379355295,0.47791532252805,0.423663379355295,0.423663379355295,-0.448848048736418,-0.40604452860797
"MIR190",0.420078844490064,0.339881203313988,-0.00247529830228248,0.423663379355295,-0.407869395681457,-0.407869395681457,-0.407869395681457,-0.420150097435843,-0.420150097435843,-0.420150097435843,-0.420150097435843,0.372367669611976,0.420150097435843,0.420150097435843,-0.453011442294941,-0.420078844490064
