"","MIR34","MIR190","MIR1199","HAS2","GRHL2","ESRP1","MIR129","ZEB1","SNAIL1","TWIST1","MIR340","HA","CD44s","CD24","TGFB","MIR200"
"TGFB",-0.095639625813584,0.154639419496528,0.154639419496528,0.154639419496528,0.154639419496528,0.154639419496528,0.0805093268599984,-0.154595282377211,-0.248953480902235,-0.222166993987804,-0.154639419496528,-0.15566769713149,-0.15566769713149,-0.15566769713149,-0.254482196780369,-0.252594861279604
"MIR34",-0.095639625813584,0.154639419496528,0.154639419496528,0.154639419496528,0.154639419496528,0.154639419496528,0.0805093268599984,-0.154595282377211,-0.248953480902235,-0.222166993987804,-0.154639419496528,-0.15566769713149,-0.15566769713149,-0.15566769713149,-0.254482196780369,-0.252594861279604
"MIR340",0.107988327681514,0.0934453410645585,0.0934453410645585,0.0934453410645585,0.0934453410645585,0.0934453410645585,0.0512430470415966,-0.091211203441681,-0.0564730618757576,-0.0779840585951787,-0.0934453410645585,-0.0903017556779825,-0.0903017556779825,-0.0903017556779825,-0.100445626631357,-0.110162214830548
"MIR1199",0.107988327681514,0.0934453410645585,0.0934453410645585,0.0934453410645585,0.0934453410645585,0.0934453410645585,0.0512430470415966,-0.091211203441681,-0.0564730618757576,-0.0779840585951787,-0.0934453410645585,-0.0903017556779825,-0.0903017556779825,-0.0903017556779825,-0.100445626631357,-0.110162214830548
"HA",0.107988327681514,0.0934453410645585,0.0934453410645585,0.0934453410645585,0.0934453410645585,0.0934453410645585,0.0512430470415966,-0.091211203441681,-0.0564730618757576,-0.0779840585951787,-0.0934453410645585,-0.0903017556779825,-0.0903017556779825,-0.0903017556779825,-0.100445626631357,-0.110162214830548
"CD44s",0.107988327681514,0.0934453410645585,0.0934453410645585,0.0934453410645585,0.0934453410645585,0.0934453410645585,0.0512430470415966,-0.091211203441681,-0.0564730618757576,-0.0779840585951787,-0.0934453410645585,-0.0903017556779825,-0.0903017556779825,-0.0903017556779825,-0.100445626631357,-0.110162214830548
"CD24",0.107988327681514,0.0934453410645585,0.0934453410645585,0.0934453410645585,0.0934453410645585,0.0934453410645585,0.0512430470415966,-0.091211203441681,-0.0564730618757576,-0.0779840585951787,-0.0934453410645585,-0.0903017556779825,-0.0903017556779825,-0.0903017556779825,-0.100445626631357,-0.110162214830548
"MIR129",-0.0880308231543252,0.0209025152732405,0.0209025152732405,0.0209025152732405,0.0209025152732405,0.0209025152732405,0.000822922905250474,-0.0197248655613888,-0.195011181097749,-0.197668192345074,-0.0209025152732405,-0.0197102649006623,-0.0197102649006623,-0.0197102649006623,-0.0802952290939562,-0.111019321313941
"ZEB1",-0.107129252558136,-0.091211203441681,-0.091211203441681,-0.091211203441681,-0.091211203441681,-0.091211203441681,-0.0502770140094994,-0.00731176691586206,0.0576127557865359,0.0778905715275564,0.091211203441681,0.0934453410645585,0.0934453410645585,0.0934453410645585,0.103339935574447,0.108279560836762
"GRHL2",0.00783014103432052,0.00711442859807151,0.00711442859807151,0.00711442859807151,0.00711442859807151,0.00711442859807151,0.0530572778800873,-0.00464420363115488,-0.0529910873862317,-0.0687440541404776,-0.00711442859807151,-0.00291060694202055,-0.00291060694202055,-0.102910606942021,-0.00825407707216314,-0.016310009068276
"TWIST1",0.088338799748104,-0.0197248655613888,-0.0197248655613888,-0.0197248655613888,-0.0197248655613888,-0.0197248655613888,-0.00016898620632293,0.0202119915182434,0.195217027124921,0.0973543848136937,0.0197248655613888,0.0209025152732405,0.0209025152732405,0.0209025152732405,0.0813941301928573,0.10987980791696
"MIR200",-0.206442532918209,-0.0674035132844757,-0.0674035132844757,-0.0674035132844757,-0.0674035132844757,-0.0674035132844757,0.0782355717898532,0.0665073614658147,-0.147525620029628,-0.158093954155954,0.0674035132844757,0.0653275639173871,0.0653275639173871,0.0653275639173871,0.0642153099616537,-0.0351430723455986
"HAS2",-0.106829212823769,-0.0903017556779825,-0.0903017556779825,-0.0903017556779825,-0.0903017556779825,-0.0903017556779825,-0.0489599420187655,0.0934453410645585,0.0577975651870159,0.0777100859924389,0.0903017556779825,-0.0023191094619666,0.0976808905380334,0.0976808905380334,0.107498766727976,0.10742248880315
"ESRP1",-0.106829212823769,-0.0903017556779825,-0.0903017556779825,-0.0903017556779825,-0.0903017556779825,-0.0903017556779825,-0.0489599420187655,0.0934453410645585,0.0577975651870159,0.0777100859924389,0.0903017556779825,0.0976808905380334,-0.0023191094619666,0.0976808905380334,0.107498766727976,0.10742248880315
"SNAIL1",0.095612610955412,-0.154595282377211,-0.154595282377211,-0.154595282377211,-0.154595282377211,-0.154595282377211,-0.0806764747098692,0.154373015252539,0.14884955572836,0.221939065101616,0.154595282377211,0.154639419496528,0.154639419496528,0.154639419496528,0.253393297056657,0.252513816705088
"MIR190",0.0955087014878443,-0.15566769713149,-0.15566769713149,-0.15566769713149,-0.15566769713149,-0.15566769713149,-0.0809052793457001,0.154639419496528,0.249092756668251,0.222914904238574,0.15566769713149,0.156168950264322,0.156168950264322,0.156168950264322,0.155193434333712,0.253720810480966
