"","MIR340","MIR190","MIR1199","HAS2","GRHL2","ESRP1","MIR129","MIR200","TWIST1","TGFB","MIR34","SNAIL1","ZEB1","HA","CD44s","CD24"
"GRHL2",0.513143087170632,0.513143087170632,0.513143087170632,0.513143087170632,0.513143087170632,0.513143087170632,0.26157319066017,0.338577841869747,0.157235289403694,-0.0449785735623594,-0.338577841869747,-0.279764270026562,-0.519539205388541,-0.494289583985919,-0.494289583985919,-0.594289583985919
"MIR340",0.354230892613877,0.354230892613877,0.354230892613877,0.354230892613877,0.354230892613877,0.354230892613877,0.241527920481345,0.208136213912906,0.138499754127151,-0.0418787233285866,-0.208136213912906,-0.256371899363695,-0.354022373102408,-0.328997247754063,-0.328997247754063,-0.328997247754063
"MIR1199",0.354230892613877,0.354230892613877,0.354230892613877,0.354230892613877,0.354230892613877,0.354230892613877,0.241527920481345,0.208136213912906,0.138499754127151,-0.0418787233285866,-0.208136213912906,-0.256371899363695,-0.354022373102408,-0.328997247754063,-0.328997247754063,-0.328997247754063
"HA",0.354230892613877,0.354230892613877,0.354230892613877,0.354230892613877,0.354230892613877,0.354230892613877,0.241527920481345,0.208136213912906,0.138499754127151,-0.0418787233285866,-0.208136213912906,-0.256371899363695,-0.354022373102408,-0.328997247754063,-0.328997247754063,-0.328997247754063
"CD44s",0.354230892613877,0.354230892613877,0.354230892613877,0.354230892613877,0.354230892613877,0.354230892613877,0.241527920481345,0.208136213912906,0.138499754127151,-0.0418787233285866,-0.208136213912906,-0.256371899363695,-0.354022373102408,-0.328997247754063,-0.328997247754063,-0.328997247754063
"TWIST1",0.330557404511922,0.330557404511922,0.330557404511922,0.330557404511922,0.330557404511922,0.330557404511922,0.291069276980489,0.0478790655276871,0.0184208251633316,-0.0852902618259695,-0.0478790655276871,-0.280900949763689,-0.332488510983738,-0.323466449863964,-0.323466449863964,-0.323466449863964
"MIR190",0.213685265056048,0.213685265056048,0.213685265056048,0.213685265056048,0.213685265056048,0.213685265056048,0.251760803328756,-0.0765634624946062,0.0962559857851082,-0.257788493828111,0.0765634624946062,-0.290084516145732,-0.215998889734711,-0.205163961797903,-0.205163961797903,-0.205163961797903
"MIR200",0.216155156493267,0.216155156493267,0.216155156493267,0.216155156493267,0.216155156493267,0.216155156493267,-0.0875625353163,0.264507436414015,-0.0428361042563046,0.191676934361721,-0.264507436414015,0.0569462022049437,-0.215083288631732,-0.204560219784407,-0.204560219784407,-0.204560219784407
"TGFB",-0.215998889734711,-0.215998889734711,-0.215998889734711,-0.215998889734711,-0.215998889734711,-0.215998889734711,-0.253916544639798,0.0761183197870911,-0.0966519382708099,0.158973889750349,-0.0761183197870911,0.292452204168016,0.220162491323648,0.213685265056048,0.213685265056048,0.213685265056048
"MIR34",-0.215998889734711,-0.215998889734711,-0.215998889734711,-0.215998889734711,-0.215998889734711,-0.215998889734711,-0.253916544639798,0.0761183197870911,-0.0966519382708099,0.158973889750349,-0.0761183197870911,0.292452204168016,0.220162491323648,0.213685265056048,0.213685265056048,0.213685265056048
"SNAIL1",-0.220162491323648,-0.220162491323648,-0.220162491323648,-0.220162491323648,-0.220162491323648,-0.220162491323648,-0.255603218397586,0.0744884233440475,-0.0974572870020058,0.159575222433593,-0.0744884233440475,0.193675323522081,0.221283929998127,0.215998889734711,0.215998889734711,0.215998889734711
"ZEB1",-0.354022373102408,-0.354022373102408,-0.354022373102408,-0.354022373102408,-0.354022373102408,-0.354022373102408,-0.245984137371342,-0.206399785472036,-0.138468591771277,0.0447730322716761,0.206399785472036,0.262428558432402,0.266684082382229,0.354230892613877,0.354230892613877,0.354230892613877
"MIR129",-0.323466449863964,-0.323466449863964,-0.323466449863964,-0.323466449863964,-0.323466449863964,-0.323466449863964,-0.288165798037251,-0.0450764785242994,-0.117060992527348,0.0842477146295762,0.0450764785242994,0.278801320286538,0.330557404511922,0.319442604856512,0.319442604856512,0.319442604856512
"CD24",-0.354230892613877,-0.354230892613877,-0.354230892613877,-0.354230892613877,-0.354230892613877,-0.354230892613877,-0.241527920481345,-0.208136213912906,-0.138499754127151,0.0418787233285866,0.208136213912906,0.256371899363695,0.354022373102408,0.328997247754063,0.328997247754063,0.328997247754063
"HAS2",-0.328997247754063,-0.328997247754063,-0.328997247754063,-0.328997247754063,-0.328997247754063,-0.328997247754063,-0.233400066600067,-0.197177309803317,-0.133476923076923,0.0398497378213403,0.197177309803317,0.252209174671169,0.354230892613877,0.229251700680272,0.329251700680272,0.329251700680272
"ESRP1",-0.328997247754063,-0.328997247754063,-0.328997247754063,-0.328997247754063,-0.328997247754063,-0.328997247754063,-0.233400066600067,-0.197177309803317,-0.133476923076923,0.0398497378213403,0.197177309803317,0.252209174671169,0.354230892613877,0.329251700680272,0.229251700680272,0.329251700680272
