"","HA","MIR340","MIR190","GRHL2","ESRP1","SNAIL1","MIR200","TGFB","ZEB1","MIR34","TWIST1","MIR129","MIR1199","HAS2","CD44s","CD24"
"SNAIL1",0.160640328324464,0.162008579023302,0.162008579023302,0.162008579023302,0.162008579023302,0.0526485187530183,-0.0485693906110004,0.11802593361857,-0.162998678033203,0.0485693906110004,-0.0798068015262632,-0.0798068015262632,-0.162008579023302,-0.162008579023302,-0.160640328324464,-0.160640328324464
"ESRP1",0.100865800865801,0.108244935725852,0.108244935725852,0.108244935725852,0.108244935725852,0.0992875994868565,0.0711530455669435,0.0141428326012505,-0.113257679990932,-0.0711530455669435,-0.0835883175647881,-0.0835883175647881,-0.108244935725852,-0.108244935725852,-0.200865800865801,-0.100865800865801
"HA",0.108244935725852,0.113257679990932,0.113257679990932,0.113257679990932,0.113257679990932,0.0986253478312274,0.0757895049979234,0.0148191611036659,-0.110189464322181,-0.0757895049979234,-0.0811225641401306,-0.0811225641401306,-0.113257679990932,-0.113257679990932,-0.108244935725852,-0.108244935725852
"CD24",0.108244935725852,0.113257679990932,0.113257679990932,0.113257679990932,0.113257679990932,0.0986253478312274,0.0757895049979234,0.0148191611036659,-0.110189464322181,-0.0757895049979234,-0.0811225641401306,-0.0811225641401306,-0.113257679990932,-0.113257679990932,-0.108244935725852,-0.108244935725852
"TWIST1",0.021238444317236,0.0188580885166847,0.0188580885166847,0.0188580885166847,0.0188580885166847,0.175790951999647,-0.0770581789503283,0.0595973727116252,-0.0201976848980348,0.0770581789503283,0.0249406346791284,-0.227262187902453,-0.0188580885166847,-0.0188580885166847,-0.021238444317236,-0.021238444317236
"ZEB1",-0.113257679990932,-0.110189464322181,-0.110189464322181,-0.110189464322181,-0.110189464322181,-0.100155793939987,-0.0741627457217399,-0.0138760716727716,0.00856982492114159,0.0741627457217399,0.081527674766494,0.081527674766494,0.110189464322181,0.110189464322181,0.113257679990932,0.113257679990932
"MIR129",-0.0243681015452539,-0.021238444317236,-0.021238444317236,-0.021238444317236,-0.021238444317236,-0.175447875287694,0.0749023427938762,-0.0599073191754178,0.0188580885166847,-0.0749023427938762,-0.126038961038961,0.226137416780297,0.021238444317236,0.021238444317236,0.0243681015452539,0.0243681015452539
"MIR200",-0.0453834065830287,-0.0495859382285983,-0.0495859382285983,-0.0495859382285983,-0.0495859382285983,0.0782073066220479,-0.153531157091289,-0.00790194049287031,0.0490060752871117,0.153531157091289,-0.063895663208876,-0.063895663208876,0.0495859382285983,0.0495859382285983,0.0453834065830287,0.0453834065830287
"MIR340",-0.108244935725852,-0.113257679990932,-0.113257679990932,-0.113257679990932,-0.113257679990932,-0.0986253478312274,-0.0757895049979234,-0.0148191611036659,0.110189464322181,0.0757895049979234,0.0811225641401306,0.0811225641401306,0.113257679990932,0.113257679990932,0.108244935725852,0.108244935725852
"MIR1199",-0.108244935725852,-0.113257679990932,-0.113257679990932,-0.113257679990932,-0.113257679990932,-0.0986253478312274,-0.0757895049979234,-0.0148191611036659,0.110189464322181,0.0757895049979234,0.0811225641401306,0.0811225641401306,0.113257679990932,0.113257679990932,0.108244935725852,0.108244935725852
"CD44s",-0.108244935725852,-0.113257679990932,-0.113257679990932,-0.113257679990932,-0.113257679990932,-0.0986253478312274,-0.0757895049979234,-0.0148191611036659,0.110189464322181,0.0757895049979234,0.0811225641401306,0.0811225641401306,0.113257679990932,0.113257679990932,0.108244935725852,0.108244935725852
"HAS2",-0.200865800865801,-0.108244935725852,-0.108244935725852,-0.108244935725852,-0.108244935725852,-0.0992875994868565,-0.0711530455669435,-0.0141428326012505,0.113257679990932,0.0711530455669435,0.0835883175647881,0.0835883175647881,0.108244935725852,0.108244935725852,0.100865800865801,0.100865800865801
"MIR190",-0.166646990223428,-0.163639471426435,-0.163639471426435,-0.163639471426435,-0.163639471426435,-0.152913282626279,0.0466164406047578,-0.0179813613447895,0.160640328324464,-0.0466164406047578,0.0786373214414452,0.0786373214414452,0.163639471426435,0.163639471426435,0.166646990223428,0.166646990223428
"TGFB",-0.163639471426435,-0.160640328324464,-0.160640328324464,-0.160640328324464,-0.160640328324464,-0.153423960435007,0.0492087422544043,-0.117554618812784,0.162008579023302,-0.0492087422544043,0.0799131683398173,0.0799131683398173,0.160640328324464,0.160640328324464,0.163639471426435,0.163639471426435
"MIR34",-0.163639471426435,-0.160640328324464,-0.160640328324464,-0.160640328324464,-0.160640328324464,-0.153423960435007,0.0492087422544043,-0.117554618812784,0.162008579023302,-0.0492087422544043,0.0799131683398173,0.0799131683398173,0.160640328324464,0.160640328324464,0.163639471426435,0.163639471426435
"GRHL2",-0.170759773869721,-0.176364869411123,-0.176364869411123,-0.176364869411123,-0.176364869411123,-0.123935483527498,-0.149779554348347,-0.0166615954627757,0.175394423888406,0.149779554348347,0.101716290827406,0.101716290827406,0.176364869411123,0.176364869411123,0.170759773869721,0.0707597738697215
