"","MIR129","MIR190","MIR1199","HAS2","GRHL2","MIR34","MIR200","ZEB1","TGFB","MIR340","ESRP1","HA","CD44s","CD24","SNAIL1","TWIST1"
"MIR129",-0.0113758219365749,0.169743821616447,0.169743821616447,0.169743821616447,0.169743821616447,0.158054469014987,0.158054469014987,-0.168365720889812,0.0497506774435971,-0.169743821616447,-0.169743821616447,-0.167061258278146,-0.167061258278146,-0.167061258278146,0.137606028351993,-0.0335178856231488
"MIR340",0.136581423089401,0.0652204304967786,0.0652204304967786,0.0652204304967786,0.0652204304967786,0.0587104631845326,0.0587104631845326,-0.0638203709197753,-0.0114643679120264,-0.0652204304967786,-0.0652204304967786,-0.0681940923489451,-0.0681940923489451,-0.0681940923489451,-0.1023844911333,-0.136581423089401
"MIR1199",0.136581423089401,0.0652204304967786,0.0652204304967786,0.0652204304967786,0.0652204304967786,0.0587104631845326,0.0587104631845326,-0.0638203709197753,-0.0114643679120264,-0.0652204304967786,-0.0652204304967786,-0.0681940923489451,-0.0681940923489451,-0.0681940923489451,-0.1023844911333,-0.136581423089401
"HA",0.136581423089401,0.0652204304967786,0.0652204304967786,0.0652204304967786,0.0652204304967786,0.0587104631845326,0.0587104631845326,-0.0638203709197753,-0.0114643679120264,-0.0652204304967786,-0.0652204304967786,-0.0681940923489451,-0.0681940923489451,-0.0681940923489451,-0.1023844911333,-0.136581423089401
"CD24",0.136581423089401,0.0652204304967786,0.0652204304967786,0.0652204304967786,0.0652204304967786,0.0587104631845326,0.0587104631845326,-0.0638203709197753,-0.0114643679120264,-0.0652204304967786,-0.0652204304967786,-0.0681940923489451,-0.0681940923489451,-0.0681940923489451,-0.1023844911333,-0.136581423089401
"ZEB1",-0.139167898626951,-0.0638203709197753,-0.0638203709197753,-0.0638203709197753,-0.0638203709197753,-0.0571568166848068,-0.0571568166848068,-0.03555825798926,0.0129928231965793,0.0638203709197753,0.0638203709197753,0.0652204304967786,0.0652204304967786,0.0652204304967786,0.100756356975045,0.139167898626951
"MIR190",-0.172144029187621,0.0267249767530273,0.0267249767530273,0.0267249767530273,0.0267249767530273,0.11797837130024,0.11797837130024,-0.024411352074364,0.00324069617965319,-0.0267249767530273,-0.0267249767530273,-0.0219630719911225,-0.0219630719911225,-0.0219630719911225,0.103044500761351,0.172144029187621
"SNAIL1",-0.166947090139863,0.0211599176179862,0.0211599176179862,0.0211599176179862,0.0211599176179862,0.109830513702049,0.109830513702049,-0.0201597155569638,0.103264138236506,-0.0211599176179862,-0.0211599176179862,-0.024411352074364,-0.024411352074364,-0.024411352074364,-0.00427169490181991,0.166947090139863
"GRHL2",0.102602621794564,-0.0105132167909038,-0.0105132167909038,-0.0105132167909038,-0.0105132167909038,-0.019183891667159,-0.019183891667159,0.0107778837516449,-0.0055886636234804,0.0105132167909038,0.0105132167909038,0.00872977730045793,0.00872977730045793,-0.0912702226995421,-0.076359426284836,-0.102602621794564
"TGFB",0.171308129495584,-0.024411352074364,-0.024411352074364,-0.024411352074364,-0.024411352074364,-0.114233935584084,-0.114233935584084,0.0211599176179862,-0.104710587123228,0.024411352074364,0.024411352074364,0.0267249767530273,0.0267249767530273,0.0267249767530273,-0.0968235165459377,-0.171308129495584
"MIR34",0.171308129495584,-0.024411352074364,-0.024411352074364,-0.024411352074364,-0.024411352074364,-0.114233935584084,-0.114233935584084,0.0211599176179862,-0.104710587123228,0.024411352074364,0.024411352074364,0.0267249767530273,0.0267249767530273,0.0267249767530273,-0.0968235165459377,-0.171308129495584
"CD44s",-0.136581423089401,-0.0652204304967786,-0.0652204304967786,-0.0652204304967786,-0.0652204304967786,-0.0587104631845326,-0.0587104631845326,0.0638203709197753,0.0114643679120264,0.0652204304967786,0.0652204304967786,0.0681940923489451,0.0681940923489451,0.0681940923489451,0.1023844911333,0.136581423089401
"HAS2",-0.132471834048305,-0.0681940923489451,-0.0681940923489451,-0.0681940923489451,-0.0681940923489451,-0.0630308003815822,-0.0630308003815822,0.0652204304967786,0.0104015659796593,0.0681940923489451,0.0681940923489451,-0.0300247371675943,0.0699752628324057,0.0699752628324057,0.100586950925163,0.132471834048305
"ESRP1",-0.132471834048305,-0.0681940923489451,-0.0681940923489451,-0.0681940923489451,-0.0681940923489451,-0.0630308003815822,-0.0630308003815822,0.0652204304967786,0.0104015659796593,0.0681940923489451,0.0681940923489451,0.0699752628324057,0.169975262832406,0.0699752628324057,0.100586950925163,0.132471834048305
"MIR200",0.105702278073269,-0.0734970907534143,-0.0734970907534143,-0.0734970907534143,-0.0734970907534143,-0.17034746961844,-0.17034746961844,0.0717223587203797,0.0114542055303805,0.0734970907534143,0.0734970907534143,0.0733451920192371,0.0733451920192371,0.0733451920192371,-0.0529060388695054,-0.105702278073269
"TWIST1",0.0107742001735616,-0.168365720889812,-0.168365720889812,-0.168365720889812,-0.168365720889812,-0.155744644561645,-0.155744644561645,0.166347627639986,-0.0506241629324672,0.168365720889812,0.168365720889812,0.169743821616447,0.169743821616447,0.169743821616447,-0.133832184520512,-0.0658544993140897
