"","SNAIL1","MIR200","TGFB","MIR340","HAS2","GRHL2","HA","CD44s","MIR34","ZEB1","CD24","MIR190","MIR1199","ESRP1","TWIST1","MIR129"
"MIR200",0.438345599083497,0.407563198667229,0.471477721047628,0.232779807682729,0.232779807682729,0.232779807682729,0.227159554518172,0.227159554518172,0.0328404000281954,-0.235151974261538,-0.227159554518172,-0.232779807682729,-0.232779807682729,-0.232779807682729,-0.468923986232284,-0.468923986232284
"MIR340",0.372254380473323,0.301057051598596,0.258501667855226,0.211844522745571,0.211844522745571,0.211844522745571,0.205472390205215,0.205472390205215,-0.0613028367731044,-0.213959506361896,-0.205472390205215,-0.211844522745571,-0.211844522745571,-0.211844522745571,-0.398857191156949,-0.398857191156949
"MIR1199",0.372254380473323,0.301057051598596,0.258501667855226,0.211844522745571,0.211844522745571,0.211844522745571,0.205472390205215,0.205472390205215,-0.0613028367731044,-0.213959506361896,-0.205472390205215,-0.211844522745571,-0.211844522745571,-0.211844522745571,-0.398857191156949,-0.398857191156949
"HA",0.372254380473323,0.301057051598596,0.258501667855226,0.211844522745571,0.211844522745571,0.211844522745571,0.205472390205215,0.205472390205215,-0.0613028367731044,-0.213959506361896,-0.205472390205215,-0.211844522745571,-0.211844522745571,-0.211844522745571,-0.398857191156949,-0.398857191156949
"CD24",0.372254380473323,0.301057051598596,0.258501667855226,0.211844522745571,0.211844522745571,0.211844522745571,0.205472390205215,0.205472390205215,-0.0613028367731044,-0.213959506361896,-0.205472390205215,-0.211844522745571,-0.211844522745571,-0.211844522745571,-0.398857191156949,-0.398857191156949
"HAS2",0.361090709707003,0.291257262346751,0.250675580898705,0.205472390205215,0.205472390205215,0.205472390205215,0.302164502164502,0.202164502164502,-0.0631995701766872,-0.211844522745571,-0.202164502164502,-0.205472390205215,-0.205472390205215,-0.205472390205215,-0.379587784764255,-0.379587784764255
"ESRP1",0.361090709707003,0.291257262346751,0.250675580898705,0.205472390205215,0.205472390205215,0.205472390205215,0.202164502164502,0.102164502164502,-0.0631995701766872,-0.211844522745571,-0.202164502164502,-0.205472390205215,-0.205472390205215,-0.205472390205215,-0.379587784764255,-0.379587784764255
"SNAIL1",0.318218492865048,0.339945066093076,0.31746975812496,0.188879168373973,0.188879168373973,0.188879168373973,0.186628175288788,0.186628175288788,0.141830689013699,-0.190303698582096,-0.186628175288788,-0.188879168373973,-0.188879168373973,-0.188879168373973,-0.467283383113332,-0.467283383113332
"TGFB",0.412582550743376,0.335505624400145,0.312675348893691,0.186628175288788,0.186628175288788,0.186628175288788,0.183886101595558,0.183886101595558,0.140146762854311,-0.188879168373973,-0.183886101595558,-0.186628175288788,-0.186628175288788,-0.186628175288788,-0.457300097898319,-0.457300097898319
"GRHL2",0.214174651881317,0.103354892290798,0.0804988719934107,0.0577228993912557,0.0577228993912557,0.0577228993912557,0.0537738548052684,0.0537738548052684,0.0129708441465003,-0.0576346770710087,-0.153773854805268,-0.0577228993912557,-0.0577228993912557,-0.0577228993912557,-0.242960029327804,-0.242960029327804
"MIR129",-0.274526632236403,-0.122379522414843,-0.0746798571062692,0.00768169974635071,0.00768169974635071,0.00768169974635071,0.0102152317880795,0.0102152317880795,-0.134772811154644,-0.00825799641385259,-0.0102152317880795,-0.00768169974635071,-0.00768169974635071,-0.00768169974635071,0.424038952386721,0.419571274282971
"TWIST1",-0.276406692617905,-0.12314946389929,-0.0775257291829105,0.00825799641385259,0.00825799641385259,0.00825799641385259,0.00768169974635071,0.00768169974635071,-0.136251098804782,-0.00724894978893957,-0.00768169974635071,-0.00825799641385259,-0.00825799641385259,-0.00825799641385259,0.32780464276329,0.423311792200836
"ZEB1",-0.380264800531935,-0.306668457191723,-0.266989472733275,-0.213959506361896,-0.213959506361896,-0.213959506361896,-0.211844522745571,-0.211844522745571,0.0582869347442249,0.116740396654246,0.211844522745571,0.213959506361896,0.213959506361896,0.213959506361896,0.412786764232674,0.412786764232674
"MIR190",-0.404690257335762,-0.32945692055097,-0.405515557523373,-0.183886101595558,-0.183886101595558,-0.183886101595558,-0.179374823400069,-0.179374823400069,-0.137449721744073,0.186628175288788,0.179374823400069,0.183886101595558,0.183886101595558,0.183886101595558,0.443353771457492,0.443353771457492
"MIR34",-0.412582550743376,-0.335505624400145,-0.312675348893691,-0.186628175288788,-0.186628175288788,-0.186628175288788,-0.183886101595558,-0.183886101595558,-0.140146762854311,0.188879168373973,0.183886101595558,0.186628175288788,0.186628175288788,0.186628175288788,0.457300097898319,0.457300097898319
"CD44s",-0.372254380473323,-0.301057051598596,-0.258501667855226,-0.211844522745571,-0.211844522745571,-0.211844522745571,-0.205472390205215,-0.205472390205215,0.0613028367731044,0.213959506361896,0.205472390205215,0.211844522745571,0.211844522745571,0.211844522745571,0.398857191156949,0.398857191156949
