"","MIR340","MIR190","MIR1199","HAS2","GRHL2","ESRP1","CD44s","CD24","MIR34","MIR200","TWIST1","SNAIL1","ZEB1","MIR129","TGFB","HA"
"GRHL2",0.218083724884772,0.218083724884772,0.218083724884772,0.218083724884772,0.218083724884772,0.218083724884772,0.218083724884772,0.318083724884772,0.204073056258346,0.204073056258346,0.0902871188925118,0.0640650117083469,-0.218789503446748,-0.0902871188925118,-0.211036657032704,-0.218083724884772
"MIR129",0.185648627464527,0.185648627464527,0.185648627464527,0.185648627464527,0.185648627464527,0.185648627464527,0.184605408388521,0.184605408388521,-0.00156448064524639,-0.00156448064524639,0.0120714328975488,0.185795016574431,-0.186024473117246,-0.0591727681570996,-0.0601041331749367,-0.184605408388521
"CD24",0.136782806671411,0.136782806671411,0.136782806671411,0.136782806671411,0.136782806671411,0.136782806671411,0.136527921369797,0.136527921369797,0.121629334319687,0.121629334319687,0.0707789242184085,0.0385190178134422,-0.137646673218924,-0.0707789242184085,-0.128551036424747,-0.136527921369797
"HAS2",0.136527921369797,0.136527921369797,0.136527921369797,0.136527921369797,0.136527921369797,0.136527921369797,0.137291280148423,0.137291280148423,0.122472326943502,0.122472326943502,0.0692264128028834,0.0386136251928178,-0.136782806671411,-0.0692264128028834,-0.129227364927162,-0.237291280148423
"MIR200",0.127789500518617,0.127789500518617,0.127789500518617,0.127789500518617,0.127789500518617,0.127789500518617,0.128751525835073,0.128751525835073,0.210144675809325,0.210144675809325,-0.146159515386407,-0.0964228346482263,-0.128193647417229,0.146159515386407,-0.316754824335851,-0.128751525835073
"TGFB",0.0246472091771927,0.0246472091771927,0.0246472091771927,0.0246472091771927,0.0246472091771927,0.0246472091771927,0.0243901397684523,0.0243901397684523,-0.105997319507618,-0.105997319507618,0.192921181834513,0.126960977419477,-0.024220550357125,-0.192921181834513,0.0967449732788494,-0.0243901397684523
"MIR34",0.0246472091771927,0.0246472091771927,0.0246472091771927,0.0246472091771927,0.0246472091771927,0.0246472091771927,0.0243901397684523,0.0243901397684523,-0.105997319507618,-0.105997319507618,0.192921181834513,0.126960977419477,-0.024220550357125,-0.192921181834513,0.0967449732788494,-0.0243901397684523
"SNAIL1",0.024220550357125,0.024220550357125,0.024220550357125,0.024220550357125,0.024220550357125,0.024220550357125,0.0246472091771927,0.0246472091771927,-0.106258463136614,-0.106258463136614,0.193361844347808,0.0265053055032566,-0.0241397259481535,-0.193361844347808,0.0966962165748026,-0.0246472091771927
"MIR190",-0.0243901397684523,-0.0243901397684523,-0.0243901397684523,-0.0243901397684523,-0.0243901397684523,-0.0243901397684523,-0.0216332475378759,-0.0216332475378759,0.105918764912174,0.105918764912174,-0.19164533493614,-0.126960977419477,0.0246472091771927,0.19164533493614,-0.197930369201087,0.0216332475378759
"ZEB1",-0.137646673218924,-0.137646673218924,-0.137646673218924,-0.137646673218924,-0.137646673218924,-0.137646673218924,-0.136782806671411,-0.136782806671411,-0.122195958337234,-0.122195958337234,-0.0712463595565201,-0.0380631402491309,0.0372290303545051,0.0712463595565201,0.128128272197104,0.136782806671411
"ESRP1",-0.136527921369797,-0.136527921369797,-0.136527921369797,-0.136527921369797,-0.136527921369797,-0.136527921369797,-0.037291280148423,-0.137291280148423,-0.122472326943502,-0.122472326943502,-0.0692264128028834,-0.0386136251928178,0.136782806671411,0.0692264128028834,0.129227364927162,0.137291280148423
"MIR340",-0.136782806671411,-0.136782806671411,-0.136782806671411,-0.136782806671411,-0.136782806671411,-0.136782806671411,-0.136527921369797,-0.136527921369797,-0.121629334319687,-0.121629334319687,-0.0707789242184085,-0.0385190178134422,0.137646673218924,0.0707789242184085,0.128551036424747,0.136527921369797
"MIR1199",-0.136782806671411,-0.136782806671411,-0.136782806671411,-0.136782806671411,-0.136782806671411,-0.136782806671411,-0.136527921369797,-0.136527921369797,-0.121629334319687,-0.121629334319687,-0.0707789242184085,-0.0385190178134422,0.137646673218924,0.0707789242184085,0.128551036424747,0.136527921369797
"HA",-0.136782806671411,-0.136782806671411,-0.136782806671411,-0.136782806671411,-0.136782806671411,-0.136782806671411,-0.136527921369797,-0.136527921369797,-0.121629334319687,-0.121629334319687,-0.0707789242184085,-0.0385190178134422,0.137646673218924,0.0707789242184085,0.128551036424747,0.136527921369797
"CD44s",-0.136782806671411,-0.136782806671411,-0.136782806671411,-0.136782806671411,-0.136782806671411,-0.136782806671411,-0.136527921369797,-0.136527921369797,-0.121629334319687,-0.121629334319687,-0.0707789242184085,-0.0385190178134422,0.137646673218924,0.0707789242184085,0.128551036424747,0.136527921369797
"TWIST1",-0.186024473117246,-0.186024473117246,-0.186024473117246,-0.186024473117246,-0.186024473117246,-0.186024473117246,-0.185648627464527,-0.185648627464527,0.00181086192026949,0.00181086192026949,-0.113065156746921,-0.185973416464647,0.186146254606459,0.0601929094074266,0.060470433541237,0.185648627464527
