"","HA","MIR340","MIR190","MIR1199","HAS2","GRHL2","ESRP1","MIR34","TWIST1","MIR129","SNAIL1","ZEB1","MIR200","TGFB","CD44s","CD24"
"HAS2",0.2926097711812,0.185739542173566,0.185739542173566,0.185739542173566,0.185739542173566,0.185739542173566,0.185739542173566,0.182590109557764,-0.0345875301169419,-0.0345875301169419,-0.0408521390870607,-0.194830451264475,-0.182590109557764,-0.188922143891718,-0.1926097711812,-0.1926097711812
"ESRP1",0.1926097711812,0.185739542173566,0.185739542173566,0.185739542173566,0.185739542173566,0.185739542173566,0.185739542173566,0.182590109557764,-0.0345875301169419,-0.0345875301169419,-0.0408521390870607,-0.194830451264475,-0.182590109557764,-0.188922143891718,-0.2926097711812,-0.1926097711812
"MIR340",0.185739542173566,0.194830451264475,0.194830451264475,0.194830451264475,0.194830451264475,0.194830451264475,0.194830451264475,0.183854598493486,-0.0489254296603209,-0.0489254296603209,-0.0322428675638819,-0.190511118526912,-0.183854598493486,-0.187472868529399,-0.185739542173566,-0.185739542173566
"MIR1199",0.185739542173566,0.194830451264475,0.194830451264475,0.194830451264475,0.194830451264475,0.194830451264475,0.194830451264475,0.183854598493486,-0.0489254296603209,-0.0489254296603209,-0.0322428675638819,-0.190511118526912,-0.183854598493486,-0.187472868529399,-0.185739542173566,-0.185739542173566
"HA",0.185739542173566,0.194830451264475,0.194830451264475,0.194830451264475,0.194830451264475,0.194830451264475,0.194830451264475,0.183854598493486,-0.0489254296603209,-0.0489254296603209,-0.0322428675638819,-0.190511118526912,-0.183854598493486,-0.187472868529399,-0.185739542173566,-0.185739542173566
"CD24",0.185739542173566,0.194830451264475,0.194830451264475,0.194830451264475,0.194830451264475,0.194830451264475,0.194830451264475,0.183854598493486,-0.0489254296603209,-0.0489254296603209,-0.0322428675638819,-0.190511118526912,-0.183854598493486,-0.187472868529399,-0.185739542173566,-0.185739542173566
"SNAIL1",0.102151344682257,0.106491494748463,0.106491494748463,0.106491494748463,0.106491494748463,0.106491494748463,0.106491494748463,0.116381973566275,0.0353957825192871,0.0353957825192871,-0.074977811880732,-0.10366264043446,-0.116381973566275,-0.145195720837376,-0.102151344682257,-0.102151344682257
"MIR190",0.0987714295989191,0.107292732857064,0.107292732857064,0.107292732857064,0.107292732857064,0.107292732857064,0.107292732857064,0.115939195867292,0.0324730249080032,0.0324730249080032,0.026675378509281,-0.102151344682257,-0.115939195867292,-0.243443531120394,-0.0987714295989191,-0.0987714295989191
"MIR129",0.0409437086092715,0.0320018308149347,0.0320018308149347,0.0320018308149347,0.0320018308149347,0.0320018308149347,0.0320018308149347,0.016362842164537,-0.136310367402972,0.0709799084503782,-0.0372658865300492,-0.0393934619850675,-0.016362842164537,-0.0266055777511625,-0.0409437086092715,-0.0409437086092715
"TWIST1",-0.0320018308149347,-0.0393934619850675,-0.0393934619850675,-0.0393934619850675,-0.0393934619850675,-0.0393934619850675,-0.0393934619850675,-0.0167016164176938,0.0498563925075748,-0.0574564975165566,0.0292653376073101,0.0345222024165219,0.0167016164176938,0.0234779361619824,0.0320018308149347,0.0320018308149347
"ZEB1",-0.194830451264475,-0.190511118526912,-0.190511118526912,-0.190511118526912,-0.190511118526912,-0.190511118526912,-0.190511118526912,-0.184530891675719,0.0383613910189996,0.0383613910189996,0.0383972146820844,0.0950236987449012,0.184530891675719,0.191733031131025,0.194830451264475,0.194830451264475
"TGFB",-0.107292732857064,-0.102151344682257,-0.102151344682257,-0.102151344682257,-0.102151344682257,-0.102151344682257,-0.102151344682257,-0.116174859653623,-0.0432517314632166,-0.0432517314632166,-0.02036154378319,0.106491494748463,0.116174859653623,0.146999718887108,0.107292732857064,0.107292732857064
"MIR34",-0.107292732857064,-0.102151344682257,-0.102151344682257,-0.102151344682257,-0.102151344682257,-0.102151344682257,-0.102151344682257,-0.116174859653623,-0.0432517314632166,-0.0432517314632166,-0.02036154378319,0.106491494748463,0.116174859653623,0.146999718887108,0.107292732857064,0.107292732857064
"MIR200",-0.179381980673383,-0.188242740167054,-0.188242740167054,-0.188242740167054,-0.188242740167054,-0.188242740167054,-0.188242740167054,-0.25610426073151,-0.0399455267390495,-0.0399455267390495,-0.0466538223627411,0.183586265030874,0.25610426073151,0.367666621280318,0.179381980673383,0.179381980673383
"CD44s",-0.185739542173566,-0.194830451264475,-0.194830451264475,-0.194830451264475,-0.194830451264475,-0.194830451264475,-0.194830451264475,-0.183854598493486,0.0489254296603209,0.0489254296603209,0.0322428675638819,0.190511118526912,0.183854598493486,0.187472868529399,0.185739542173566,0.185739542173566
"GRHL2",-0.319657269432139,-0.324752810833412,-0.324752810833412,-0.324752810833412,-0.324752810833412,-0.324752810833412,-0.324752810833412,-0.282533717015668,0.0610622399085629,0.0610622399085629,0.057700720978117,0.323914698791066,0.282533717015668,0.29789093434209,0.319657269432139,0.219657269432139
