"","TWIST1","MIR129","ZEB1","HA","MIR340","MIR1199","ESRP1","TGFB","MIR190","HAS2","GRHL2","CD44s","CD24","MIR200","MIR34","SNAIL1"
"GRHL2",0.101546851765941,0.101546851765941,-0.206817251140172,0.204453230112916,0.214007370240305,0.214007370240305,0.214007370240305,-0.012336895223576,-0.214007370240305,-0.214007370240305,-0.214007370240305,-0.204453230112916,-0.104453230112916,-0.189037094932559,-0.244096872584291,-0.112038999112257
"MIR34",-0.0721434193411918,-0.0721434193411918,-0.11035430905689,0.113742390824402,0.0831511311842988,0.0831511311842988,0.0831511311842988,0.0755525347930259,-0.0831511311842988,-0.0831511311842988,-0.0831511311842988,-0.113742390824402,-0.113742390824402,-0.123165526541967,0.041319291746281,0.0193399900142456
"SNAIL1",-0.0226524605203439,-0.0226524605203439,-0.0865010053591729,0.0831511311842988,0.11035430905689,0.11035430905689,0.11035430905689,0.0882130256105133,-0.11035430905689,-0.11035430905689,-0.11035430905689,-0.0831511311842988,-0.0831511311842988,-0.12202189754602,0.00687534757698787,-0.0402650943250301
"ZEB1",-0.0634251849342854,-0.0634251849342854,-0.0513773214036293,-0.0505066336755408,-0.0335569762433097,-0.0335569762433097,-0.0335569762433097,0.00752378220229947,0.0335569762433097,0.0335569762433097,0.0335569762433097,0.0505066336755408,0.0505066336755408,0.0707899645679562,0.0814704004045285,0.106727252511616
"HAS2",0.0595939511468923,0.0595939511468923,-0.0505066336755408,-0.0464749536178108,0.0298609242447847,0.0298609242447847,0.0298609242447847,-0.00893582414880589,-0.0298609242447847,-0.0298609242447847,-0.0298609242447847,-0.0535250463821892,-0.0535250463821892,-0.0695394587396391,-0.0779155901866906,-0.109652934117582
"MIR340",0.0925619876765727,0.0925619876765727,-0.0335569762433097,0.0298609242447847,0.0505066336755408,0.0505066336755408,0.0505066336755408,-0.000336790332380772,-0.0505066336755408,-0.0505066336755408,-0.0505066336755408,-0.0298609242447847,-0.0298609242447847,-0.0706985735973841,-0.102362376277312,-0.0825006162367874
"MIR1199",0.0925619876765727,0.0925619876765727,-0.0335569762433097,0.0298609242447847,0.0505066336755408,0.0505066336755408,0.0505066336755408,-0.000336790332380772,-0.0505066336755408,-0.0505066336755408,-0.0505066336755408,-0.0298609242447847,-0.0298609242447847,-0.0706985735973841,-0.102362376277312,-0.0825006162367874
"CD44s",0.0925619876765727,0.0925619876765727,-0.0335569762433097,0.0298609242447847,0.0505066336755408,0.0505066336755408,0.0505066336755408,-0.000336790332380772,-0.0505066336755408,-0.0505066336755408,-0.0505066336755408,-0.0298609242447847,-0.0298609242447847,-0.0706985735973841,-0.102362376277312,-0.0825006162367874
"CD24",0.0925619876765727,0.0925619876765727,-0.0335569762433097,0.0298609242447847,0.0505066336755408,0.0505066336755408,0.0505066336755408,-0.000336790332380772,-0.0505066336755408,-0.0505066336755408,-0.0505066336755408,-0.0298609242447847,-0.0298609242447847,-0.0706985735973841,-0.102362376277312,-0.0825006162367874
"MIR129",-0.126739489690855,0.0743880313764478,0.00228671444633003,-0.00638796909492275,0.0259518222612621,0.0259518222612621,0.0259518222612621,0.0146581083255705,-0.0259518222612621,-0.0259518222612621,-0.0259518222612621,0.00638796909492275,0.00638796909492275,-0.0146195767399685,-0.00522551454049837,0.0793592301471648
"TWIST1",0.0774194060088471,-0.0237210159435417,0.0225219146420485,-0.0259518222612621,0.00228671444633003,0.00228671444633003,0.00228671444633003,-0.00161217989502672,-0.00228671444633003,-0.00228671444633003,-0.00228671444633003,0.0259518222612621,0.0259518222612621,0.0154203158837936,-0.0302841867222057,-0.0380116248226142
"HA",-0.0925619876765727,-0.0925619876765727,0.0335569762433097,-0.0298609242447847,-0.0505066336755408,-0.0505066336755408,-0.0505066336755408,0.000336790332380772,0.0505066336755408,0.0505066336755408,0.0505066336755408,0.0298609242447847,0.0298609242447847,0.0706985735973841,0.102362376277312,0.0825006162367874
"ESRP1",-0.0595939511468923,-0.0595939511468923,0.0505066336755408,-0.0535250463821892,-0.0298609242447847,-0.0298609242447847,-0.0298609242447847,0.00893582414880589,0.0298609242447847,0.0298609242447847,0.0298609242447847,-0.0464749536178108,0.0535250463821892,0.0695394587396391,0.0779155901866906,0.109652934117582
"MIR200",-0.0801990367046129,-0.0801990367046129,0.0703139045764426,-0.069234376385139,-0.0677660219547592,-0.0677660219547592,-0.0677660219547592,0.00772372687251159,0.0677660219547592,0.0677660219547592,0.0677660219547592,0.069234376385139,0.069234376385139,-0.0234997635425569,0.194413643249356,0.120076981256972
"MIR190",0.0157861822096476,0.0157861822096476,0.0831511311842988,-0.0796571777918201,-0.113742390824402,-0.113742390824402,-0.113742390824402,0.0100804666294492,0.113742390824402,0.113742390824402,0.113742390824402,0.0796571777918201,0.0796571777918201,0.121463510307351,-0.00222528808039986,-0.0652081422890831
"TGFB",0.0721434193411918,0.0721434193411918,0.11035430905689,-0.113742390824402,-0.0831511311842988,-0.0831511311842988,-0.0831511311842988,-0.0755525347930259,0.0831511311842988,0.0831511311842988,0.0831511311842988,0.113742390824402,0.113742390824402,0.123165526541967,-0.041319291746281,-0.0193399900142456
