"","HA","CD24","MIR190","MIR1199","GRHL2","ESRP1","MIR34","MIR200","MIR129","SNAIL1","TWIST1","ZEB1","TGFB","MIR340","HAS2","CD44s"
"GRHL2",0.32360246714697,0.42360246714697,0.326659791987734,0.326659791987734,0.326659791987734,0.326659791987734,0.285031210602756,0.285031210602756,0.0693798477295452,-0.0555893443177032,-0.0532853399737571,-0.327321459389587,-0.301237166066954,-0.326659791987734,-0.326659791987734,-0.32360246714697
"MIR1199",0.193615308718907,0.193615308718907,0.196758894105483,0.196758894105483,0.196758894105483,0.196758894105483,0.184892399713416,0.184892399713416,0.0516768632388294,-0.0304772762128396,-0.0380246446006317,-0.196550374594015,-0.191476959997994,-0.196758894105483,-0.196758894105483,-0.193615308718907
"HA",0.193615308718907,0.193615308718907,0.196758894105483,0.196758894105483,0.196758894105483,0.196758894105483,0.184892399713416,0.184892399713416,0.0516768632388294,-0.0304772762128396,-0.0380246446006317,-0.196550374594015,-0.191476959997994,-0.196758894105483,-0.196758894105483,-0.193615308718907
"CD44s",0.193615308718907,0.193615308718907,0.196758894105483,0.196758894105483,0.196758894105483,0.196758894105483,0.184892399713416,0.184892399713416,0.0516768632388294,-0.0304772762128396,-0.0380246446006317,-0.196550374594015,-0.191476959997994,-0.196758894105483,-0.196758894105483,-0.193615308718907
"CD24",0.193615308718907,0.193615308718907,0.196758894105483,0.196758894105483,0.196758894105483,0.196758894105483,0.184892399713416,0.184892399713416,0.0516768632388294,-0.0304772762128396,-0.0380246446006317,-0.196550374594015,-0.191476959997994,-0.196758894105483,-0.196758894105483,-0.193615308718907
"MIR190",0.0744886950356796,0.0744886950356796,0.076744334133424,0.076744334133424,0.076744334133424,0.076744334133424,0.0912839932606129,0.0912839932606129,-0.0715668397749093,0.00337612339157522,0.0193981987451033,-0.0775155423596451,-0.21681104459032,-0.076744334133424,-0.076744334133424,-0.0744886950356796
"SNAIL1",0.0775155423596451,0.0775155423596451,0.0768534855698849,0.0768534855698849,0.0768534855698849,0.0768534855698849,0.08949263252124,0.08949263252124,-0.067542081597129,-0.0946059534685173,0.014558619032733,-0.0768736916721278,-0.118912414609778,-0.0768534855698849,-0.0768534855698849,-0.0775155423596451
"TWIST1",0.0368818491066347,0.0368818491066347,0.0368567927297868,0.0368567927297868,0.0368567927297868,0.0368567927297868,0.0227029237523601,0.0227029237523601,0.000104322819273568,0.00324114233390062,0.00156930144766706,-0.0372221371974277,-0.0275117420775581,-0.0368567927297868,-0.0368567927297868,-0.0368818491066347
"MIR129",0.0371799116997793,0.0371799116997793,0.0368818491066347,0.0368818491066347,0.0368818491066347,0.0368818491066347,0.0220253752460466,0.0220253752460466,0.000182795223144873,0.00243148129369203,0.0991634437070813,-0.0368567927297868,-0.0284979353714437,-0.0368818491066347,-0.0368818491066347,-0.0371799116997793
"TGFB",-0.076744334133424,-0.076744334133424,-0.0775155423596451,-0.0775155423596451,-0.0775155423596451,-0.0775155423596451,-0.089843825677476,-0.089843825677476,0.0694110984638666,-0.00351539915759193,-0.0137228797833787,0.0768534855698849,0.119513747293022,0.0775155423596451,0.0775155423596451,0.076744334133424
"MIR34",-0.076744334133424,-0.076744334133424,-0.0775155423596451,-0.0775155423596451,-0.0775155423596451,-0.0775155423596451,-0.089843825677476,-0.089843825677476,0.0694110984638666,-0.00351539915759193,-0.0137228797833787,0.0768534855698849,0.119513747293022,0.0775155423596451,0.0775155423596451,0.076744334133424
"ZEB1",-0.196758894105483,-0.196758894105483,-0.196550374594015,-0.196550374594015,-0.196550374594015,-0.196550374594015,-0.185459023730963,-0.185459023730963,-0.0522689480004374,0.0296632091337123,0.0358744420453185,0.0975995749607257,0.192680212030514,0.196550374594015,0.196550374594015,0.196758894105483
"MIR200",-0.159935353126877,-0.159935353126877,-0.160897378443333,-0.160897378443333,-0.160897378443333,-0.160897378443333,-0.0568383713684604,-0.0568383713684604,-0.0944205664072087,0.0670908403184304,0.050321900803912,0.160458088336146,-0.040026389175911,0.160897378443333,0.160897378443333,0.159935353126877
"MIR340",-0.193615308718907,-0.193615308718907,-0.196758894105483,-0.196758894105483,-0.196758894105483,-0.196758894105483,-0.184892399713416,-0.184892399713416,-0.0516768632388294,0.0304772762128396,0.0380246446006317,0.196550374594015,0.191476959997994,0.196758894105483,0.196758894105483,0.193615308718907
"HAS2",-0.290816326530612,-0.190816326530612,-0.193615308718907,-0.193615308718907,-0.193615308718907,-0.193615308718907,-0.184892399713416,-0.184892399713416,-0.0488458130105189,0.0322748164209759,0.0328191651485769,0.196758894105483,0.188481790915868,0.193615308718907,0.193615308718907,0.190816326530612
"ESRP1",-0.190816326530612,-0.190816326530612,-0.193615308718907,-0.193615308718907,-0.193615308718907,-0.193615308718907,-0.184892399713416,-0.184892399713416,-0.0488458130105189,0.0322748164209759,0.0328191651485769,0.196758894105483,0.188481790915868,0.193615308718907,0.193615308718907,0.0908163265306122
