"","MIR340","GRHL2","ESRP1","MIR34","MIR200","MIR129","TGFB","TWIST1","ZEB1","SNAIL1","HA","CD44s","CD24","MIR190","MIR1199","HAS2"
"GRHL2",0.303269787183183,0.303269787183183,0.303269787183183,0.250799310771247,0.250799310771247,0.122040715117208,0.0133504204325734,-0.0813027402214996,-0.303622676464171,-0.111473025225812,-0.301868513297833,-0.301868513297833,-0.401868513297833,-0.303269787183183,-0.303269787183183,-0.303269787183183
"MIR200",0.192771625076612,0.192771625076612,0.192771625076612,0.233827013731343,0.233827013731343,-0.0434877699889357,-0.184019430940545,0.0216110958849287,-0.193175771975223,0.00294359716769039,-0.191303270646232,-0.191303270646232,-0.191303270646232,-0.192771625076612,-0.192771625076612,-0.192771625076612
"HA",0.177112492476999,0.177112492476999,0.177112492476999,0.145101327918091,0.145101327918091,0.102214438368508,0.00584595128734824,-0.0633512770334688,-0.177142280978637,-0.0862397683790987,-0.175838065968927,-0.175838065968927,-0.175838065968927,-0.177112492476999,-0.177112492476999,-0.177112492476999
"HAS2",0.175838065968927,0.175838065968927,0.175838065968927,0.144995953840114,0.144995953840114,0.101027223756636,0.00574933292986031,-0.0616161172161172,-0.177112492476999,-0.0867128052759766,-0.0740568954854669,-0.174056895485467,-0.174056895485467,-0.175838065968927,-0.175838065968927,-0.175838065968927
"ESRP1",0.175838065968927,0.175838065968927,0.175838065968927,0.144995953840114,0.144995953840114,0.101027223756636,0.00574933292986031,-0.0616161172161172,-0.177112492476999,-0.0867128052759766,-0.174056895485467,-0.274056895485467,-0.174056895485467,-0.175838065968927,-0.175838065968927,-0.175838065968927
"MIR190",0.132267874346563,0.132267874346563,0.132267874346563,0.113632696948637,0.113632696948637,-0.0633298154041259,-0.164850285440502,0.0130828010233526,-0.133210462178611,-0.00618041501218091,-0.130513488381651,-0.130513488381651,-0.130513488381651,-0.132267874346563,-0.132267874346563,-0.132267874346563
"SNAIL1",0.132636679627486,0.132636679627486,0.132636679627486,0.113533767439214,0.113533767439214,-0.0612804409066374,-0.0638872191639818,0.0124073640694051,-0.132798328445429,-0.104827628572735,-0.133210462178611,-0.133210462178611,-0.133210462178611,-0.132636679627486,-0.132636679627486,-0.132636679627486
"TWIST1",0.0164057779465244,0.0164057779465244,0.0164057779465244,0.00528775689890464,0.00528775689890464,0.0041805656599196,0.00291659888930558,-0.000933997837470834,-0.0167885197697673,-0.00521811386581227,-0.0168818491066347,-0.0168818491066347,-0.0168818491066347,-0.0164057779465244,-0.0164057779465244,-0.0164057779465244
"MIR129",0.0168818491066347,0.0168818491066347,0.0168818491066347,0.00504137562388154,0.00504137562388154,0.00520070691024657,0.00294477584055945,0.0974969645056254,-0.0164057779465244,-0.00451823737342857,-0.0171799116997793,-0.0171799116997793,-0.0171799116997793,-0.0168818491066347,-0.0168818491066347,-0.0168818491066347
"ZEB1",-0.177142280978637,-0.177142280978637,-0.177142280978637,-0.14530238805335,-0.14530238805335,-0.102494899571375,-0.00626871551499051,0.0626345428483644,0.0772950771485466,0.0861420803296034,0.177112492476999,0.177112492476999,0.177112492476999,0.177142280978637,0.177142280978637,0.177142280978637
"TGFB",-0.133210462178611,-0.133210462178611,-0.133210462178611,-0.11334466343201,-0.11334466343201,0.0611740740930833,0.0644235429084967,-0.0107510808297758,0.132636679627486,0.00478765735201378,0.132267874346563,0.132267874346563,0.132267874346563,0.133210462178611,0.133210462178611,0.133210462178611
"MIR34",-0.133210462178611,-0.133210462178611,-0.133210462178611,-0.11334466343201,-0.11334466343201,0.0611740740930833,0.0644235429084967,-0.0107510808297758,0.132636679627486,0.00478765735201378,0.132267874346563,0.132267874346563,0.132267874346563,0.133210462178611,0.133210462178611,0.133210462178611
"MIR340",-0.177112492476999,-0.177112492476999,-0.177112492476999,-0.145101327918091,-0.145101327918091,-0.102214438368508,-0.00584595128734824,0.0633512770334688,0.177142280978637,0.0862397683790987,0.175838065968927,0.175838065968927,0.175838065968927,0.177112492476999,0.177112492476999,0.177112492476999
"MIR1199",-0.177112492476999,-0.177112492476999,-0.177112492476999,-0.145101327918091,-0.145101327918091,-0.102214438368508,-0.00584595128734824,0.0633512770334688,0.177142280978637,0.0862397683790987,0.175838065968927,0.175838065968927,0.175838065968927,0.177112492476999,0.177112492476999,0.177112492476999
"CD44s",-0.177112492476999,-0.177112492476999,-0.177112492476999,-0.145101327918091,-0.145101327918091,-0.102214438368508,-0.00584595128734824,0.0633512770334688,0.177142280978637,0.0862397683790987,0.175838065968927,0.175838065968927,0.175838065968927,0.177112492476999,0.177112492476999,0.177112492476999
"CD24",-0.177112492476999,-0.177112492476999,-0.177112492476999,-0.145101327918091,-0.145101327918091,-0.102214438368508,-0.00584595128734824,0.0633512770334688,0.177142280978637,0.0862397683790987,0.175838065968927,0.175838065968927,0.175838065968927,0.177112492476999,0.177112492476999,0.177112492476999
