"","TWIST1","MIR34","MIR1199","HAS2","GRHL2","ESRP1","CD44s","CD24","TGFB","MIR200","ZEB1","MIR129","HA","MIR340","MIR190","SNAIL1"
"MIR34",0.570250805239163,0.604712507802148,0.433558567420184,0.433558567420184,0.433558567420184,0.433558567420184,0.410593700239378,0.410593700239378,-0.261845506028443,0.130104309292016,-0.452699364830806,-0.256522904188267,-0.410593700239378,-0.433558567420184,-0.433558567420184,-0.742664558021373
"TWIST1",0.344057912559009,0.427853520960818,0.372250316349092,0.372250316349092,0.372250316349092,0.372250316349092,0.358694816474374,0.358694816474374,-0.138731550765698,0.0221238408523226,-0.383680378979572,-0.128901596775961,-0.358694816474374,-0.372250316349092,-0.372250316349092,-0.53440958839362
"MIR200",0.432370641387086,0.470494826338464,0.307343834525555,0.307343834525555,0.307343834525555,0.307343834525555,0.291293201614163,0.291293201614163,-0.282947737571547,0.021610515155123,-0.320926684639771,-0.222629408994477,-0.291293201614163,-0.307343834525555,-0.307343834525555,-0.520062015743595
"GRHL2",0.263513013387627,0.340987637606304,0.290418588320846,0.290418588320846,0.290418588320846,0.290418588320846,0.281628779403649,0.381628779403649,-0.0450478183146988,-0.176198863087073,-0.297785152061472,-0.159454188556571,-0.281628779403649,-0.290418588320846,-0.290418588320846,-0.29070254260575
"HA",0.244553772845473,0.24403945342822,0.208160565165834,0.208160565165834,0.208160565165834,0.208160565165834,0.199919273746973,0.199919273746973,-0.0433575314358452,-0.0873182398082066,-0.215220440054127,-0.140631151174906,-0.199919273746973,-0.208160565165834,-0.208160565165834,-0.268940712669492
"CD44s",0.244553772845473,0.24403945342822,0.208160565165834,0.208160565165834,0.208160565165834,0.208160565165834,0.199919273746973,0.199919273746973,-0.0433575314358452,-0.0873182398082066,-0.215220440054127,-0.140631151174906,-0.199919273746973,-0.208160565165834,-0.208160565165834,-0.268940712669492
"CD24",0.244553772845473,0.24403945342822,0.208160565165834,0.208160565165834,0.208160565165834,0.208160565165834,0.199919273746973,0.199919273746973,-0.0433575314358452,-0.0873182398082066,-0.215220440054127,-0.140631151174906,-0.199919273746973,-0.208160565165834,-0.208160565165834,-0.268940712669492
"ESRP1",0.231859708918532,0.2327644270847,0.199919273746973,0.199919273746973,0.199919273746973,0.199919273746973,0.289486703772418,0.189486703772418,-0.0388164686339129,-0.0883719805879748,-0.208160565165834,-0.135060374919198,-0.189486703772418,-0.199919273746973,-0.199919273746973,-0.25569567955691
"ZEB1",-0.255180136198543,-0.253489279785375,-0.215220440054127,-0.215220440054127,-0.215220440054127,-0.215220440054127,-0.208160565165834,-0.208160565165834,0.0471624094846257,0.0865322774612865,0.121097999389973,0.145025043353155,0.208160565165834,0.215220440054127,0.215220440054127,0.280012024945624
"HAS2",-0.231859708918532,-0.2327644270847,-0.199919273746973,-0.199919273746973,-0.199919273746973,-0.199919273746973,-0.189486703772418,-0.189486703772418,0.0388164686339129,0.0883719805879748,0.208160565165834,0.135060374919198,0.089486703772418,0.199919273746973,0.199919273746973,0.25569567955691
"MIR340",-0.244553772845473,-0.24403945342822,-0.208160565165834,-0.208160565165834,-0.208160565165834,-0.208160565165834,-0.199919273746973,-0.199919273746973,0.0433575314358452,0.0873182398082066,0.215220440054127,0.140631151174906,0.199919273746973,0.208160565165834,0.208160565165834,0.268940712669492
"MIR1199",-0.244553772845473,-0.24403945342822,-0.208160565165834,-0.208160565165834,-0.208160565165834,-0.208160565165834,-0.199919273746973,-0.199919273746973,0.0433575314358452,0.0873182398082066,0.215220440054127,0.140631151174906,0.199919273746973,0.208160565165834,0.208160565165834,0.268940712669492
"MIR129",-0.423869628040181,-0.409652104268487,-0.358694816474374,-0.358694816474374,-0.358694816474374,-0.358694816474374,-0.342003311258278,-0.342003311258278,0.131321012585929,-0.0205839578834283,0.372250316349092,0.120452734625817,0.342003311258278,0.358694816474374,0.358694816474374,0.513070216910157
"MIR190",-0.536594843954517,-0.574102400444201,-0.410593700239378,-0.410593700239378,-0.410593700239378,-0.410593700239378,-0.383024777933614,-0.383024777933614,0.349469972600279,-0.127564377372665,0.433558567420184,0.24257657774744,0.383024777933614,0.410593700239378,0.410593700239378,0.706963536665755
"TGFB",-0.570250805239163,-0.604712507802148,-0.433558567420184,-0.433558567420184,-0.433558567420184,-0.433558567420184,-0.410593700239378,-0.410593700239378,0.261845506028443,-0.130104309292016,0.452699364830806,0.256522904188267,0.410593700239378,0.433558567420184,0.433558567420184,0.742664558021373
"SNAIL1",-0.598438010831019,-0.630277568585579,-0.452699364830806,-0.452699364830806,-0.452699364830806,-0.452699364830806,-0.433558567420184,-0.433558567420184,0.27213317058232,-0.132238483087603,0.468641979500436,0.268268839456463,0.433558567420184,0.452699364830806,0.452699364830806,0.672507071411732
