"","TWIST1","MIR34","ZEB1","ESRP1","HA","CD44s","CD24","TGFB","MIR200","MIR340","MIR190","MIR1199","HAS2","GRHL2","SNAIL1","MIR129"
"TWIST1",0.222321155926298,0.127658832426084,-0.188000138966413,0.181023799370031,0.178342767047305,0.178342767047305,0.178342767047305,0.0970672687911535,-0.0510074059085941,-0.181023799370031,-0.181023799370031,-0.181023799370031,-0.181023799370031,-0.181023799370031,-0.0989280392400924,-0.356133338462806
"GRHL2",0.168499891218743,0.149326349316063,-0.119101183581661,0.0944430450726179,0.0828506883847198,0.0828506883847198,-0.0171493116152802,0.0797746560462693,-0.0850566589766042,-0.0944430450726179,-0.0944430450726179,-0.0944430450726179,-0.0944430450726179,-0.0944430450726179,-0.12723153163804,-0.168499891218743
"TGFB",0.195133264520921,0.155041492598198,-0.114796804885192,0.112898908754546,0.120268231805103,0.120268231805103,0.120268231805103,-0.0154960893154072,0.044148401499397,-0.112898908754546,-0.112898908754546,-0.112898908754546,-0.112898908754546,-0.112898908754546,-0.0937477847197203,-0.195133264520921
"MIR34",0.195133264520921,0.155041492598198,-0.114796804885192,0.112898908754546,0.120268231805103,0.120268231805103,0.120268231805103,-0.0154960893154072,0.044148401499397,-0.112898908754546,-0.112898908754546,-0.112898908754546,-0.112898908754546,-0.112898908754546,-0.0937477847197203,-0.195133264520921
"ZEB1",-0.141192648578457,-0.0820809388607147,-0.0620628783039644,-0.0490301236314537,-0.0251099568158446,-0.0251099568158446,-0.0251099568158446,-0.0203796496136123,0.0346563315407319,0.0490301236314537,0.0490301236314537,0.0490301236314537,0.0490301236314537,0.0490301236314537,0.102478732976033,0.141192648578457
"MIR340",0.146895359703418,0.070730180315659,-0.0490301236314537,0.0251099568158446,-0.00165299985365417,-0.00165299985365417,-0.00165299985365417,-0.00157156989858285,-0.0166523103380267,-0.0251099568158446,-0.0251099568158446,-0.0251099568158446,-0.0251099568158446,-0.0251099568158446,-0.100036531738651,-0.146895359703418
"MIR1199",0.146895359703418,0.070730180315659,-0.0490301236314537,0.0251099568158446,-0.00165299985365417,-0.00165299985365417,-0.00165299985365417,-0.00157156989858285,-0.0166523103380267,-0.0251099568158446,-0.0251099568158446,-0.0251099568158446,-0.0251099568158446,-0.0251099568158446,-0.100036531738651,-0.146895359703418
"MIR200",-0.090356015017347,-0.0491995905973424,-0.029180770232103,0.0120484560518184,-0.00531863255577658,-0.00531863255577658,-0.00531863255577658,0.0122972456999696,-0.130301868267696,-0.0120484560518184,-0.0120484560518184,-0.0120484560518184,-0.0120484560518184,-0.0120484560518184,0.0499192850046289,0.090356015017347
"HAS2",0.146986683904331,0.0565046797887886,-0.0251099568158446,-0.00165299985365417,-0.0678107606679035,0.0321892393320965,0.0321892393320965,0.0275105557052819,0.0023150236978005,0.00165299985365417,0.00165299985365417,0.00165299985365417,0.00165299985365417,0.00165299985365417,-0.10864580326183,-0.146986683904331
"ESRP1",-0.146986683904331,-0.0565046797887886,0.0251099568158446,0.00165299985365417,-0.0321892393320965,0.0678107606679035,-0.0321892393320965,-0.0275105557052819,-0.0023150236978005,-0.00165299985365417,-0.00165299985365417,-0.00165299985365417,-0.00165299985365417,-0.00165299985365417,0.10864580326183,0.146986683904331
"HA",-0.146895359703418,-0.070730180315659,0.0490301236314537,-0.0251099568158446,0.00165299985365417,0.00165299985365417,0.00165299985365417,0.00157156989858285,0.0166523103380267,0.0251099568158446,0.0251099568158446,0.0251099568158446,0.0251099568158446,0.0251099568158446,0.100036531738651,0.146895359703418
"CD44s",-0.146895359703418,-0.070730180315659,0.0490301236314537,-0.0251099568158446,0.00165299985365417,0.00165299985365417,0.00165299985365417,0.00157156989858285,0.0166523103380267,0.0251099568158446,0.0251099568158446,0.0251099568158446,0.0251099568158446,0.0251099568158446,0.100036531738651,0.146895359703418
"CD24",-0.146895359703418,-0.070730180315659,0.0490301236314537,-0.0251099568158446,0.00165299985365417,0.00165299985365417,0.00165299985365417,0.00157156989858285,0.0166523103380267,0.0251099568158446,0.0251099568158446,0.0251099568158446,0.0251099568158446,0.0251099568158446,0.100036531738651,0.146895359703418
"MIR190",-0.186554293997384,-0.153129997442398,0.112898908754546,-0.120268231805103,-0.123777003734928,-0.123777003734928,-0.123777003734928,-0.0831288514147967,-0.0332293127327042,0.120268231805103,0.120268231805103,0.120268231805103,0.120268231805103,0.120268231805103,0.102800709510807,0.186554293997384
"SNAIL1",-0.192170189000483,-0.152691199937235,0.118949158896104,-0.114796804885192,-0.112898908754546,-0.112898908754546,-0.112898908754546,0.0250686555432635,-0.0394748310356419,0.114796804885192,0.114796804885192,0.114796804885192,0.114796804885192,0.114796804885192,-0.000760169553203239,0.192170189000483
"MIR129",-0.315626595256842,-0.121776479484907,0.181023799370031,-0.178342767047305,-0.188029801324503,-0.188029801324503,-0.188029801324503,-0.102110943065597,0.0535944092963366,0.178342767047305,0.178342767047305,0.178342767047305,0.178342767047305,0.178342767047305,0.107889202956299,0.349463184133745
