"","TWIST1","MIR34","MIR129","HA","CD24","MIR190","ZEB1","MIR340","MIR1199","HAS2","GRHL2","ESRP1","CD44s","TGFB","MIR200","SNAIL1"
"MIR200",-0.0451482893042971,0.0303041471316104,-0.0223506175305054,0.106888048490424,0.106888048490424,0.106736149756247,-0.106718578151959,-0.106736149756247,-0.106736149756247,-0.106736149756247,-0.106736149756247,-0.106736149756247,-0.106888048490424,0.0798888545263557,-0.0303041471316104,0.00527604429917146
"ESRP1",0.163788971812501,0.137279225851529,0.0957391157861746,0.0931972789115646,0.0931972789115646,0.092942825985356,-0.0926879406837417,-0.092942825985356,-0.092942825985356,-0.092942825985356,-0.092942825985356,-0.092942825985356,0.00680272108843537,-0.118948574526668,-0.137279225851529,-0.154899003606051
"MIR1199",0.163697647611588,0.136857729539622,0.0950998463797819,0.092942825985356,0.092942825985356,0.0926879406837417,-0.0926581521821033,-0.0926879406837417,-0.0926879406837417,-0.0926879406837417,-0.0926879406837417,-0.0926879406837417,-0.092942825985356,-0.119238429599132,-0.136857729539622,-0.155088218364803
"HA",0.163697647611588,0.136857729539622,0.0950998463797819,0.092942825985356,0.092942825985356,0.0926879406837417,-0.0926581521821033,-0.0926879406837417,-0.0926879406837417,-0.0926879406837417,-0.0926879406837417,-0.0926879406837417,-0.092942825985356,-0.119238429599132,-0.136857729539622,-0.155088218364803
"CD44s",0.163697647611588,0.136857729539622,0.0950998463797819,0.092942825985356,0.092942825985356,0.0926879406837417,-0.0926581521821033,-0.0926879406837417,-0.0926879406837417,-0.0926879406837417,-0.0926879406837417,-0.0926879406837417,-0.092942825985356,-0.119238429599132,-0.136857729539622,-0.155088218364803
"CD24",0.163697647611588,0.136857729539622,0.0950998463797819,0.092942825985356,0.092942825985356,0.0926879406837417,-0.0926581521821033,-0.0926879406837417,-0.0926879406837417,-0.0926879406837417,-0.0926879406837417,-0.0926879406837417,-0.092942825985356,-0.119238429599132,-0.136857729539622,-0.155088218364803
"TGFB",-0.113384479697648,-0.0413871793187414,-0.0346597552484317,0.0852484728922317,0.0852484728922317,0.0852484728922317,-0.0852043357729143,-0.0852484728922317,-0.0852484728922317,-0.0852484728922317,-0.0852484728922317,-0.0852484728922317,-0.0852484728922317,0.0324895289912772,0.0413871793187414,0.066958888170763
"SNAIL1",-0.113369284438569,-0.0413241446496734,-0.0345533884348775,0.0852484728922317,0.0852484728922317,0.0852043357729143,-0.0852043357729143,-0.0852043357729143,-0.0852043357729143,-0.0852043357729143,-0.0852043357729143,-0.0852043357729143,-0.0852484728922317,0.0326032946340531,0.0413241446496734,-0.0330171290968044
"ZEB1",-0.163604160543966,-0.136912564121965,-0.0952556581591524,-0.0926879406837417,-0.0926879406837417,-0.0926581521821033,-0.00735203422922395,0.0926581521821033,0.0926581521821033,0.0926581521821033,0.0926581521821033,0.0926581521821033,0.0926879406837417,0.118880706021896,0.136912564121965,0.154925404948977
"TWIST1",0.0301585553842766,0.0145196468239662,-0.0065023549643937,-0.00774558498896247,-0.00774558498896247,-0.00777064136581038,0.00775324401020843,0.00777064136581038,0.00777064136581038,0.00777064136581038,0.00777064136581038,0.00777064136581038,0.00774558498896247,-0.00592735407618218,-0.0145196468239662,-0.0521139820231083
"MIR129",0.130263157894737,0.0145504444833441,-0.0064761974964366,-0.00774558498896247,-0.00774558498896247,-0.00774558498896247,0.00777064136581038,0.00774558498896247,0.00774558498896247,0.00774558498896247,0.00774558498896247,0.00774558498896247,0.00774558498896247,-0.0060118849299438,-0.0145504444833441,-0.0521551512285426
"MIR34",0.113384479697648,0.0413871793187414,0.0346597552484317,-0.0852484728922317,-0.0852484728922317,-0.0852484728922317,0.0852043357729143,0.0852484728922317,0.0852484728922317,0.0852484728922317,0.0852484728922317,0.0852484728922317,0.0852484728922317,-0.0324895289912772,-0.0413871793187414,-0.066958888170763
"MIR190",0.113516463859548,0.0412038852627058,0.03426380276273,-0.0852484728922317,-0.0852484728922317,-0.0852484728922317,0.0852484728922317,0.0852484728922317,0.0852484728922317,0.0852484728922317,0.0852484728922317,0.0852484728922317,0.0852484728922317,-0.133011103197062,-0.0412038852627058,-0.0671910144474575
"MIR340",-0.163697647611588,-0.136857729539622,-0.0950998463797819,-0.092942825985356,-0.092942825985356,-0.0926879406837417,0.0926581521821033,0.0926879406837417,0.0926879406837417,0.0926879406837417,0.0926879406837417,0.0926879406837417,0.092942825985356,0.119238429599132,0.136857729539622,0.155088218364803
"HAS2",-0.163788971812501,-0.137279225851529,-0.0957391157861746,-0.193197278911565,-0.0931972789115646,-0.092942825985356,0.0926879406837417,0.092942825985356,0.092942825985356,0.092942825985356,0.092942825985356,0.092942825985356,0.0931972789115646,0.118948574526668,0.137279225851529,0.154899003606051
"GRHL2",-0.185567287387914,-0.241794477410332,-0.115333206725196,-0.192150117092525,-0.292150117092525,-0.191895340022462,0.191807117702215,0.191895340022462,0.191895340022462,0.191895340022462,0.191895340022462,0.191895340022462,0.192150117092525,0.221208584583417,0.241794477410332,0.180148242650356
