"","MIR340","MIR190","MIR1199","HAS2","GRHL2","ESRP1","TWIST1","MIR129","TGFB","SNAIL1","ZEB1","MIR200","MIR34","HA","CD44s","CD24"
"MIR340",0.264760976478381,0.264760976478381,0.264760976478381,0.264760976478381,0.264760976478381,0.264760976478381,0.115379578466122,0.0709060889151139,-0.00738665906317375,-0.102356984982288,-0.266995114101258,-0.193766033172333,-0.227214250165495,-0.259408385144481,-0.259408385144481,-0.259408385144481
"MIR1199",0.264760976478381,0.264760976478381,0.264760976478381,0.264760976478381,0.264760976478381,0.264760976478381,0.115379578466122,0.0709060889151139,-0.00738665906317375,-0.102356984982288,-0.266995114101258,-0.193766033172333,-0.227214250165495,-0.259408385144481,-0.259408385144481,-0.259408385144481
"HAS2",0.259408385144481,0.259408385144481,0.259408385144481,0.259408385144481,0.259408385144481,0.259408385144481,0.113827067050596,0.0680750386868034,-0.00825622428056505,-0.103870703052297,-0.264760976478381,-0.192185422002681,-0.222156294422608,-0.353555967841682,-0.253555967841682,-0.253555967841682
"ESRP1",0.259408385144481,0.259408385144481,0.259408385144481,0.259408385144481,0.259408385144481,0.259408385144481,0.113827067050596,0.0680750386868034,-0.00825622428056505,-0.103870703052297,-0.264760976478381,-0.192185422002681,-0.222156294422608,-0.253555967841682,-0.353555967841682,-0.253555967841682
"TWIST1",0.240304304298737,0.240304304298737,0.240304304298737,0.240304304298737,0.240304304298737,0.240304304298737,-0.0455376734842098,-0.103387245815421,-0.0080408727437673,-0.0286835564814888,-0.241452529768466,-0.111544780888121,-0.135407169983687,-0.239327105601669,-0.239327105601669,-0.239327105601669
"MIR129",0.239327105601669,0.239327105601669,0.239327105601669,0.239327105601669,0.239327105601669,0.239327105601669,0.0551422428337818,-0.101425435718638,-0.0071673872548972,-0.0275719879347618,-0.240304304298737,-0.11025127919425,-0.135499562961821,-0.236942604856512,-0.236942604856512,-0.236942604856512
"MIR34",0.0923763843647338,0.0923763843647338,0.0923763843647338,0.0923763843647338,0.0923763843647338,0.0923763843647338,-0.0693331164185012,-0.0168244962349481,0.0686717108408043,0.0045282197412967,-0.0936857855711484,-0.102620050780038,0.00681413036362681,-0.0930619027880414,-0.0930619027880414,-0.0930619027880414
"SNAIL1",0.0936857855711484,0.0936857855711484,0.0936857855711484,0.0936857855711484,0.0936857855711484,0.0936857855711484,-0.068770891832572,-0.0141653258960939,0.069988141850068,-0.0934172595136397,-0.0933826940375052,-0.102124778380218,0.00471597637893523,-0.0923763843647338,-0.0923763843647338,-0.0923763843647338
"MIR190",0.0930619027880414,0.0930619027880414,0.0930619027880414,0.0930619027880414,0.0930619027880414,0.0930619027880414,-0.0679692800788619,-0.0121170611271611,-0.0290997448253883,0.00787083812569782,-0.0923763843647338,-0.100918034545421,0.00427419844427619,-0.090305010557465,-0.090305010557465,-0.090305010557465
"GRHL2",-0.0749863083119494,-0.0749863083119494,-0.0749863083119494,-0.0749863083119494,-0.0749863083119494,-0.0749863083119494,-0.08827488667246,-0.0634551616753116,0.00540887294517349,0.0760568912113615,0.0752509752726905,0.0439545742437987,0.0685532318384735,0.0724385376113125,0.0724385376113125,-0.0275614623886875
"TGFB",-0.0923763843647338,-0.0923763843647338,-0.0923763843647338,-0.0923763843647338,-0.0923763843647338,-0.0923763843647338,0.0693331164185012,0.0168244962349481,-0.0686717108408043,-0.0045282197412967,0.0936857855711484,0.102620050780038,-0.00681413036362681,0.0930619027880414,0.0930619027880414,0.0930619027880414
"ZEB1",-0.266995114101258,-0.266995114101258,-0.266995114101258,-0.266995114101258,-0.266995114101258,-0.266995114101258,-0.115348416110247,-0.0693791334772828,0.00845982979488106,0.104310745972193,0.169144446891316,0.195721799942576,0.228000212512415,0.264760976478381,0.264760976478381,0.264760976478381
"MIR200",-0.194580406159843,-0.194580406159843,-0.194580406159843,-0.194580406159843,-0.194580406159843,-0.194580406159843,-0.124018579049768,-0.0617051498218406,0.00168658107610507,0.106034993289734,0.196179422150003,0.0547440223518533,0.259133293107052,0.192504456792755,0.192504456792755,0.192504456792755
"HA",-0.264760976478381,-0.264760976478381,-0.264760976478381,-0.264760976478381,-0.264760976478381,-0.264760976478381,-0.115379578466122,-0.0709060889151139,0.00738665906317375,0.102356984982288,0.266995114101258,0.193766033172333,0.227214250165495,0.259408385144481,0.259408385144481,0.259408385144481
"CD44s",-0.264760976478381,-0.264760976478381,-0.264760976478381,-0.264760976478381,-0.264760976478381,-0.264760976478381,-0.115379578466122,-0.0709060889151139,0.00738665906317375,0.102356984982288,0.266995114101258,0.193766033172333,0.227214250165495,0.259408385144481,0.259408385144481,0.259408385144481
"CD24",-0.264760976478381,-0.264760976478381,-0.264760976478381,-0.264760976478381,-0.264760976478381,-0.264760976478381,-0.115379578466122,-0.0709060889151139,0.00738665906317375,0.102356984982288,0.266995114101258,0.193766033172333,0.227214250165495,0.259408385144481,0.259408385144481,0.259408385144481
