"","CD24","MIR340","HAS2","ESRP1","TGFB","MIR129","MIR34","MIR200","TWIST1","ZEB1","SNAIL1","MIR190","MIR1199","GRHL2","HA","CD44s"
"TWIST1",0.251776893898271,0.254508038974692,0.254508038974692,0.254508038974692,0.161195111452134,0.0413705635414755,0.11429618966164,0.11429618966164,0.0169678430733125,-0.25341200557177,-0.0523563252673737,-0.254508038974692,-0.254508038974692,-0.254508038974692,-0.251776893898271,-0.251776893898271
"MIR340",0.208284118643988,0.228420057471515,0.228420057471515,0.228420057471515,0.175516658234711,0.172249870891934,0.161395668153028,0.161395668153028,0.0997392915974705,-0.216713176327637,-0.166899558848487,-0.228420057471515,-0.228420057471515,-0.228420057471515,-0.208284118643988,-0.208284118643988
"HA",0.208284118643988,0.228420057471515,0.228420057471515,0.228420057471515,0.175516658234711,0.172249870891934,0.161395668153028,0.161395668153028,0.0997392915974705,-0.216713176327637,-0.166899558848487,-0.228420057471515,-0.228420057471515,-0.228420057471515,-0.208284118643988,-0.208284118643988
"CD44s",0.208284118643988,0.228420057471515,0.228420057471515,0.228420057471515,0.175516658234711,0.172249870891934,0.161395668153028,0.161395668153028,0.0997392915974705,-0.216713176327637,-0.166899558848487,-0.228420057471515,-0.228420057471515,-0.228420057471515,-0.208284118643988,-0.208284118643988
"CD24",0.208284118643988,0.228420057471515,0.228420057471515,0.228420057471515,0.175516658234711,0.172249870891934,0.161395668153028,0.161395668153028,0.0997392915974705,-0.216713176327637,-0.166899558848487,-0.228420057471515,-0.228420057471515,-0.228420057471515,-0.208284118643988,-0.208284118643988
"MIR200",0.176114713406116,0.184772941254217,0.184772941254217,0.184772941254217,0.158926002426708,0.139977071493674,0.0512409452710973,0.0512409452710973,0.0707333532738359,-0.179694747615138,-0.125765751380919,-0.184772941254217,-0.184772941254217,-0.184772941254217,-0.176114713406116,-0.176114713406116
"SNAIL1",0.107596537131497,0.111348192273472,0.111348192273472,0.111348192273472,0.133682864738905,-0.0503655094066845,0.098169772755582,0.098169772755582,-0.00657060486630195,-0.108852738646476,-0.11970042447189,-0.111348192273472,-0.111348192273472,-0.111348192273472,-0.107596537131497,-0.107596537131497
"MIR190",0.103781730191267,0.112052406882997,0.112052406882997,0.112052406882997,0.0306241618059432,-0.0514915496351469,0.0994527863470714,0.0994527863470714,-0.00899421192131434,-0.107596537131497,-0.0193828555356378,-0.112052406882997,-0.112052406882997,-0.112052406882997,-0.103781730191267,-0.103781730191267
"TGFB",-0.112052406882997,-0.107596537131497,-0.107596537131497,-0.107596537131497,-0.137404626481145,0.0515355443557804,-0.0961796782035784,-0.0961796782035784,0.0071024389340728,0.111348192273472,0.0201720848763992,0.107596537131497,0.107596537131497,0.107596537131497,0.112052406882997,0.112052406882997
"MIR34",-0.112052406882997,-0.107596537131497,-0.107596537131497,-0.107596537131497,-0.137404626481145,0.0515355443557804,-0.0961796782035784,-0.0961796782035784,0.0071024389340728,0.111348192273472,0.0201720848763992,0.107596537131497,0.107596537131497,0.107596537131497,0.112052406882997,0.112052406882997
"ZEB1",-0.228420057471515,-0.216713176327637,-0.216713176327637,-0.216713176327637,-0.190573568803817,-0.172966605077038,-0.153846773983772,-0.153846773983772,-0.100206726935582,0.126889401243599,0.167583375194954,0.216713176327637,0.216713176327637,0.216713176327637,0.228420057471515,0.228420057471515
"MIR1199",-0.208284118643988,-0.228420057471515,-0.228420057471515,-0.228420057471515,-0.175516658234711,-0.172249870891934,-0.161395668153028,-0.161395668153028,-0.0997392915974705,0.216713176327637,0.166899558848487,0.228420057471515,0.228420057471515,0.228420057471515,0.208284118643988,0.208284118643988
"HAS2",-0.228385899814471,-0.208284118643988,-0.208284118643988,-0.208284118643988,-0.191072213790267,-0.171793249887368,-0.149488397341648,-0.149488397341648,-0.0994653189947308,0.228420057471515,0.165953485054731,0.208284118643988,0.208284118643988,0.208284118643988,0.128385899814471,0.228385899814471
"ESRP1",-0.228385899814471,-0.208284118643988,-0.208284118643988,-0.208284118643988,-0.191072213790267,-0.171793249887368,-0.149488397341648,-0.149488397341648,-0.0994653189947308,0.228420057471515,0.165953485054731,0.208284118643988,0.208284118643988,0.208284118643988,0.228385899814471,0.128385899814471
"MIR129",-0.252671081677704,-0.251776893898271,-0.251776893898271,-0.251776893898271,-0.161279642305895,-0.042024500240403,-0.113002687967769,-0.113002687967769,-0.11571261294779,0.254508038974692,0.0513270951315153,0.251776893898271,0.251776893898271,0.251776893898271,0.252671081677704,0.252671081677704
"GRHL2",-0.496977476469623,-0.407041170737139,-0.407041170737139,-0.407041170737139,-0.33685723178504,-0.193980200004847,-0.299707764047358,-0.299707764047358,-0.119722824283666,0.403600500247505,0.191670375473363,0.407041170737139,0.407041170737139,0.407041170737139,0.396977476469623,0.396977476469623
