"","MIR200","MIR190","MIR1199","HAS2","GRHL2","TWIST1","MIR129","MIR34","ZEB1","TGFB","HA","CD44s","CD24","MIR340","ESRP1","SNAIL1"
"MIR190",0.219474723319391,0.185056205082779,0.185056205082779,0.185056205082779,0.185056205082779,0.0806308799264998,0.0806308799264998,-0.0368287406464494,-0.184199307053645,-0.0196230987566387,-0.183552445684283,-0.183552445684283,-0.183552445684283,-0.185056205082779,-0.185056205082779,-0.155660859114151
"TGFB",0.218820101690692,0.184199307053645,0.184199307053645,0.184199307053645,0.184199307053645,0.0809388429709345,0.0809388429709345,-0.0372215136236685,-0.183537250263885,-0.118817029529517,-0.185056205082779,-0.185056205082779,-0.185056205082779,-0.184199307053645,-0.184199307053645,-0.15654293896559
"MIR34",0.218820101690692,0.184199307053645,0.184199307053645,0.184199307053645,0.184199307053645,0.0809388429709345,0.0809388429709345,-0.0372215136236685,-0.183537250263885,-0.118817029529517,-0.185056205082779,-0.185056205082779,-0.185056205082779,-0.184199307053645,-0.184199307053645,-0.15654293896559
"MIR340",0.135735905944363,0.110037762697288,0.110037762697288,0.110037762697288,0.110037762697288,0.0907413336596254,0.0907413336596254,0.0788946974681697,-0.110544167225141,-0.0166187138159975,-0.109103183258036,-0.109103183258036,-0.109103183258036,-0.110037762697288,-0.110037762697288,-0.115180688733864
"MIR1199",0.135735905944363,0.110037762697288,0.110037762697288,0.110037762697288,0.110037762697288,0.0907413336596254,0.0907413336596254,0.0788946974681697,-0.110544167225141,-0.0166187138159975,-0.109103183258036,-0.109103183258036,-0.109103183258036,-0.110037762697288,-0.110037762697288,-0.115180688733864
"HA",0.135735905944363,0.110037762697288,0.110037762697288,0.110037762697288,0.110037762697288,0.0907413336596254,0.0907413336596254,0.0788946974681697,-0.110544167225141,-0.0166187138159975,-0.109103183258036,-0.109103183258036,-0.109103183258036,-0.110037762697288,-0.110037762697288,-0.115180688733864
"CD44s",0.135735905944363,0.110037762697288,0.110037762697288,0.110037762697288,0.110037762697288,0.0907413336596254,0.0907413336596254,0.0788946974681697,-0.110544167225141,-0.0166187138159975,-0.109103183258036,-0.109103183258036,-0.109103183258036,-0.110037762697288,-0.110037762697288,-0.115180688733864
"ESRP1",0.135103661476502,0.109103183258036,0.109103183258036,0.109103183258036,0.109103183258036,0.0910153062623651,0.0910153062623651,0.0783678270782856,-0.110037762697288,-0.0159423853135821,-0.110884353741497,-0.0108843537414966,-0.110884353741497,-0.109103183258036,-0.109103183258036,-0.116032155148245
"MIR200",-0.0155008503697603,0.0503151975084264,0.0503151975084264,0.0503151975084264,0.0503151975084264,-0.0601843525036771,-0.0601843525036771,0.157335238436186,-0.0509653468670629,-0.00848734672651881,-0.0503658304198188,-0.0503658304198188,-0.0503658304198188,-0.0503151975084264,-0.0503151975084264,0.0708313232779196
"MIR129",0.102509731253769,0.0229554954056908,0.0229554954056908,0.0229554954056908,0.0229554954056908,-0.126384964136463,0.225715214993206,-0.0751713631931015,-0.0224293114918848,-0.0600737489918079,-0.0217632450331126,-0.0217632450331126,-0.0217632450331126,-0.0229554954056908,-0.0229554954056908,-0.173103322735251
"GRHL2",-0.0184494573085757,-0.00554294078241122,-0.00554294078241122,-0.00554294078241122,-0.00554294078241122,-0.0750173633824862,-0.0750173633824862,0.010400206605494,0.00567527426278175,0.00792947424668256,0.00439644396712459,0.00439644396712459,-0.0956035560328754,0.00554294078241122,0.00554294078241122,0.0821600822211294
"ZEB1",-0.135717627750249,-0.110544167225141,-0.110544167225141,-0.110544167225141,-0.110544167225141,-0.0902738983215138,-0.0902738983215138,-0.0795344342621744,0.0104117438778859,0.0166512341412008,0.110037762697288,0.110037762697288,0.110037762697288,0.110544167225141,0.110544167225141,0.114985312634874
"TWIST1",-0.102078564022478,-0.0224293114918848,-0.0224293114918848,-0.0224293114918848,-0.0224293114918848,0.0262803616260029,-0.225846002332992,0.0753869468087467,0.0220291723130399,0.059594740820492,0.0229554954056908,0.0229554954056908,0.0229554954056908,0.0224293114918848,0.0224293114918848,0.173638522405897
"HAS2",-0.135103661476502,-0.109103183258036,-0.109103183258036,-0.109103183258036,-0.109103183258036,-0.0910153062623651,-0.0910153062623651,-0.0783678270782856,0.110037762697288,0.0159423853135821,0.0108843537414966,0.110884353741497,0.110884353741497,0.109103183258036,0.109103183258036,0.116032155148245
"CD24",-0.135735905944363,-0.110037762697288,-0.110037762697288,-0.110037762697288,-0.110037762697288,-0.0907413336596254,-0.0907413336596254,-0.0788946974681697,0.110544167225141,0.0166187138159975,0.109103183258036,0.109103183258036,0.109103183258036,0.110037762697288,0.110037762697288,0.115180688733864
"SNAIL1",-0.218757067021624,-0.183537250263885,-0.183537250263885,-0.183537250263885,-0.183537250263885,-0.0814098960023887,-0.0814098960023887,0.0379689246997604,0.183678692979585,0.118735768356106,0.184199307053645,0.184199307053645,0.184199307053645,0.183537250263885,0.183537250263885,0.0568067490223491
