"","ZEB1","MIR34","MIR200","CD44s","MIR340","MIR190","MIR1199","GRHL2","HAS2","ESRP1","HA","CD24","TGFB","TWIST1","MIR129","SNAIL1"
"MIR129",-0.170770207676777,0.0779228284731533,0.0779228284731533,0.171793598233996,0.171346504344279,0.171346504344279,0.171346504344279,0.171346504344279,-0.171346504344279,-0.171346504344279,-0.171793598233996,-0.171793598233996,-0.109397529310019,-0.202331807654926,0.186679557094194,-0.0125137999113078
"ZEB1",-0.0835393395965801,-0.0307844794313572,-0.0307844794313572,-0.0164098952376452,-0.0160226447163464,-0.0160226447163464,-0.0160226447163464,-0.0160226447163464,0.0160226447163464,0.0160226447163464,0.0164098952376452,0.0164098952376452,0.0267766669885151,0.0796554657736695,0.0796554657736695,0.0948760668150184
"SNAIL1",-0.0212600564204701,0.056262247507999,0.056262247507999,0.0209374559055163,0.0211287167558914,0.0211287167558914,0.0211287167558914,0.0211287167558914,-0.0211287167558914,-0.0211287167558914,-0.0209374559055163,-0.0209374559055163,-0.0776546108758955,0.0255973944397352,0.0255973944397352,-0.108303642263127
"TGFB",-0.0211287167558914,0.056055133595347,0.056055133595347,0.0211945253142566,0.0209374559055163,0.0209374559055163,0.0209374559055163,0.0209374559055163,-0.0209374559055163,-0.0209374559055163,-0.0211945253142566,-0.0211945253142566,-0.0777358720493069,0.0254606371080227,0.0254606371080227,-0.00835960197213679
"HAS2",-0.0164098952376452,0.0321683255524605,0.0321683255524605,0.0199752628324057,0.0181940923489451,0.0181940923489451,0.0181940923489451,0.0181940923489451,-0.0181940923489451,-0.0181940923489451,0.0800247371675943,-0.0199752628324057,-0.0307856218606726,-0.0803968737145208,-0.0803968737145208,-0.0962485361600402
"ESRP1",-0.0164098952376452,0.0321683255524605,0.0321683255524605,-0.0800247371675943,0.0181940923489451,0.0181940923489451,0.0181940923489451,0.0181940923489451,-0.0181940923489451,-0.0181940923489451,-0.0199752628324057,-0.0199752628324057,-0.0307856218606726,-0.0803968737145208,-0.0803968737145208,-0.0962485361600402
"MIR340",-0.0160226447163464,0.0306930884607851,0.0306930884607851,0.0181940923489451,0.0164098952376452,0.0164098952376452,0.0164098952376452,0.0164098952376452,-0.0164098952376452,-0.0164098952376452,-0.0181940923489451,-0.0181940923489451,-0.0283701629234745,-0.080122901111781,-0.080122901111781,-0.0953970697456599
"HA",-0.0160226447163464,0.0306930884607851,0.0306930884607851,0.0181940923489451,0.0164098952376452,0.0164098952376452,0.0164098952376452,0.0164098952376452,-0.0164098952376452,-0.0164098952376452,-0.0181940923489451,-0.0181940923489451,-0.0283701629234745,-0.080122901111781,-0.080122901111781,-0.0953970697456599
"CD24",-0.0160226447163464,0.0306930884607851,0.0306930884607851,0.0181940923489451,0.0164098952376452,0.0164098952376452,0.0164098952376452,0.0164098952376452,-0.0164098952376452,-0.0164098952376452,-0.0181940923489451,-0.0181940923489451,-0.0283701629234745,-0.080122901111781,-0.080122901111781,-0.0953970697456599
"MIR1199",0.0160226447163464,-0.0306930884607851,-0.0306930884607851,-0.0181940923489451,-0.0164098952376452,-0.0164098952376452,-0.0164098952376452,-0.0164098952376452,0.0164098952376452,0.0164098952376452,0.0181940923489451,0.0181940923489451,0.0283701629234745,0.080122901111781,0.080122901111781,0.0953970697456599
"CD44s",0.0160226447163464,-0.0306930884607851,-0.0306930884607851,-0.0181940923489451,-0.0164098952376452,-0.0164098952376452,-0.0164098952376452,-0.0164098952376452,0.0164098952376452,0.0164098952376452,0.0181940923489451,0.0181940923489451,0.0283701629234745,0.080122901111781,0.080122901111781,0.0953970697456599
"MIR190",0.0209374559055163,-0.0560289487301991,-0.0560289487301991,-0.0221970315799208,-0.0211945253142566,-0.0211945253142566,-0.0211945253142566,-0.0211945253142566,0.0211945253142566,0.0211945253142566,0.0221970315799208,0.0221970315799208,-0.0213632270497922,-0.0254166423873892,-0.0254166423873892,0.00859172824883132
"MIR34",0.0211287167558914,-0.056055133595347,-0.056055133595347,-0.0211945253142566,-0.0209374559055163,-0.0209374559055163,-0.0209374559055163,-0.0209374559055163,0.0209374559055163,0.0209374559055163,0.0211945253142566,0.0211945253142566,0.0777358720493069,-0.0254606371080227,-0.0254606371080227,0.00835960197213679
"GRHL2",0.0264450524051868,-0.0291417068100337,-0.0291417068100337,-0.0257297773004579,-0.0266214970456809,-0.0266214970456809,-0.0266214970456809,-0.0266214970456809,0.0266214970456809,0.0266214970456809,0.0257297773004579,-0.0742702226995421,0.0267189667288986,-0.0693249404884421,-0.0693249404884421,-0.0719559380816782
"MIR200",0.0366498535691106,-0.13839315737487,-0.13839315737487,-0.0384520684809523,-0.0369837140505725,-0.0369837140505725,-0.0369837140505725,-0.0369837140505725,0.0369837140505725,0.0369837140505725,0.0384520684809523,0.0384520684809523,0.041274117647184,-0.0236483059052525,-0.0236483059052525,0.00144656052306036
"TWIST1",0.170718015609971,-0.0774916612418629,-0.0774916612418629,-0.171346504344279,-0.170770207676777,-0.170770207676777,-0.170770207676777,-0.170770207676777,0.170770207676777,0.170770207676777,0.171346504344279,0.171346504344279,0.108805813333688,0.102436410165386,-0.186601084690323,0.0122530616102237
