"","MIR340","MIR1199","HAS2","ESRP1","MIR34","MIR129","TWIST1","ZEB1","SNAIL1","MIR190","GRHL2","HA","CD44s","CD24","TGFB","MIR200"
"TWIST1",0.213121455315737,0.213121455315737,0.213121455315737,0.213121455315737,0.103153493078429,-0.00598520156606408,-0.0020046616449642,-0.212843097626106,0.00749023574348723,-0.213121455315737,-0.213121455315737,-0.212745609663018,-0.212745609663018,-0.212745609663018,-0.146302556346617,-0.112412650877276
"MIR340",0.121219727489665,0.121219727489665,0.121219727489665,0.121219727489665,0.11467088211913,0.0553139157377675,0.0414345935557861,-0.115232238660353,-0.0315599806027501,-0.121219727489665,-0.121219727489665,-0.112468665467575,-0.112468665467575,-0.112468665467575,-0.13371331473986,-0.141666261428804
"MIR1199",0.121219727489665,0.121219727489665,0.121219727489665,0.121219727489665,0.11467088211913,0.0553139157377675,0.0414345935557861,-0.115232238660353,-0.0315599806027501,-0.121219727489665,-0.121219727489665,-0.112468665467575,-0.112468665467575,-0.112468665467575,-0.13371331473986,-0.141666261428804
"HA",0.121219727489665,0.121219727489665,0.121219727489665,0.121219727489665,0.11467088211913,0.0553139157377675,0.0414345935557861,-0.115232238660353,-0.0315599806027501,-0.121219727489665,-0.121219727489665,-0.112468665467575,-0.112468665467575,-0.112468665467575,-0.13371331473986,-0.141666261428804
"CD44s",0.121219727489665,0.121219727489665,0.121219727489665,0.121219727489665,0.11467088211913,0.0553139157377675,0.0414345935557861,-0.115232238660353,-0.0315599806027501,-0.121219727489665,-0.121219727489665,-0.112468665467575,-0.112468665467575,-0.112468665467575,-0.13371331473986,-0.141666261428804
"SNAIL1",0.106398651211319,0.106398651211319,0.106398651211319,0.106398651211319,-0.01224596851372,-0.0916701086694197,-0.024681137813934,-0.10479226608301,-0.0621884016978378,-0.106398651211319,-0.106398651211319,-0.10388283541023,-0.10388283541023,-0.10388283541023,-0.150064461155304,-0.123287455041103
"GRHL2",0.0230385153604549,0.0230385153604549,0.0230385153604549,0.0230385153604549,0.0240485605219462,0.0553828082268278,0.0475953885034529,-0.0163336190216812,-0.0393849499056436,-0.0230385153604549,-0.0230385153604549,-0.0134843752330663,-0.0134843752330663,0.0865156247669337,-0.0191673154797382,-0.0216213383917935
"ZEB1",-0.115232238660353,-0.115232238660353,-0.115232238660353,-0.115232238660353,-0.108145566820281,-0.0533506873176989,-0.0354825835838323,0.0195818362971057,0.036444383077514,0.115232238660353,0.115232238660353,0.121219727489665,0.121219727489665,0.121219727489665,0.137973477341486,0.140843742693655
"MIR190",-0.107396117329682,-0.107396117329682,-0.107396117329682,-0.107396117329682,0.011187373717847,0.0918123544779047,0.0239512840500857,0.10388283541023,-0.0382831102527407,0.107396117329682,0.107396117329682,0.101631706302113,0.101631706302113,0.101631706302113,0.248976093154775,0.123443484297885
"TGFB",-0.10388283541023,-0.10388283541023,-0.10388283541023,-0.10388283541023,0.0147223305128195,0.0923842858461406,0.0264589831261965,0.106398651211319,-0.0358689969751177,0.10388283541023,0.10388283541023,0.107396117329682,0.107396117329682,0.107396117329682,0.151868459205036,0.122684123208595
"MIR34",-0.10388283541023,-0.10388283541023,-0.10388283541023,-0.10388283541023,0.0147223305128195,0.0923842858461406,0.0264589831261965,0.106398651211319,-0.0358689969751177,0.10388283541023,0.10388283541023,0.107396117329682,0.107396117329682,0.107396117329682,0.151868459205036,0.122684123208595
"CD24",-0.121219727489665,-0.121219727489665,-0.121219727489665,-0.121219727489665,-0.11467088211913,-0.0553139157377675,-0.0414345935557861,0.115232238660353,0.0315599806027501,0.121219727489665,0.121219727489665,0.112468665467575,0.112468665467575,0.112468665467575,0.13371331473986,0.141666261428804
"HAS2",-0.112468665467575,-0.112468665467575,-0.112468665467575,-0.112468665467575,-0.105292589179193,-0.052117568705804,-0.0329414428708546,0.121219727489665,0.0389393561940462,0.112468665467575,0.112468665467575,0.0244279529993816,0.124427952999382,0.124427952999382,0.139413797831648,0.140191024337128
"ESRP1",-0.112468665467575,-0.112468665467575,-0.112468665467575,-0.112468665467575,-0.105292589179193,-0.052117568705804,-0.0329414428708546,0.121219727489665,0.0389393561940462,0.112468665467575,0.112468665467575,0.124427952999382,0.0244279529993816,0.124427952999382,0.139413797831648,0.140191024337128
"MIR200",-0.146042593846575,-0.146042593846575,-0.146042593846575,-0.146042593846575,-0.0429647653379674,0.080954962361301,0.0374121118560662,0.141069829833221,-0.0530592397874642,0.146042593846575,0.146042593846575,0.138498290049107,0.138498290049107,0.138498290049107,0.339435694907618,0.235465811664407
"MIR129",-0.212745609663018,-0.212745609663018,-0.212745609663018,-0.212745609663018,-0.102475944572116,0.00653450839316322,-0.0966878069742827,0.213121455315737,-0.0068726976619722,0.212745609663018,0.212745609663018,0.212596578366446,0.212596578366446,0.212596578366446,0.145992609882825,0.112628234492921
