"","TWIST1","MIR129","MIR340","MIR190","MIR1199","GRHL2","ESRP1","HA","TGFB","ZEB1","SNAIL1","MIR34","MIR200","CD44s","CD24","HAS2"
"TWIST1",0.175614832433313,0.305442027763657,0.242859807263019,0.242859807263019,0.242859807263019,0.242859807263019,0.242859807263019,0.242433848856604,-0.0129160113402204,-0.242981588752232,-0.059247782291466,-0.104398040744812,-0.104398040744812,-0.242433848856604,-0.242433848856604,-0.242859807263019
"MIR129",0.274778012349631,0.304631146256987,0.242433848856604,0.242433848856604,0.242433848856604,0.242433848856604,0.242433848856604,0.241986754966887,-0.0131696039015053,-0.242859807263019,-0.0594810744555939,-0.104521231382324,-0.104521231382324,-0.241986754966887,-0.241986754966887,-0.242433848856604
"TGFB",0.140104402057136,0.140104402057136,0.140339649902482,0.140339649902482,0.140339649902482,0.140339649902482,0.140339649902482,0.140082580493742,-0.0798507923796047,-0.140442636514222,-0.041629225170689,-0.000691528741347372,-0.000691528741347372,-0.140082580493742,-0.140082580493742,-0.140339649902482
"MIR340",0.110548928696874,0.110548928696874,0.105951515098571,0.105951515098571,0.105951515098571,0.105951515098571,0.105951515098571,0.105696629796957,-0.00363218637493265,-0.10598130360021,-0.0772434069871801,-0.0953036909635464,-0.0953036909635464,-0.105696629796957,-0.105696629796957,-0.105951515098571
"HA",0.110548928696874,0.110548928696874,0.105951515098571,0.105951515098571,0.105951515098571,0.105951515098571,0.105951515098571,0.105696629796957,-0.00363218637493265,-0.10598130360021,-0.0772434069871801,-0.0953036909635464,-0.0953036909635464,-0.105696629796957,-0.105696629796957,-0.105951515098571
"CD44s",0.110548928696874,0.110548928696874,0.105951515098571,0.105951515098571,0.105951515098571,0.105951515098571,0.105951515098571,0.105696629796957,-0.00363218637493265,-0.10598130360021,-0.0772434069871801,-0.0953036909635464,-0.0953036909635464,-0.105696629796957,-0.105696629796957,-0.105951515098571
"CD24",0.110548928696874,0.110548928696874,0.105951515098571,0.105951515098571,0.105951515098571,0.105951515098571,0.105951515098571,0.105696629796957,-0.00363218637493265,-0.10598130360021,-0.0772434069871801,-0.0953036909635464,-0.0953036909635464,-0.105696629796957,-0.105696629796957,-0.105951515098571
"MIR200",-0.0814902900530775,-0.0814902900530775,0.0669386814018164,0.0669386814018164,0.0669386814018164,0.0669386814018164,0.0669386814018164,0.066888048490424,-0.00684456697373876,-0.066850823380379,0.0313438185263567,-0.165161611184724,-0.165161611184724,-0.066888048490424,-0.066888048490424,-0.0669386814018164
"GRHL2",0.0855997435008185,0.0855997435008185,0.00311248720599439,0.00311248720599439,0.00311248720599439,0.00311248720599439,0.00311248720599439,0.00298509867096255,-0.00353122879296785,-0.00306837604587088,-0.0636749903782766,0.00560340833747479,0.00560340833747479,-0.00298509867096255,-0.102985098670963,-0.00311248720599439
"ZEB1",-0.110580091052748,-0.110580091052748,-0.10598130360021,-0.10598130360021,-0.10598130360021,-0.10598130360021,-0.10598130360021,-0.105951515098571,0.00379478800094891,0.00603223565684604,0.0774062204030055,0.0953950819341185,0.0953950819341185,0.105951515098571,0.105951515098571,0.10598130360021
"HAS2",-0.110092307692308,-0.110092307692308,-0.105696629796957,-0.105696629796957,-0.105696629796957,-0.105696629796957,-0.105696629796957,-0.205442176870748,0.00392204144739642,0.105951515098571,0.0774326217459312,0.0954090650415232,0.0954090650415232,0.105442176870748,0.105442176870748,0.105696629796957
"ESRP1",-0.110092307692308,-0.110092307692308,-0.105696629796957,-0.105696629796957,-0.105696629796957,-0.105696629796957,-0.105696629796957,-0.105442176870748,0.00392204144739642,0.105951515098571,0.0774326217459312,0.0954090650415232,0.0954090650415232,0.0054421768707483,0.105442176870748,0.105696629796957
"MIR1199",-0.110548928696874,-0.110548928696874,-0.105951515098571,-0.105951515098571,-0.105951515098571,-0.105951515098571,-0.105951515098571,-0.105696629796957,0.00363218637493265,0.10598130360021,0.0772434069871801,0.0953036909635464,0.0953036909635464,0.105696629796957,0.105696629796957,0.105951515098571
"MIR190",-0.139620460130168,-0.139620460130168,-0.140082580493742,-0.140082580493742,-0.140082580493742,-0.140082580493742,-0.140082580493742,-0.139831953927326,-0.0201017917835058,0.140339649902482,0.0417220756813668,0.000717713606495316,0.000717713606495316,0.139831953927326,0.139831953927326,0.140082580493742
"MIR34",-0.140104402057136,-0.140104402057136,-0.140339649902482,-0.140339649902482,-0.140339649902482,-0.140339649902482,-0.140339649902482,-0.140082580493742,0.0798507923796047,0.140442636514222,0.041629225170689,0.000691528741347372,0.000691528741347372,0.140082580493742,0.140082580493742,0.140339649902482
"SNAIL1",-0.140210768870691,-0.140210768870691,-0.140442636514222,-0.140442636514222,-0.140442636514222,-0.140442636514222,-0.140442636514222,-0.140339649902482,0.0799645580223805,0.140503254820951,-0.0582508611671478,0.000790583221311352,0.000790583221311352,0.140339649902482,0.140339649902482,0.140442636514222
