"","MIR1199","HAS2","GRHL2","HA","CD44s","MIR200","TGFB","TWIST1","MIR129","MIR34","ZEB1","SNAIL1","CD24","MIR340","MIR190","ESRP1"
"MIR340",0.211947972973361,0.211947972973361,0.211947972973361,0.213562246550251,0.213562246550251,0.208892248913957,0.208668572610719,0.193023256410525,0.193023256410525,0.121541866555977,-0.214062956589685,-0.156183089867252,-0.213562246550251,-0.211947972973361,-0.211947972973361,-0.211947972973361
"MIR1199",0.211947972973361,0.211947972973361,0.211947972973361,0.213562246550251,0.213562246550251,0.208892248913957,0.208668572610719,0.193023256410525,0.193023256410525,0.121541866555977,-0.214062956589685,-0.156183089867252,-0.213562246550251,-0.211947972973361,-0.211947972973361,-0.211947972973361
"HA",0.211947972973361,0.211947972973361,0.211947972973361,0.213562246550251,0.213562246550251,0.208892248913957,0.208668572610719,0.193023256410525,0.193023256410525,0.121541866555977,-0.214062956589685,-0.156183089867252,-0.213562246550251,-0.211947972973361,-0.211947972973361,-0.211947972973361
"CD44s",0.211947972973361,0.211947972973361,0.211947972973361,0.213562246550251,0.213562246550251,0.208892248913957,0.208668572610719,0.193023256410525,0.193023256410525,0.121541866555977,-0.214062956589685,-0.156183089867252,-0.213562246550251,-0.211947972973361,-0.211947972973361,-0.211947972973361
"HAS2",0.213562246550251,0.213562246550251,0.213562246550251,0.31178107606679,0.21178107606679,0.20815463036812,0.207799007393328,0.189278964173082,0.189278964173082,0.124281592583374,-0.211947972973361,-0.15495319393537,-0.21178107606679,-0.213562246550251,-0.213562246550251,-0.213562246550251
"MIR200",0.175738259404085,0.175738259404085,0.175738259404085,0.175586360669908,0.175586360669908,0.269740080570154,0.371444424751586,0.206370398834642,0.206370398834642,0.0209278020855116,-0.176528981597021,-0.157457880329911,-0.175586360669908,-0.175738259404085,-0.175738259404085,-0.175738259404085
"TGFB",0.0775505842206976,0.0775505842206976,0.0775505842206976,0.0786645516585725,0.0786645516585725,0.116263551274086,0.137501795158942,0.153920254920918,0.153920254920918,-0.0369700232105349,-0.0773004738778993,-0.0567608640072101,-0.0786645516585725,-0.0775505842206976,-0.0775505842206976,-0.0775505842206976
"MIR34",0.0775505842206976,0.0775505842206976,0.0775505842206976,0.0786645516585725,0.0786645516585725,0.116263551274086,0.137501795158942,0.153920254920918,0.153920254920918,-0.0369700232105349,-0.0773004738778993,-0.0567608640072101,-0.0786645516585725,-0.0775505842206976,-0.0775505842206976,-0.0775505842206976
"GRHL2",-0.0398243565564071,-0.0398243565564071,-0.0398243565564071,-0.0414804075118211,-0.0414804075118211,-0.0484636127711948,-0.044561164995497,-0.13108335389436,-0.13108335389436,-0.00436202701008204,0.0418093587619651,0.103258814626744,-0.0585195924881789,0.0398243565564071,0.0398243565564071,0.0398243565564071
"MIR129",-0.0490396364031149,-0.0490396364031149,-0.0490396364031149,-0.049635761589404,-0.049635761589404,-0.0229816654637777,-0.0330057643820571,0.230848395442,0.256952155629116,-0.0347483699858169,0.0496159330706167,-0.0142592794974595,0.049635761589404,0.0490396364031149,0.0490396364031149,0.0490396364031149
"TWIST1",-0.0496159330706167,-0.0496159330706167,-0.0496159330706167,-0.0490396364031149,-0.0490396364031149,-0.0238439999263585,-0.0326958179182645,0.129854671592627,0.255932014378789,-0.0345943816889274,0.0503118272946947,-0.0144102332507187,0.0490396364031149,0.0496159330706167,0.0496159330706167,0.0496159330706167
"MIR190",-0.0786645516585725,-0.0786645516585725,-0.0786645516585725,-0.075907659427996,-0.075907659427996,-0.117022912363376,-0.23565257752025,-0.153788270759018,-0.153788270759018,0.0363677713121322,0.0775505842206976,0.0557859336450931,0.075907659427996,0.0786645516585725,0.0786645516585725,0.0786645516585725
"SNAIL1",-0.0773004738778993,-0.0773004738778993,-0.0773004738778993,-0.0775505842206976,-0.0775505842206976,-0.116488675092186,-0.136607922251417,-0.154604041579481,-0.154604041579481,0.0375013154212508,0.0778157294850927,-0.0434230036081069,0.0775505842206976,0.0773004738778993,0.0773004738778993,0.0773004738778993
"ZEB1",-0.214062956589685,-0.214062956589685,-0.214062956589685,-0.211947972973361,-0.211947972973361,-0.210665233743056,-0.208505970984703,-0.19511113425409,-0.19511113425409,-0.122364385291126,0.114460226631449,0.155727212302941,0.211947972973361,0.214062956589685,0.214062956589685,0.214062956589685
"ESRP1",-0.213562246550251,-0.213562246550251,-0.213562246550251,-0.21178107606679,-0.31178107606679,-0.20815463036812,-0.207799007393328,-0.189278964173082,-0.189278964173082,-0.124281592583374,0.211947972973361,0.15495319393537,0.21178107606679,0.213562246550251,0.213562246550251,0.213562246550251
"CD24",-0.211947972973361,-0.211947972973361,-0.211947972973361,-0.213562246550251,-0.213562246550251,-0.208892248913957,-0.208668572610719,-0.193023256410525,-0.193023256410525,-0.121541866555977,0.214062956589685,0.156183089867252,0.213562246550251,0.211947972973361,0.211947972973361,0.211947972973361
