"","MIR340","MIR190","HAS2","CD44s","MIR34","MIR200","MIR129","TGFB","ZEB1","SNAIL1","TWIST1","HA","CD24","MIR1199","GRHL2","ESRP1"
"MIR129",0.285742890582077,0.285742890582077,0.285742890582077,0.28201710816777,0.181858870561625,0.181858870561625,0.346951328514752,-0.0219624607691433,-0.286920540293929,-0.1047689626106,-0.312540946728155,-0.28201710816777,-0.28201710816777,-0.285742890582077,-0.285742890582077,-0.285742890582077
"GRHL2",0.249019395489232,0.249019395489232,0.249019395489232,0.247872898673946,0.261079849359262,0.261079849359262,0.153609956454438,-0.0156730646421244,-0.249901618691703,-0.124956747296829,-0.153609956454438,-0.247872898673946,-0.147872898673946,-0.249019395489232,-0.249019395489232,-0.249019395489232
"TGFB",0.178385550818731,0.178385550818731,0.178385550818731,0.177528652789596,0.191193904168871,0.191193904168871,0.193679513579408,-0.0956617416429188,-0.179636102532722,-0.0927643782687874,-0.193679513579408,-0.177528652789596,-0.177528652789596,-0.178385550818731,-0.178385550818731,-0.178385550818731
"MIR34",0.178385550818731,0.178385550818731,0.178385550818731,0.177528652789596,0.191193904168871,0.191193904168871,0.193679513579408,-0.0956617416429188,-0.179636102532722,-0.0927643782687874,-0.193679513579408,-0.177528652789596,-0.177528652789596,-0.178385550818731,-0.178385550818731,-0.178385550818731
"MIR190",0.177528652789596,0.177528652789596,0.177528652789596,0.174270507426188,0.185668897622655,0.185668897622655,0.186860331881212,0.000687238916588061,-0.178385550818731,-0.100331694889029,-0.186860331881212,-0.174270507426188,-0.174270507426188,-0.177528652789596,-0.177528652789596,-0.177528652789596
"MIR340",0.165763452092298,0.165763452092298,0.165763452092298,0.164998796187455,0.155116227010601,0.155116227010601,0.134551696597788,-0.00680694891824621,-0.166686895643087,-0.100003376041099,-0.134551696597788,-0.164998796187455,-0.164998796187455,-0.165763452092298,-0.165763452092298,-0.165763452092298
"MIR1199",0.165763452092298,0.165763452092298,0.165763452092298,0.164998796187455,0.155116227010601,0.155116227010601,0.134551696597788,-0.00680694891824621,-0.166686895643087,-0.100003376041099,-0.134551696597788,-0.164998796187455,-0.164998796187455,-0.165763452092298,-0.165763452092298,-0.165763452092298
"CD44s",0.165763452092298,0.165763452092298,0.165763452092298,0.164998796187455,0.155116227010601,0.155116227010601,0.134551696597788,-0.00680694891824621,-0.166686895643087,-0.100003376041099,-0.134551696597788,-0.164998796187455,-0.164998796187455,-0.165763452092298,-0.165763452092298,-0.165763452092298
"CD24",0.165763452092298,0.165763452092298,0.165763452092298,0.164998796187455,0.155116227010601,0.155116227010601,0.134551696597788,-0.00680694891824621,-0.166686895643087,-0.100003376041099,-0.134551696597788,-0.164998796187455,-0.164998796187455,-0.165763452092298,-0.165763452092298,-0.165763452092298
"HAS2",0.164998796187455,0.164998796187455,0.164998796187455,0.162708719851577,0.152271126905227,0.152271126905227,0.130807404360346,-0.00825622428056505,-0.165763452092298,-0.103125419560494,-0.130807404360346,-0.262708719851577,-0.162708719851577,-0.164998796187455,-0.164998796187455,-0.164998796187455
"MIR200",0.0879108851818745,0.0879108851818745,0.0879108851818745,0.0887716446755454,-0.00452771059737548,-0.00452771059737548,-0.0936375156840156,0.000861945184128776,-0.0881041728290367,0.0469103837975494,0.0936375156840156,-0.0887716446755454,-0.0887716446755454,-0.0879108851818745,-0.0879108851818745,-0.0879108851818745
"ZEB1",-0.166686895643087,-0.166686895643087,-0.166686895643087,-0.165763452092298,-0.154476490216596,-0.154476490216596,-0.133772637700936,0.00827036355239255,0.0669823015715785,0.102868892159627,0.133772637700936,0.165763452092298,0.165763452092298,0.166686895643087,0.166686895643087,0.166686895643087
"ESRP1",-0.164998796187455,-0.164998796187455,-0.164998796187455,-0.262708719851577,-0.152271126905227,-0.152271126905227,-0.130807404360346,0.00825622428056505,0.165763452092298,0.103125419560494,0.130807404360346,0.162708719851577,0.162708719851577,0.164998796187455,0.164998796187455,0.164998796187455
"HA",-0.165763452092298,-0.165763452092298,-0.165763452092298,-0.164998796187455,-0.155116227010601,-0.155116227010601,-0.134551696597788,0.00680694891824621,0.166686895643087,0.100003376041099,0.134551696597788,0.164998796187455,0.164998796187455,0.165763452092298,0.165763452092298,0.165763452092298
"SNAIL1",-0.179636102532722,-0.179636102532722,-0.179636102532722,-0.178385550818731,-0.189023710562388,-0.189023710562388,-0.191081124276871,0.0987659184672322,0.179868472708515,-0.00108804798431041,0.191081124276871,0.178385550818731,0.178385550818731,0.179636102532722,0.179636102532722,0.179636102532722
"TWIST1",-0.286920540293929,-0.286920540293929,-0.286920540293929,-0.285742890582077,-0.187433246909022,-0.187433246909022,-0.353935372459299,0.0186094035699323,0.288364520808891,0.0977564746182847,0.219549314928992,0.285742890582077,0.285742890582077,0.286920540293929,0.286920540293929,0.286920540293929
