"","MIR340","MIR190","ESRP1","SNAIL1","MIR200","TGFB","ZEB1","TWIST1","HA","CD44s","CD24","MIR1199","HAS2","GRHL2","MIR129","MIR34"
"GRHL2",0.196326356045834,0.196326356045834,0.196326356045834,0.113669535733647,0.173011149958996,0.0135312287929679,-0.196591023006576,-0.082767822564867,-0.19670852165093,-0.19670852165093,-0.09670852165093,-0.196326356045834,-0.196326356045834,-0.196326356045834,-0.124666793274804,-0.221989984436391
"MIR129",0.179682942496291,0.179682942496291,0.179682942496291,0.0416406668837019,0.0742059635594969,0.00835087773830813,-0.178755856552918,-0.0306663090407261,-0.178043598233996,-0.178043598233996,-0.178043598233996,-0.179682942496291,-0.179682942496291,-0.179682942496291,-0.183831271828072,-0.0995755468623205
"MIR340",0.0973978390671386,0.0973978390671386,0.0973978390671386,0.0891531565906048,0.0860853017240052,0.00456704323006466,-0.0982021286113745,-0.0654267763930939,-0.0986722655752099,-0.0986722655752099,-0.0986722655752099,-0.0973978390671386,-0.0973978390671386,-0.0973978390671386,-0.104900153620218,-0.109602784725271
"MIR1199",0.0973978390671386,0.0973978390671386,0.0973978390671386,0.0891531565906048,0.0860853017240052,0.00456704323006466,-0.0982021286113745,-0.0654267763930939,-0.0986722655752099,-0.0986722655752099,-0.0986722655752099,-0.0973978390671386,-0.0973978390671386,-0.0973978390671386,-0.104900153620218,-0.109602784725271
"CD44s",0.0973978390671386,0.0973978390671386,0.0973978390671386,0.0891531565906048,0.0860853017240052,0.00456704323006466,-0.0982021286113745,-0.0654267763930939,-0.0986722655752099,-0.0986722655752099,-0.0986722655752099,-0.0973978390671386,-0.0973978390671386,-0.0973978390671386,-0.104900153620218,-0.109602784725271
"CD24",0.0973978390671386,0.0973978390671386,0.0973978390671386,0.0891531565906048,0.0860853017240052,0.00456704323006466,-0.0982021286113745,-0.0654267763930939,-0.0986722655752099,-0.0986722655752099,-0.0986722655752099,-0.0973978390671386,-0.0973978390671386,-0.0973978390671386,-0.104900153620218,-0.109602784725271
"MIR200",0.0899321833020602,0.0899321833020602,0.0899321833020602,-0.0426291764688174,0.184106816955685,-0.19955921592737,-0.0910391943721709,0.0354206055611134,-0.0918056010235792,-0.0918056010235792,-0.0918056010235792,-0.0899321833020602,-0.0899321833020602,-0.0899321833020602,0.0744664215523015,0.00373374913307313
"TGFB",0.0756858575987447,0.0756858575987447,0.0756858575987447,0.0737837965720092,-0.0503746934570567,0.0916525864532588,-0.0765244628657743,-0.0380916372479396,-0.0772282740511869,-0.0772282740511869,-0.0772282740511869,-0.0756858575987447,-0.0756858575987447,-0.0756858575987447,-0.119161222133988,-0.126491207804553
"SNAIL1",0.0765244628657743,0.0765244628657743,0.0765244628657743,-0.0253128538396944,-0.0491950446502129,0.09244894595269,-0.076079928616431,-0.036769649708052,-0.0756858575987447,-0.0756858575987447,-0.0756858575987447,-0.0765244628657743,-0.0765244628657743,-0.0765244628657743,-0.118902902729642,-0.126338123608245
"MIR190",0.0772282740511869,0.0772282740511869,0.0772282740511869,0.0755015310195486,-0.0481489799194814,0.193122477396834,-0.0756858575987447,-0.0355839381718287,-0.0744713818206104,-0.0744713818206104,-0.0744713818206104,-0.0772282740511869,-0.0772282740511869,-0.0772282740511869,-0.118589290765752,-0.12615080455763
"ZEB1",-0.0982021286113745,-0.0982021286113745,-0.0982021286113745,-0.0901951624518878,-0.0873099407296715,-0.00538005136014596,-0.00225625989835351,0.063962145667011,0.0973978390671386,0.0973978390671386,0.0973978390671386,0.0982021286113745,0.0982021286113745,0.0982021286113745,0.104557367705603,0.109365168201783
"MIR34",-0.0756858575987447,-0.0756858575987447,-0.0756858575987447,-0.0737837965720092,0.0503746934570567,-0.0916525864532588,0.0765244628657743,0.0380916372479396,0.0772282740511869,0.0772282740511869,0.0772282740511869,0.0756858575987447,0.0756858575987447,0.0756858575987447,0.119161222133988,0.126491207804553
"HAS2",-0.0986722655752099,-0.0986722655752099,-0.0986722655752099,-0.0910453041781167,-0.0881927832835416,-0.0060163185923835,0.0973978390671386,0.0627783745666099,0.196382189239332,0.0963821892393321,0.0963821892393321,0.0986722655752099,0.0986722655752099,0.0986722655752099,0.104260884213825,0.109075914335387
"ESRP1",-0.0986722655752099,-0.0986722655752099,-0.0986722655752099,-0.0910453041781167,-0.0881927832835416,-0.0060163185923835,0.0973978390671386,0.0627783745666099,0.0963821892393321,-0.0036178107606679,0.0963821892393321,0.0986722655752099,0.0986722655752099,0.0986722655752099,0.104260884213825,0.109075914335387
"HA",-0.0973978390671386,-0.0973978390671386,-0.0973978390671386,-0.0891531565906048,-0.0860853017240052,-0.00456704323006466,0.0982021286113745,0.0654267763930939,0.0986722655752099,0.0986722655752099,0.0986722655752099,0.0973978390671386,0.0973978390671386,0.0973978390671386,0.104900153620218,0.109602784725271
"TWIST1",-0.178755856552918,-0.178755856552918,-0.178755856552918,-0.0405290983369749,-0.0728200688874919,-0.00742103834693028,0.179295174576579,-0.0677646533023701,0.179682942496291,0.179682942496291,0.179682942496291,0.178755856552918,0.178755856552918,0.178755856552918,0.184223633847429,0.0998219281373436
