"","MIR34","MIR129","MIR340","MIR190","ESRP1","HA","CD24","TWIST1","ZEB1","TGFB","MIR200","SNAIL1","CD44s","MIR1199","HAS2","GRHL2"
"MIR129",0.100246372010181,-0.146351663514619,0.192789685751226,0.192789685751226,0.192789685751226,0.193087748344371,0.193087748344371,-0.0164137905177212,-0.192914967635466,0.00196115590705885,-0.0917111365138,-0.00194764568197788,-0.193087748344371,-0.192789685751226,-0.192789685751226,-0.192789685751226
"SNAIL1",-0.00905182141619185,-0.100620555099059,0.134851737320467,0.134851737320467,0.134851737320467,0.135160697155688,0.135160697155688,-0.0274187511855957,-0.135033592240653,-0.0861406486603064,-0.144121871478687,-0.0482833028514543,-0.135160697155688,-0.134851737320467,-0.134851737320467,-0.134851737320467
"MIR340",0.107992923435694,0.104730691065582,0.0945573907538461,0.0945573907538461,0.0945573907538461,0.0948122760554603,0.0948122760554603,0.0656226106421111,-0.0947063332620379,0.00437380651508881,-0.0844662489260687,-0.0883306548560255,-0.0948122760554603,-0.0945573907538461,-0.0945573907538461,-0.0945573907538461
"MIR1199",0.107992923435694,0.104730691065582,0.0945573907538461,0.0945573907538461,0.0945573907538461,0.0948122760554603,0.0948122760554603,0.0656226106421111,-0.0947063332620379,0.00437380651508881,-0.0844662489260687,-0.0883306548560255,-0.0948122760554603,-0.0945573907538461,-0.0945573907538461,-0.0945573907538461
"HA",0.107992923435694,0.104730691065582,0.0945573907538461,0.0945573907538461,0.0945573907538461,0.0948122760554603,0.0948122760554603,0.0656226106421111,-0.0947063332620379,0.00437380651508881,-0.0844662489260687,-0.0883306548560255,-0.0948122760554603,-0.0945573907538461,-0.0945573907538461,-0.0945573907538461
"CD44s",0.107992923435694,0.104730691065582,0.0945573907538461,0.0945573907538461,0.0945573907538461,0.0948122760554603,0.0948122760554603,0.0656226106421111,-0.0947063332620379,0.00437380651508881,-0.0844662489260687,-0.0883306548560255,-0.0948122760554603,-0.0945573907538461,-0.0945573907538461,-0.0945573907538461
"CD24",0.107992923435694,0.104730691065582,0.0945573907538461,0.0945573907538461,0.0945573907538461,0.0948122760554603,0.0948122760554603,0.0656226106421111,-0.0947063332620379,0.00437380651508881,-0.0844662489260687,-0.0883306548560255,-0.0948122760554603,-0.0945573907538461,-0.0945573907538461,-0.0945573907538461
"ZEB1",-0.107024179147629,-0.104076281592226,-0.0947063332620379,-0.0947063332620379,-0.0947063332620379,-0.0945573907538461,-0.0945573907538461,-0.0634724080867979,-0.00538534443990769,-0.00538193659638963,0.0856177751552773,0.0900564770637755,0.0945573907538461,0.0947063332620379,0.0947063332620379,0.0947063332620379
"GRHL2",0.00791574386607664,0.0827754620780663,-0.00286950537065587,-0.00286950537065587,-0.00286950537065587,-0.00261472830059218,-0.102614728300592,0.0608955348169638,0.00269306073016182,0.00379346757622704,0.0118957127388582,-0.0687585002554321,0.00261472830059218,0.00286950537065587,0.00286950537065587,0.00286950537065587
"HAS2",-0.106517686344018,-0.103726124855537,-0.0948122760554603,-0.0948122760554603,-0.0948122760554603,-0.194557823129252,-0.0945578231292517,-0.0622436152083211,0.0945573907538461,-0.0060163185923835,0.0862576082516746,0.0910742688579177,0.0945578231292517,0.0948122760554603,0.0948122760554603,0.0948122760554603
"ESRP1",-0.106517686344018,-0.103726124855537,-0.0948122760554603,-0.0948122760554603,-0.0948122760554603,-0.0945578231292517,-0.0945578231292517,-0.0622436152083211,0.0945573907538461,-0.0060163185923835,0.0862576082516746,0.0910742688579177,-0.0054421768707483,0.0948122760554603,0.0948122760554603,0.0948122760554603
"MIR200",-0.0303969842339442,0.0654510092163674,-0.131282915439981,-0.131282915439981,-0.131282915439981,-0.131738611642512,-0.131738611642512,0.0299477792515408,0.131546489504293,0.197761794782217,0.209588202703606,-0.0326369544982251,0.131738611642512,0.131282915439981,0.131282915439981,0.131282915439981
"TGFB",0.0109158466300595,0.101851371084471,-0.135160697155688,-0.135160697155688,-0.135160697155688,-0.134732248141121,-0.134732248141121,0.03153666639605,0.134851737320467,0.0841416237943873,0.146364104706962,-0.0483511203638307,0.134732248141121,0.135160697155688,0.135160697155688,0.135160697155688
"MIR34",0.0109158466300595,0.101851371084471,-0.135160697155688,-0.135160697155688,-0.135160697155688,-0.134732248141121,-0.134732248141121,0.03153666639605,0.134851737320467,0.0841416237943873,0.146364104706962,-0.0483511203638307,0.134732248141121,0.135160697155688,0.135160697155688,0.135160697155688
"MIR190",0.00795695686834175,0.0999595980972296,-0.134732248141121,-0.134732248141121,-0.134732248141121,-0.135484127840369,-0.135484127840369,0.025069442462922,0.135160697155688,0.187318484865985,0.142881517642286,-0.0536435994724658,0.135484127840369,0.134732248141121,0.134732248141121,0.134732248141121
"TWIST1",-0.0992300492507107,0.147005600213547,-0.192914967635466,-0.192914967635466,-0.192914967635466,-0.192789685751226,-0.192789685751226,-0.0813372555073834,0.192810583501854,-0.00306005700595995,0.0928814475701597,0.00374536765261051,0.192789685751226,0.192914967635466,0.192914967635466,0.192914967635466
