"","TWIST1","MIR129","MIR200","MIR34","MIR340","MIR190","MIR1199","ESRP1","ZEB1","TGFB","SNAIL1","HA","CD44s","CD24","HAS2","GRHL2"
"TWIST1",0.0236478365132972,0.0495349508469322,0.0843986878407174,0.0778600532502945,0.167462285889238,0.167462285889238,0.167462285889238,0.167462285889238,-0.168471332514151,-0.00249686667470157,-0.00771192343641903,-0.166685538206953,-0.166685538206953,-0.166685538206953,-0.167462285889238,-0.167462285889238
"MIR129",0.124432355341749,0.0503458323536023,0.0846450691157405,0.0766589445345568,0.166685538206953,0.166685538206953,0.166685538206953,0.166685538206953,-0.167462285889238,-0.0023559819184322,-0.00805500014837182,-0.169368101545254,-0.169368101545254,-0.169368101545254,-0.166685538206953,-0.166685538206953
"MIR340",0.0823747312585346,0.0823747312585346,0.0751088950088132,0.0726608440051578,0.0696861206038837,0.0696861206038837,0.0696861206038837,0.0696861206038837,-0.0710266031776103,-0.000412891045221937,-0.0485331348194201,-0.0667124587517172,-0.0667124587517172,-0.0667124587517172,-0.0696861206038837,-0.0696861206038837
"HA",0.0823747312585346,0.0823747312585346,0.0751088950088132,0.0726608440051578,0.0696861206038837,0.0696861206038837,0.0696861206038837,0.0696861206038837,-0.0710266031776103,-0.000412891045221937,-0.0485331348194201,-0.0667124587517172,-0.0667124587517172,-0.0667124587517172,-0.0696861206038837,-0.0696861206038837
"HAS2",0.0846578362813657,0.0846578362813657,0.0746873986969059,0.0693942475878764,0.0667124587517172,0.0667124587517172,0.0667124587517172,0.0667124587517172,-0.0696861206038837,-0.0010892195476374,-0.0479654905431665,0.0304885590599876,-0.0695114409400124,-0.0695114409400124,-0.0667124587517172,-0.0667124587517172
"ESRP1",0.0846578362813657,0.0846578362813657,0.0746873986969059,0.0693942475878764,0.0667124587517172,0.0667124587517172,0.0667124587517172,0.0667124587517172,-0.0696861206038837,-0.0010892195476374,-0.0479654905431665,-0.0695114409400124,-0.169511440940012,-0.0695114409400124,-0.0667124587517172,-0.0667124587517172
"SNAIL1",-0.082848472085974,-0.082848472085974,-0.0184831016992828,0.0614650477018039,0.0443148564596696,0.0443148564596696,0.0443148564596696,0.0443148564596696,-0.0443350625619125,0.0595202638921004,-0.118223163232673,-0.0427406325373509,-0.0427406325373509,-0.0427406325373509,-0.0443148564596696,-0.0443148564596696
"ZEB1",-0.0819696206321713,-0.0819696206321713,-0.0761507520733352,-0.0732640244109337,-0.0710266031776103,-0.0710266031776103,-0.0710266031776103,-0.0710266031776103,-0.0299003602531731,-0.000465157735265867,0.0498682048291889,0.0696861206038837,0.0696861206038837,0.0696861206038837,0.0710266031776103,0.0710266031776103
"GRHL2",0.0699559175528541,0.0699559175528541,-0.0125314501022834,-0.018753659514388,-0.014168481080643,-0.014168481080643,-0.014168481080643,-0.014168481080643,0.0139479252800255,-0.00153816365379152,-0.0489744784718113,0.0170984173863755,0.0170984173863755,0.117098417386375,0.014168481080643,0.014168481080643
"MIR190",0.0812040415495332,0.0812040415495332,0.0184138019976441,-0.0589449908142707,-0.0423121835227837,-0.0423121835227837,-0.0423121835227837,-0.0423121835227837,0.0427406325373509,0.0405269901159943,0.0184546288893783,0.0468234617182724,0.0468234617182724,0.0468234617182724,0.0423121835227837,0.0423121835227837
"TGFB",0.0819519518003031,0.0819519518003031,0.0190684236263427,-0.0601233097459282,-0.0427406325373509,-0.0427406325373509,-0.0427406325373509,-0.0427406325373509,0.0443148564596696,-0.058951435678221,0.0174796985272613,0.0423121835227837,0.0423121835227837,0.0423121835227837,0.0427406325373509,0.0427406325373509
"MIR34",0.0819519518003031,0.0819519518003031,0.0190684236263427,-0.0601233097459282,-0.0427406325373509,-0.0427406325373509,-0.0427406325373509,-0.0427406325373509,0.0443148564596696,-0.058951435678221,0.0174796985272613,0.0423121835227837,0.0423121835227837,0.0423121835227837,0.0427406325373509,0.0427406325373509
"MIR1199",-0.0823747312585346,-0.0823747312585346,-0.0751088950088132,-0.0726608440051578,-0.0696861206038837,-0.0696861206038837,-0.0696861206038837,-0.0696861206038837,0.0710266031776103,0.000412891045221937,0.0485331348194201,0.0667124587517172,0.0667124587517172,0.0667124587517172,0.0696861206038837,0.0696861206038837
"CD44s",-0.0823747312585346,-0.0823747312585346,-0.0751088950088132,-0.0726608440051578,-0.0696861206038837,-0.0696861206038837,-0.0696861206038837,-0.0696861206038837,0.0710266031776103,0.000412891045221937,0.0485331348194201,0.0667124587517172,0.0667124587517172,0.0667124587517172,0.0696861206038837,0.0696861206038837
"CD24",-0.0823747312585346,-0.0823747312585346,-0.0751088950088132,-0.0726608440051578,-0.0696861206038837,-0.0696861206038837,-0.0696861206038837,-0.0696861206038837,0.0710266031776103,0.000412891045221937,0.0485331348194201,0.0667124587517172,0.0667124587517172,0.0667124587517172,0.0696861206038837,0.0696861206038837
"MIR200",-0.113986010999432,-0.113986010999432,-0.161990678531475,0.00573535971426314,-0.0745187240791322,-0.0745187240791322,-0.0745187240791322,-0.0745187240791322,0.0751337302291936,-0.00962939039084998,0.0641081580028609,0.0709237873702714,0.0709237873702714,0.0709237873702714,0.0745187240791322,0.0745187240791322
