"","MIR340","MIR190","MIR1199","HAS2","GRHL2","ESRP1","HA","CD24","MIR34","SNAIL1","MIR129","TGFB","TWIST1","ZEB1","MIR200","CD44s"
"MIR340",0.233596766873196,0.233596766873196,0.233596766873196,0.233596766873196,0.233596766873196,0.233596766873196,0.232152416830716,0.232152416830716,0.17373380009395,0.101264453129786,0.0684536552891106,-0.00818267131345886,-0.113701925686454,-0.233984017394495,-0.17373380009395,-0.232152416830716
"MIR1199",0.233596766873196,0.233596766873196,0.233596766873196,0.233596766873196,0.233596766873196,0.233596766873196,0.232152416830716,0.232152416830716,0.17373380009395,0.101264453129786,0.0684536552891106,-0.00818267131345886,-0.113701925686454,-0.233984017394495,-0.17373380009395,-0.232152416830716
"HA",0.233596766873196,0.233596766873196,0.233596766873196,0.233596766873196,0.233596766873196,0.233596766873196,0.232152416830716,0.232152416830716,0.17373380009395,0.101264453129786,0.0684536552891106,-0.00818267131345886,-0.113701925686454,-0.233984017394495,-0.17373380009395,-0.232152416830716
"CD44s",0.233596766873196,0.233596766873196,0.233596766873196,0.233596766873196,0.233596766873196,0.233596766873196,0.232152416830716,0.232152416830716,0.17373380009395,0.101264453129786,0.0684536552891106,-0.00818267131345886,-0.113701925686454,-0.233984017394495,-0.17373380009395,-0.232152416830716
"CD24",0.233596766873196,0.233596766873196,0.233596766873196,0.233596766873196,0.233596766873196,0.233596766873196,0.232152416830716,0.232152416830716,0.17373380009395,0.101264453129786,0.0684536552891106,-0.00818267131345886,-0.113701925686454,-0.233984017394495,-0.17373380009395,-0.232152416830716
"HAS2",0.232152416830716,0.232152416830716,0.232152416830716,0.232152416830716,0.232152416830716,0.232152416830716,0.326808905380334,0.226808905380334,0.172258563002274,0.0998453424391526,0.0701888151064622,-0.00731310609606756,-0.113793249887368,-0.233596766873196,-0.172258563002274,-0.226808905380334
"TWIST1",0.0539572966144377,0.0539572966144377,0.0539572966144377,0.0539572966144377,0.0539572966144377,0.0539572966144377,0.0542830295134605,0.0542830295134605,0.0288429072305317,0.016161946344293,0.0359434246093259,-0.00281552500449753,-0.0234649575631738,-0.054200859592865,-0.0288429072305317,-0.0542830295134605
"SNAIL1",0.0246786291953903,0.0246786291953903,0.0246786291953903,0.0246786291953903,0.0246786291953903,0.0246786291953903,0.0254583849699967,0.0254583849699967,-0.0489600757130385,-0.0766184782703367,0.020351283721814,-0.0751482734131293,-0.0815040714222977,-0.0247291444509975,0.0489600757130385,-0.0254583849699967
"TGFB",0.0254583849699967,0.0254583849699967,0.0254583849699967,0.0254583849699967,0.0254583849699967,0.0254583849699967,0.0236588991088142,0.0236588991088142,-0.0487709717058345,0.0227819534188471,0.0210350703803765,-0.0751320211784471,-0.0819143434174352,-0.0246786291953903,0.0487709717058345,-0.0236588991088142
"MIR34",0.0254583849699967,0.0254583849699967,0.0254583849699967,0.0254583849699967,0.0254583849699967,0.0254583849699967,0.0236588991088142,0.0236588991088142,-0.0487709717058345,0.0227819534188471,0.0210350703803765,-0.0751320211784471,-0.0819143434174352,-0.0246786291953903,0.0487709717058345,-0.0236588991088142
"MIR190",-0.0236588991088142,-0.0236588991088142,-0.0236588991088142,-0.0236588991088142,-0.0236588991088142,-0.0236588991088142,-0.0271676710386388,-0.0271676710386388,0.0498445511769002,-0.0235247575042695,-0.0208150967772089,-0.0253895530273377,0.0813424120491994,0.0254583849699967,-0.0498445511769002,0.0271676710386388
"MIR129",-0.0542830295134605,-0.0542830295134605,-0.0542830295134605,-0.0542830295134605,-0.0542830295134605,-0.0542830295134605,-0.0514514348785872,-0.0514514348785872,-0.028750514252398,-0.0153797314410406,-0.0367543061159961,0.00267464024822816,-0.0762212349054454,0.0539572966144377,0.028750514252398,0.0514514348785872
"GRHL2",-0.0579062885464993,-0.0579062885464993,-0.0579062885464993,-0.0579062885464993,-0.0579062885464993,-0.0579062885464993,-0.058161065616563,0.041838934383437,-0.0337195091805483,-0.0763867228265625,-0.0611499347651905,0.00615320217094002,0.0870950731135498,0.0578180662262523,0.0337195091805483,0.058161065616563
"ZEB1",-0.233984017394495,-0.233984017394495,-0.233984017394495,-0.233984017394495,-0.233984017394495,-0.233984017394495,-0.233596766873196,-0.233596766873196,-0.173423070794005,-0.101069077030796,-0.0694196883212078,0.00782494773622309,0.114044711601069,0.134972099293242,0.173423070794005,0.233596766873196
"MIR200",-0.172039117076364,-0.172039117076364,-0.172039117076364,-0.172039117076364,-0.172039117076364,-0.172039117076364,-0.17259607910168,-0.17259607910168,-0.0473402703614764,-0.114208808069318,-0.0652116031172171,0.00258397750862573,0.130329778228461,0.173005555312175,0.0473402703614764,0.17259607910168
"ESRP1",-0.232152416830716,-0.232152416830716,-0.232152416830716,-0.232152416830716,-0.232152416830716,-0.232152416830716,-0.226808905380334,-0.226808905380334,-0.172258563002274,-0.0998453424391526,-0.0701888151064622,0.00731310609606756,0.113793249887368,0.233596766873196,0.172258563002274,0.126808905380334
