"","TWIST1","MIR34","ZEB1","TGFB","MIR340","GRHL2","ESRP1","MIR200","MIR190","MIR1199","HAS2","HA","CD44s","CD24","MIR129","SNAIL1"
"SNAIL1",-0.0631690771597819,0.00572853439288829,-0.114796151427627,0.14269540041751,0.115048727705663,0.115048727705663,0.115048727705663,0.106225578933958,-0.115048727705663,-0.115048727705663,-0.115048727705663,-0.114533794646961,-0.114533794646961,-0.114533794646961,0.0118145098216194,-0.101936592399906
"MIR190",-0.0632569061583662,0.00525587694503903,-0.114533794646961,0.0406677318549034,0.11376258642074,0.11376258642074,0.11376258642074,0.105125234545802,-0.11376258642074,-0.11376258642074,-0.11376258642074,-0.111757573889411,-0.111757573889411,-0.111757573889411,0.0117277905515909,-0.000435656360762712
"ZEB1",-0.125354958137811,-0.0904597417626344,-0.0598279554368358,-0.0416218007853869,-0.0408545341220926,-0.0408545341220926,-0.0408545341220926,-0.0390492601310247,0.0408545341220926,0.0408545341220926,0.0408545341220926,0.0413609386499449,0.0413609386499449,0.0413609386499449,0.0759619412252568,0.108713095189667
"HAS2",0.122956737380267,0.0892049408476075,-0.0413609386499449,0.0378155088094236,0.040256435676283,0.040256435676283,0.040256435676283,0.0395556566322432,-0.040256435676283,-0.040256435676283,-0.040256435676283,0.0640692640692641,-0.0359307359307359,-0.0359307359307359,-0.0751002095943272,-0.107225778462584
"ESRP1",0.122956737380267,0.0892049408476075,-0.0413609386499449,0.0378155088094236,0.040256435676283,0.040256435676283,0.040256435676283,0.0395556566322432,-0.040256435676283,-0.040256435676283,-0.040256435676283,-0.0359307359307359,-0.135930735930736,-0.0359307359307359,-0.0751002095943272,-0.107225778462584
"MIR340",0.124326600393965,0.0902586816273757,-0.0408545341220926,0.0410039146065251,0.0413609386499449,0.0413609386499449,0.0413609386499449,0.0398717788661736,-0.0413609386499449,-0.0413609386499449,-0.0413609386499449,-0.040256435676283,-0.040256435676283,-0.040256435676283,-0.0755568305988934,-0.108550281773842
"MIR1199",0.124326600393965,0.0902586816273757,-0.0408545341220926,0.0410039146065251,0.0413609386499449,0.0413609386499449,0.0413609386499449,0.0398717788661736,-0.0413609386499449,-0.0413609386499449,-0.0413609386499449,-0.040256435676283,-0.040256435676283,-0.040256435676283,-0.0755568305988934,-0.108550281773842
"HA",0.124326600393965,0.0902586816273757,-0.0408545341220926,0.0410039146065251,0.0413609386499449,0.0413609386499449,0.0413609386499449,0.0398717788661736,-0.0413609386499449,-0.0413609386499449,-0.0413609386499449,-0.040256435676283,-0.040256435676283,-0.040256435676283,-0.0755568305988934,-0.108550281773842
"CD24",0.124326600393965,0.0902586816273757,-0.0408545341220926,0.0410039146065251,0.0413609386499449,0.0413609386499449,0.0413609386499449,0.0398717788661736,-0.0413609386499449,-0.0413609386499449,-0.0413609386499449,-0.040256435676283,-0.040256435676283,-0.040256435676283,-0.0755568305988934,-0.108550281773842
"MIR200",0.121974828773392,0.167355114211572,-0.0383040463670338,0.0512532094470209,0.0389190525170953,0.0389190525170953,0.0389190525170953,-0.0406166393104915,-0.0389190525170953,-0.0389190525170953,-0.0389190525170953,-0.0390709512512725,-0.0390709512512725,-0.0390709512512725,-0.060837715408946,-0.103052836921098
"TWIST1",-0.0716430085510322,0.0124469472359205,-0.0226228303650606,0.0162546899007336,0.0221878964750118,0.0221878964750118,0.0221878964750118,0.0140097670960346,-0.0221878964750118,-0.0221878964750118,-0.0221878964750118,-0.0219122763296849,-0.0219122763296849,-0.0219122763296849,0.117022794513309,0.00443990369995281
"MIR129",-0.0291415102774197,-0.0128781144672109,0.0221878964750118,-0.0163392207544952,-0.0219122763296849,-0.0219122763296849,-0.0219122763296849,-0.0132398256115874,0.0219122763296849,0.0219122763296849,0.0219122763296849,0.0217632450331126,0.0217632450331126,0.0217632450331126,-0.116316542878467,-0.00527701087711762
"CD44s",-0.124326600393965,-0.0902586816273757,0.0408545341220926,-0.0410039146065251,-0.0413609386499449,-0.0413609386499449,-0.0413609386499449,-0.0398717788661736,0.0413609386499449,0.0413609386499449,0.0413609386499449,0.040256435676283,0.040256435676283,0.040256435676283,0.0755568305988934,0.108550281773842
"TGFB",0.0640048164091361,-0.00454888558604452,0.115048727705663,-0.141378969408246,-0.114533794646961,-0.114533794646961,-0.114533794646961,-0.106774881050122,0.114533794646961,0.114533794646961,0.114533794646961,0.11376258642074,0.11376258642074,0.11376258642074,-0.0135315740975653,0.00266406861703012
"MIR34",0.0640048164091361,-0.00454888558604452,0.115048727705663,-0.141378969408246,-0.114533794646961,-0.114533794646961,-0.114533794646961,-0.106774881050122,0.114533794646961,0.114533794646961,0.114533794646961,0.11376258642074,0.11376258642074,0.11376258642074,-0.0135315740975653,0.00266406861703012
"GRHL2",-0.145525894897979,-0.200548164372693,0.156192543504488,-0.146514872302494,-0.156280765824735,-0.156280765824735,-0.156280765824735,-0.140549859316245,0.156280765824735,0.156280765824735,0.156280765824735,0.154369937799257,0.154369937799257,0.0543699377992572,0.0953517926569931,0.133185317959837
