"","SNAIL1","MIR340","HAS2","ESRP1","ZEB1","MIR34","MIR200","TGFB","HA","CD44s","CD24","MIR190","MIR1199","GRHL2","TWIST1","MIR129"
"TWIST1",-0.0885662384580697,0.219884204022789,0.219884204022789,0.219884204022789,-0.221710926360994,0.164273988108131,0.164273988108131,-0.182861714980312,-0.21975892213855,-0.21975892213855,-0.21975892213855,-0.219884204022789,-0.219884204022789,-0.219884204022789,-0.0505626527257713,0.138460601751798
"TGFB",-0.126288777139483,0.211037320427257,0.211037320427257,0.211037320427257,-0.211258006023844,0.22344032095071,0.22344032095071,-0.255459262835911,-0.214979051361276,-0.214979051361276,-0.214979051361276,-0.211037320427257,-0.211037320427257,-0.211037320427257,0.0372843257978182,0.122720012159773
"MIR190",-0.118675035263902,0.214979051361276,0.214979051361276,0.214979051361276,-0.211037320427257,0.223047547973491,0.223047547973491,-0.163282875922682,-0.225254740584334,-0.225254740584334,-0.225254740584334,-0.214979051361276,-0.214979051361276,-0.214979051361276,0.0325768906900311,0.116428767109179
"GRHL2",0.257164079267343,0.192201653575049,0.192201653575049,0.192201653575049,-0.195818768705177,0.129144844984418,0.129144844984418,-0.151769607240252,-0.190672991154667,-0.190672991154667,-0.0906729911546665,-0.192201653575049,-0.192201653575049,-0.192201653575049,-0.153933335372807,-0.263217766730326
"MIR340",0.23101674543055,0.048854286796989,0.048854286796989,0.048854286796989,-0.0522203874821246,0.00710436678408268,0.00710436678408268,-0.0187262559588161,-0.0445212366695464,-0.0445212366695464,-0.0445212366695464,-0.048854286796989,-0.048854286796989,-0.048854286796989,-0.131299479676917,-0.236695304265973
"HA",0.23101674543055,0.048854286796989,0.048854286796989,0.048854286796989,-0.0522203874821246,0.00710436678408268,0.00710436678408268,-0.0187262559588161,-0.0445212366695464,-0.0445212366695464,-0.0445212366695464,-0.048854286796989,-0.048854286796989,-0.048854286796989,-0.131299479676917,-0.236695304265973
"CD24",0.23101674543055,0.048854286796989,0.048854286796989,0.048854286796989,-0.0522203874821246,0.00710436678408268,0.00710436678408268,-0.0187262559588161,-0.0445212366695464,-0.0445212366695464,-0.0445212366695464,-0.048854286796989,-0.048854286796989,-0.048854286796989,-0.131299479676917,-0.236695304265973
"ESRP1",0.236882402951836,0.0445212366695464,0.0445212366695464,0.0445212366695464,-0.048854286796989,-0.000377192752271382,-0.000377192752271382,-0.0203687680361108,-0.05139146567718,-0.15139146567718,-0.05139146567718,-0.0445212366695464,-0.0445212366695464,-0.0445212366695464,-0.13504377191436,-0.247562884174649
"ZEB1",-0.230365491767248,-0.0522203874821246,-0.0522203874821246,-0.0522203874821246,-0.043857844156869,-0.0114362987892006,-0.0114362987892006,0.0250026787230438,0.048854286796989,0.048854286796989,0.048854286796989,0.0522203874821246,0.0522203874821246,0.0522203874821246,0.131143667897547,0.231553515546746
"MIR200",0.231359538556894,0.0149263316548811,0.0149263316548811,0.0149263316548811,-0.0185285105338127,-0.090129216431493,-0.090129216431493,-0.0062925528029935,-0.00819215443969121,-0.00819215443969121,-0.00819215443969121,-0.0149263316548811,-0.0149263316548811,-0.0149263316548811,-0.110728134898004,-0.225007203300947
"HAS2",-0.236882402951836,-0.0445212366695464,-0.0445212366695464,-0.0445212366695464,0.048854286796989,0.000377192752271382,0.000377192752271382,0.0203687680361108,-0.04860853432282,0.05139146567718,0.05139146567718,0.0445212366695464,0.0445212366695464,0.0445212366695464,0.13504377191436,0.247562884174649
"MIR1199",-0.23101674543055,-0.048854286796989,-0.048854286796989,-0.048854286796989,0.0522203874821246,-0.00710436678408268,-0.00710436678408268,0.0187262559588161,0.0445212366695464,0.0445212366695464,0.0445212366695464,0.048854286796989,0.048854286796989,0.048854286796989,0.131299479676917,0.236695304265973
"CD44s",-0.23101674543055,-0.048854286796989,-0.048854286796989,-0.048854286796989,0.0522203874821246,-0.00710436678408268,-0.00710436678408268,0.0187262559588161,0.0445212366695464,0.0445212366695464,0.0445212366695464,0.048854286796989,0.048854286796989,0.048854286796989,0.131299479676917,0.236695304265973
"MIR34",0.126288777139483,-0.211037320427257,-0.211037320427257,-0.211037320427257,0.211258006023844,-0.22344032095071,-0.22344032095071,0.255459262835911,0.214979051361276,0.214979051361276,0.214979051361276,0.211037320427257,0.211037320427257,0.211037320427257,-0.0372843257978182,-0.122720012159773
"SNAIL1",0.0309654099638491,-0.211258006023844,-0.211258006023844,-0.211258006023844,0.213480677270561,-0.226529019735041,-0.226529019735041,0.254207840765376,0.211037320427257,0.211037320427257,0.211037320427257,0.211258006023844,0.211258006023844,0.211258006023844,-0.0400954487274641,-0.129329949859211
"MIR129",0.0831456264092156,-0.21975892213855,-0.21975892213855,-0.21975892213855,0.219884204022789,-0.161040233873452,-0.161040233873452,0.185876648764477,0.225869205298013,0.225869205298013,0.225869205298013,0.21975892213855,0.21975892213855,0.21975892213855,-0.0460900669395006,-0.131371927935423
