"","HA","CD44s","MIR340","MIR190","MIR1199","HAS2","MIR200","SNAIL1","MIR129","TGFB","ZEB1","TWIST1","MIR34","GRHL2","ESRP1","CD24"
"HAS2",0.264038342609771,0.164038342609771,0.162766077978728,0.162766077978728,0.162766077978728,0.162766077978728,0.151081611561759,0.102102743558288,0.0648664825370708,0.00825622428056505,-0.165060045693256,-0.110618510900864,-0.151081611561759,-0.162766077978728,-0.162766077978728,-0.164038342609771
"MIR1199",0.162766077978728,0.162766077978728,0.165060045693256,0.165060045693256,0.165060045693256,0.165060045693256,0.155401948758809,0.0972777672101327,0.0708025555964315,0.00622723877331867,-0.163659986116253,-0.113084264325521,-0.155401948758809,-0.165060045693256,-0.165060045693256,-0.162766077978728
"HA",0.162766077978728,0.162766077978728,0.165060045693256,0.165060045693256,0.165060045693256,0.165060045693256,0.155401948758809,0.0972777672101327,0.0708025555964315,0.00622723877331867,-0.163659986116253,-0.113084264325521,-0.155401948758809,-0.165060045693256,-0.165060045693256,-0.162766077978728
"CD44s",0.162766077978728,0.162766077978728,0.165060045693256,0.165060045693256,0.165060045693256,0.165060045693256,0.155401948758809,0.0972777672101327,0.0708025555964315,0.00622723877331867,-0.163659986116253,-0.113084264325521,-0.155401948758809,-0.165060045693256,-0.165060045693256,-0.162766077978728
"MIR200",0.11831872873201,0.11831872873201,0.124040247719352,0.124040247719352,0.124040247719352,0.124040247719352,0.0308548638958859,-0.0343230438879632,-0.0268686282485035,0.00135012860274575,-0.119981207128946,0.0636620677701895,-0.0308548638958859,-0.124040247719352,-0.124040247719352,-0.11831872873201
"MIR129",0.029575055187638,0.029575055187638,0.0240608972144636,0.0240608972144636,0.0240608972144636,0.0240608972144636,0.0224449517266708,0.0398468670233601,-0.016602356598643,0.00716051649225874,-0.0282453121480642,-0.115342109589278,-0.0224449517266708,-0.0240608972144636,-0.0240608972144636,-0.029575055187638
"TGFB",0.0291279742132329,0.0291279742132329,0.0212445123451952,0.0212445123451952,0.0212445123451952,0.0212445123451952,-0.0740189844673115,-0.0549441969804705,-0.0395527055774837,-0.0854816143123152,-0.0267028027674403,0.111830088638477,0.0740189844673115,-0.0212445123451952,-0.0212445123451952,-0.0291279742132329
"MIR34",0.0291279742132329,0.0291279742132329,0.0212445123451952,0.0212445123451952,0.0212445123451952,0.0212445123451952,-0.0740189844673115,-0.0549441969804705,-0.0395527055774837,-0.0854816143123152,-0.0267028027674403,0.111830088638477,0.0740189844673115,-0.0212445123451952,-0.0212445123451952,-0.0291279742132329
"GRHL2",0.0237979594576453,0.0237979594576453,0.0258361760181549,0.0258361760181549,0.0258361760181549,0.0258361760181549,0.0296412009423313,0.0727024381073949,0.0641817339485169,0.00455901458823298,-0.024204063093585,-0.0873676944800425,-0.0296412009423313,-0.0258361760181549,-0.0258361760181549,0.0762020405423547
"MIR190",-0.0183510318573432,-0.0183510318573432,-0.0291279742132329,-0.0291279742132329,-0.0291279742132329,-0.0291279742132329,0.0614764340614461,0.069753853433581,0.0240225691938498,-0.00811724770759941,0.0212445123451952,-0.105978790794218,-0.0614764340614461,0.0291279742132329,0.0291279742132329,0.0183510318573432
"SNAIL1",-0.0212445123451952,-0.0212445123451952,-0.0267028027674403,-0.0267028027674403,-0.0267028027674403,-0.0267028027674403,0.0649329871687973,-0.0339837748797901,0.0278371608274457,0.0902760235435845,0.0226211701143791,-0.107499439800914,-0.0649329871687973,0.0267028027674403,0.0267028027674403,0.0212445123451952
"TWIST1",-0.0240608972144636,-0.0240608972144636,-0.0282453121480642,-0.0282453121480642,-0.0282453121480642,-0.0282453121480642,-0.0294668180648291,-0.0314620721832339,0.0075257152175287,-0.00352568978050895,0.0252529669845291,0.0187939924344664,0.0294668180648291,0.0282453121480642,0.0282453121480642,0.0240608972144636
"ZEB1",-0.165060045693256,-0.165060045693256,-0.163659986116253,-0.163659986116253,-0.163659986116253,-0.163659986116253,-0.15267849783576,-0.101055038457284,-0.0667826116886721,-0.00801585665949753,0.065381489630565,0.11193125715818,0.15267849783576,0.163659986116253,0.163659986116253,0.165060045693256
"MIR340",-0.162766077978728,-0.162766077978728,-0.165060045693256,-0.165060045693256,-0.165060045693256,-0.165060045693256,-0.155401948758809,-0.0972777672101327,-0.0708025555964315,-0.00622723877331867,0.163659986116253,0.113084264325521,0.155401948758809,0.165060045693256,0.165060045693256,0.162766077978728
"CD24",-0.162766077978728,-0.162766077978728,-0.165060045693256,-0.165060045693256,-0.165060045693256,-0.165060045693256,-0.155401948758809,-0.0972777672101327,-0.0708025555964315,-0.00622723877331867,0.163659986116253,0.113084264325521,0.155401948758809,0.165060045693256,0.165060045693256,0.162766077978728
"ESRP1",-0.164038342609771,-0.264038342609771,-0.162766077978728,-0.162766077978728,-0.162766077978728,-0.162766077978728,-0.151081611561759,-0.102102743558288,-0.0648664825370708,-0.00825622428056505,0.165060045693256,0.110618510900864,0.151081611561759,0.162766077978728,0.162766077978728,0.164038342609771
