"","MIR34","MIR200","HA","MIR340","MIR190","MIR1199","HAS2","ESRP1","TWIST1","ZEB1","MIR129","SNAIL1","GRHL2","CD44s","CD24","TGFB"
"GRHL2",0.202620079205485,0.179482208243448,0.186066407123999,0.186703349799158,0.186703349799158,0.186703349799158,0.186703349799158,0.186703349799158,0.0922786873761445,-0.186747460959281,-0.0657114953916764,-0.0751525769368055,-0.186703349799158,-0.186066407123999,-0.0860664071239987,-0.182930473459627
"MIR129",0.180170073418961,-0.0339378649301622,0.153995584988962,0.154442678878679,0.154442678878679,0.154442678878679,0.154442678878679,0.154442678878679,0.0939804055593529,-0.15431739699444,-0.153624164341603,-0.218658659090002,-0.154442678878679,-0.153995584988962,-0.153995584988962,-0.0284113903127427
"MIR200",-0.0306169915922065,0.21764195412794,0.0944852913766397,0.0946371901108169,0.0946371901108169,0.0946371901108169,0.0946371901108169,0.0946371901108169,-0.165662014373501,-0.0946196185065295,0.0825758589352566,0.157888530985168,-0.0946371901108169,-0.0944852913766397,-0.0944852913766397,-0.308669949536159
"HAS2",0.0919456688065061,0.0915976062849202,0.187755102040816,0.0885184608194423,0.0885184608194423,0.0885184608194423,0.0885184608194423,0.0885184608194423,0.0718959315194609,-0.0891131931898756,-0.0473391157861746,-0.0501137299048731,-0.0885184608194423,-0.0877551020408163,-0.0877551020408163,-0.0914178451703807
"MIR340",0.0924725391963902,0.0918083544408738,0.0885184608194423,0.0891131931898756,0.0891131931898756,0.0891131931898756,0.0891131931898756,0.0891131931898756,0.0725352009258536,-0.0889642506816838,-0.0474304399870878,-0.0500191225254975,-0.0891131931898756,-0.0885184608194423,-0.0885184608194423,-0.0917077002428444
"HA",0.0924725391963902,0.0918083544408738,0.0885184608194423,0.0891131931898756,0.0891131931898756,0.0891131931898756,0.0891131931898756,0.0891131931898756,0.0725352009258536,-0.0889642506816838,-0.0474304399870878,-0.0500191225254975,-0.0891131931898756,-0.0885184608194423,-0.0885184608194423,-0.0917077002428444
"CD44s",0.0924725391963902,0.0918083544408738,0.0885184608194423,0.0891131931898756,0.0891131931898756,0.0891131931898756,0.0891131931898756,0.0891131931898756,0.0725352009258536,-0.0889642506816838,-0.0474304399870878,-0.0500191225254975,-0.0891131931898756,-0.0885184608194423,-0.0885184608194423,-0.0917077002428444
"CD24",0.0924725391963902,0.0918083544408738,0.0885184608194423,0.0891131931898756,0.0891131931898756,0.0891131931898756,0.0891131931898756,0.0891131931898756,0.0725352009258536,-0.0889642506816838,-0.0474304399870878,-0.0500191225254975,-0.0891131931898756,-0.0885184608194423,-0.0885184608194423,-0.0917077002428444
"TGFB",0.201235860631129,-0.161431284465611,0.0428671014033087,0.0426957217974818,0.0426957217974818,0.0426957217974818,0.0426957217974818,0.0426957217974818,0.236308596379053,-0.0425927351857413,-0.0878162586502988,-0.267629526516427,-0.0426957217974818,-0.0428671014033087,-0.0428671014033087,0.126201132362878
"MIR34",0.201235860631129,-0.161431284465611,0.0428671014033087,0.0426957217974818,0.0426957217974818,0.0426957217974818,0.0426957217974818,0.0426957217974818,0.236308596379053,-0.0425927351857413,-0.0878162586502988,-0.267629526516427,-0.0426957217974818,-0.0428671014033087,-0.0428671014033087,0.126201132362878
"ZEB1",-0.0923445918375892,-0.0917535198585305,-0.0891131931898756,-0.0889642506816838,-0.0889642506816838,-0.0889642506816838,-0.0889642506816838,-0.0889642506816838,-0.0725040385699795,-0.0111885454882256,0.0471499787842209,0.0499865598423324,0.0889642506816838,0.0891131931898756,0.0891131931898756,0.0920654238200802
"SNAIL1",-0.201298895300197,0.161620388472815,-0.0426957217974818,-0.0425927351857413,-0.0425927351857413,-0.0425927351857413,-0.0425927351857413,-0.0425927351857413,-0.236566915783399,0.0424917046745269,0.0878010633912196,0.167701474713725,0.0425927351857413,0.0426957217974818,0.0426957217974818,-0.12657493376057
"MIR190",-0.200947827114501,0.1609337720278,-0.0423658482704766,-0.0428671014033087,-0.0428671014033087,-0.0428671014033087,-0.0428671014033087,-0.0428671014033087,-0.235648675569551,0.0426957217974818,0.0876842744883982,0.267304549729055,0.0428671014033087,0.0423658482704766,0.0423658482704766,-0.226248548199768
"MIR1199",-0.0924725391963902,-0.0918083544408738,-0.0885184608194423,-0.0891131931898756,-0.0891131931898756,-0.0891131931898756,-0.0891131931898756,-0.0891131931898756,-0.0725352009258536,0.0889642506816838,0.0474304399870878,0.0500191225254975,0.0891131931898756,0.0885184608194423,0.0885184608194423,0.0917077002428444
"ESRP1",-0.0919456688065061,-0.0915976062849202,-0.0877551020408163,-0.0885184608194423,-0.0885184608194423,-0.0885184608194423,-0.0885184608194423,-0.0885184608194423,-0.0718959315194609,0.0891131931898756,0.0473391157861746,0.0501137299048731,0.0885184608194423,-0.0122448979591837,0.0877551020408163,0.0914178451703807
"TWIST1",-0.180293264056473,0.0342150438645632,-0.154442678878679,-0.15431739699444,-0.15431739699444,-0.15431739699444,-0.15431739699444,-0.15431739699444,-0.194346514345964,0.154160820794022,0.153598006873645,0.218699828295436,0.15431739699444,0.154442678878679,0.154442678878679,0.0284959211665044
