"","MIR34","MIR200","MIR340","MIR1199","HAS2","GRHL2","MIR129","TGFB","ZEB1","SNAIL1","TWIST1","MIR190","ESRP1","HA","CD44s","CD24"
"GRHL2",0.230082806252969,0.230082806252969,0.213408862168858,0.213408862168858,0.213408862168858,0.213408862168858,0.0773228146836279,-0.0117791846508113,-0.213408862168858,-0.102863198827054,-0.115418164985693,-0.213408862168858,-0.213408862168858,-0.212644530958667,-0.212644530958667,-0.312644530958667
"MIR129",0.0826169001923313,0.0826169001923313,0.164815244783082,0.164815244783082,0.164815244783082,0.164815244783082,-0.10852869819776,-0.00288280946196618,-0.16544165420428,-0.00993673988618312,-0.042095010252905,-0.164815244783082,-0.164815244783082,-0.164070088300221,-0.164070088300221,-0.164070088300221
"MIR200",0.210974387054497,0.210974387054497,0.124709034956927,0.124709034956927,0.124709034956927,0.124709034956927,0.0605275046835125,-0.200797048956495,-0.124656320144065,-0.10218870532172,-0.121162466200586,-0.124709034956927,-0.124709034956927,-0.12475966786832,-0.12475966786832,-0.12475966786832
"HA",0.117148208117688,0.117148208117688,0.110931599578549,0.110931599578549,0.110931599578549,0.110931599578549,0.0593056693507942,-0.0037762169237608,-0.110484772053973,-0.0780401902108611,-0.0953163119448373,-0.110931599578549,-0.110931599578549,-0.109657173070477,-0.109657173070477,-0.109657173070477
"TGFB",-0.0530227709960511,-0.0530227709960511,0.0185597001655633,0.0185597001655633,0.0185597001655633,0.0185597001655633,-0.0228010951789961,0.0749194800798004,-0.0191629074629003,0.0255113408113258,0.0841707330774814,-0.0185597001655633,-0.0185597001655633,-0.019073838983044,-0.019073838983044,-0.019073838983044
"SNAIL1",-0.0521673004872713,-0.0521673004872713,0.0191629074629003,0.0191629074629003,0.0191629074629003,0.0191629074629003,-0.0215702791935835,0.0755208127630443,-0.0186476518557069,-0.074001010295877,0.0840035852276106,-0.0191629074629003,-0.0191629074629003,-0.0185597001655633,-0.0185597001655633,-0.0185597001655633
"ZEB1",-0.116691253264828,-0.116691253264828,-0.110484772053973,-0.110484772053973,-0.110484772053973,-0.110484772053973,-0.0591498575714237,0.00400385920018356,0.0105764497559188,0.0785286304583375,0.0952851495889632,0.110484772053973,0.110484772053973,0.110931599578549,0.110931599578549,0.110931599578549
"MIR190",0.0517397126038018,0.0517397126038018,-0.019073838983044,-0.019073838983044,-0.019073838983044,-0.019073838983044,0.0209093221917546,-0.175630717633143,0.0185597001655633,-0.0267648227054763,-0.0829828756203763,0.019073838983044,0.019073838983044,0.0170688264517157,0.0170688264517157,0.0170688264517157
"MIR34",0.0530227709960511,0.0530227709960511,-0.0185597001655633,-0.0185597001655633,-0.0185597001655633,-0.0185597001655633,0.0228010951789961,-0.0749194800798004,0.0191629074629003,-0.0255113408113258,-0.0841707330774814,0.0185597001655633,0.0185597001655633,0.019073838983044,0.019073838983044,0.019073838983044
"MIR340",-0.117148208117688,-0.117148208117688,-0.110931599578549,-0.110931599578549,-0.110931599578549,-0.110931599578549,-0.0593056693507942,0.0037762169237608,0.110484772053973,0.0780401902108611,0.0953163119448373,0.110931599578549,0.110931599578549,0.109657173070477,0.109657173070477,0.109657173070477
"MIR1199",-0.117148208117688,-0.117148208117688,-0.110931599578549,-0.110931599578549,-0.110931599578549,-0.110931599578549,-0.0593056693507942,0.0037762169237608,0.110484772053973,0.0780401902108611,0.0953163119448373,0.110931599578549,0.110931599578549,0.109657173070477,0.109657173070477,0.109657173070477
"CD44s",-0.117148208117688,-0.117148208117688,-0.110931599578549,-0.110931599578549,-0.110931599578549,-0.110931599578549,-0.0593056693507942,0.0037762169237608,0.110484772053973,0.0780401902108611,0.0953163119448373,0.110931599578549,0.110931599578549,0.109657173070477,0.109657173070477,0.109657173070477
"CD24",-0.117148208117688,-0.117148208117688,-0.110931599578549,-0.110931599578549,-0.110931599578549,-0.110931599578549,-0.0593056693507942,0.0037762169237608,0.110484772053973,0.0780401902108611,0.0953163119448373,0.110931599578549,0.110931599578549,0.109657173070477,0.109657173070477,0.109657173070477
"HAS2",-0.115989093259943,-0.115989093259943,-0.109657173070477,-0.109657173070477,-0.109657173070477,-0.109657173070477,-0.0584837515425751,0.00445254542617626,0.110931599578549,0.0785132271077391,0.0957729329494035,0.109657173070477,0.109657173070477,0.0104205318491033,0.110420531849103,0.110420531849103
"ESRP1",-0.115989093259943,-0.115989093259943,-0.109657173070477,-0.109657173070477,-0.109657173070477,-0.109657173070477,-0.0584837515425751,0.00445254542617626,0.110931599578549,0.0785132271077391,0.0957729329494035,0.109657173070477,0.109657173070477,0.110420531849103,0.210420531849103,0.110420531849103
"TWIST1",-0.0824937095548197,-0.0824937095548197,-0.16544165420428,-0.16544165420428,-0.16544165420428,-0.16544165420428,0.109496524512172,0.00291098641322006,0.165580833049095,0.0105268318307419,-0.0592648223830783,0.16544165420428,0.16544165420428,0.164815244783082,0.164815244783082,0.164815244783082
