"","ZEB1","MIR34","MIR200","SNAIL1","TGFB","MIR340","MIR190","MIR1199","HAS2","CD24","HA","CD44s","GRHL2","ESRP1","TWIST1","MIR129"
"TWIST1",-0.217981598425687,0.255467388387696,0.255467388387696,-0.314183179742362,0.239369936919047,0.216694194111143,0.216694194111143,0.216694194111143,0.216694194111143,0.21576710816777,-0.21576710816777,-0.21576710816777,-0.216694194111143,-0.216694194111143,0.363097575889592,0.458231229526013
"MIR129",-0.216694194111143,0.25321915925311,0.25321915925311,-0.311397396841305,0.23815832801513,0.21576710816777,0.21576710816777,0.21576710816777,0.21576710816777,0.21576710816777,-0.21576710816777,-0.21576710816777,-0.21576710816777,-0.21576710816777,0.457762847856119,0.452921263530722
"TGFB",-0.153838614470343,0.283152065795271,0.283152065795271,-0.328399577814962,0.270524987430426,0.152852885472255,0.152852885472255,0.152852885472255,0.152852885472255,0.152253056851861,-0.152253056851861,-0.152253056851861,-0.152852885472255,-0.152852885472255,0.383333077021877,0.383333077021877
"MIR190",-0.152852885472255,0.281083461448583,0.281083461448583,-0.325103384685899,0.368011948075282,0.152253056851861,0.152253056851861,0.152253056851861,0.152253056851861,0.150749297453365,-0.150749297453365,-0.150749297453365,-0.152253056851861,-0.152253056851861,0.377393789736351,0.377393789736351
"ZEB1",-0.067501091754014,-0.0534888104247206,-0.0534888104247206,-0.0446194714492956,-0.0445350679798506,-0.0323461120760767,-0.0323461120760767,-0.0323461120760767,-0.0323461120760767,-0.0299332434433689,0.0299332434433689,0.0299332434433689,0.0323461120760767,0.0323461120760767,0.0772570157232085,0.0772570157232085
"MIR1199",-0.0323461120760767,0.0516792692073929,0.0516792692073929,0.043707716320673,0.0430066126952978,0.0299332434433689,0.0299332434433689,0.0299332434433689,0.0299332434433689,0.0289986640041166,-0.0289986640041166,-0.0289986640041166,-0.0299332434433689,-0.0299332434433689,-0.0783476981788021,-0.0783476981788021
"HA",-0.0323461120760767,0.0516792692073929,0.0516792692073929,0.043707716320673,0.0430066126952978,0.0299332434433689,0.0299332434433689,0.0299332434433689,0.0299332434433689,0.0289986640041166,-0.0289986640041166,-0.0289986640041166,-0.0299332434433689,-0.0299332434433689,-0.0783476981788021,-0.0783476981788021
"CD44s",-0.0323461120760767,0.0516792692073929,0.0516792692073929,0.043707716320673,0.0430066126952978,0.0299332434433689,0.0299332434433689,0.0299332434433689,0.0299332434433689,0.0289986640041166,-0.0289986640041166,-0.0289986640041166,-0.0299332434433689,-0.0299332434433689,-0.0783476981788021,-0.0783476981788021
"CD24",-0.0323461120760767,0.0516792692073929,0.0516792692073929,0.043707716320673,0.0430066126952978,0.0299332434433689,0.0299332434433689,0.0299332434433689,0.0299332434433689,0.0289986640041166,-0.0289986640041166,-0.0289986640041166,-0.0299332434433689,-0.0299332434433689,-0.0783476981788021,-0.0783476981788021
"ESRP1",-0.0299332434433689,0.0497825358038102,0.0497825358038102,0.0445591827350533,0.0483206223571335,0.0289986640041166,0.0289986640041166,0.0289986640041166,0.0289986640041166,0.0358688930117502,-0.0358688930117502,0.0641311069882498,-0.0289986640041166,-0.0289986640041166,-0.0799002095943272,-0.0799002095943272
"MIR200",0.0103126102925198,0.0976381094260666,0.0976381094260666,-0.228405612006767,0.193943879142961,-0.00913531280525921,-0.00913531280525921,-0.00913531280525921,-0.00913531280525921,-0.00918594571665162,0.00918594571665162,0.00918594571665162,0.00913531280525921,0.00913531280525921,0.276592200730566,0.276592200730566
"GRHL2",0.0256541995082301,-0.0268578118293806,-0.0268578118293806,0.0461593689205602,-0.0290436548765353,-0.027198090112553,-0.027198090112553,-0.027198090112553,-0.027198090112553,-0.129618472278158,0.0296184722781581,0.0296184722781581,0.027198090112553,0.027198090112553,-0.068058907368118,-0.068058907368118
"HAS2",0.0299332434433689,-0.0497825358038102,-0.0497825358038102,-0.0445591827350533,-0.0483206223571335,-0.0289986640041166,-0.0289986640041166,-0.0289986640041166,-0.0289986640041166,-0.0358688930117502,-0.0641311069882498,0.0358688930117502,0.0289986640041166,0.0289986640041166,0.0799002095943272,0.0799002095943272
"MIR340",0.0323461120760767,-0.0516792692073929,-0.0516792692073929,-0.043707716320673,-0.0430066126952978,-0.0299332434433689,-0.0299332434433689,-0.0299332434433689,-0.0299332434433689,-0.0289986640041166,0.0289986640041166,0.0289986640041166,0.0299332434433689,0.0299332434433689,0.0783476981788021,0.0783476981788021
"MIR34",0.153838614470343,-0.283152065795271,-0.283152065795271,0.328399577814962,-0.270524987430426,-0.152852885472255,-0.152852885472255,-0.152852885472255,-0.152852885472255,-0.152253056851861,0.152253056851861,0.152253056851861,0.152852885472255,0.152852885472255,-0.383333077021877,-0.383333077021877
"SNAIL1",0.154707476866786,-0.285034100914586,-0.285034100914586,0.23040613309516,-0.272036445255878,-0.153838614470343,-0.153838614470343,-0.153838614470343,-0.153838614470343,-0.152852885472255,0.152852885472255,0.152852885472255,0.153838614470343,0.153838614470343,-0.387542163786806,-0.387542163786806
