"","HA","CD44s","CD24","MIR190","MIR1199","HAS2","ESRP1","MIR34","MIR200","MIR129","TWIST1","ZEB1","SNAIL1","TGFB","MIR340","GRHL2"
"GRHL2",0.113426634447577,0.113426634447577,0.0134266344475769,0.123108163109997,0.123108163109997,0.123108163109997,0.123108163109997,0.136354767484675,0.136354767484675,0.0541242259112894,0.043076408497594,-0.118035379695793,-0.0435828323355807,-0.122279131906579,-0.123108163109997,-0.123108163109997
"HAS2",0.154916512059369,0.0549165120593692,0.0549165120593692,0.0734915756726008,0.0734915756726008,0.0734915756726008,0.0734915756726008,0.0497558547390167,0.0497558547390167,0.0371366280778046,0.0198795243971715,-0.0802035552817766,-0.013200396721357,-0.04590892542211,-0.0734915756726008,-0.0734915756726008
"ESRP1",0.0549165120593692,0.154916512059369,0.0549165120593692,0.0734915756726008,0.0734915756726008,0.0734915756726008,0.0734915756726008,0.0497558547390167,0.0497558547390167,0.0371366280778046,0.0198795243971715,-0.0802035552817766,-0.013200396721357,-0.04590892542211,-0.0734915756726008,-0.0734915756726008
"MIR340",0.0734915756726008,0.0734915756726008,0.0734915756726008,0.0802035552817766,0.0802035552817766,0.0802035552817766,0.0802035552817766,0.0557621771836953,0.0557621771836953,0.0350361714568,0.0281900266802765,-0.070998908275521,-0.0192552690013949,-0.055860616243366,-0.0802035552817766,-0.0802035552817766
"HA",0.0734915756726008,0.0734915756726008,0.0734915756726008,0.0802035552817766,0.0802035552817766,0.0802035552817766,0.0802035552817766,0.0557621771836953,0.0557621771836953,0.0350361714568,0.0281900266802765,-0.070998908275521,-0.0192552690013949,-0.055860616243366,-0.0802035552817766,-0.0802035552817766
"CD44s",0.0734915756726008,0.0734915756726008,0.0734915756726008,0.0802035552817766,0.0802035552817766,0.0802035552817766,0.0802035552817766,0.0557621771836953,0.0557621771836953,0.0350361714568,0.0281900266802765,-0.070998908275521,-0.0192552690013949,-0.055860616243366,-0.0802035552817766,-0.0802035552817766
"TGFB",0.0438623287098964,0.0438623287098964,0.0438623287098964,0.0488323372788767,0.0488323372788767,0.0488323372788767,0.0488323372788767,0.0871655999542642,0.0871655999542642,0.0831924920412002,0.0199191234602935,-0.0495238188148485,-0.0262281825842853,-0.104749238966858,-0.0488323372788767,-0.0488323372788767
"MIR34",0.0438623287098964,0.0438623287098964,0.0438623287098964,0.0488323372788767,0.0488323372788767,0.0488323372788767,0.0488323372788767,0.0871655999542642,0.0871655999542642,0.0831924920412002,0.0199191234602935,-0.0495238188148485,-0.0262281825842853,-0.104749238966858,-0.0488323372788767,-0.0488323372788767
"ZEB1",-0.0802035552817766,-0.0802035552817766,-0.0802035552817766,-0.070998908275521,-0.070998908275521,-0.070998908275521,-0.070998908275521,-0.0524538240489851,-0.0524538240489851,-0.0418607273932288,-0.0328955424172662,-0.029602089992789,0.0158687499522252,0.0621370390075937,0.070998908275521,0.070998908275521
"MIR129",0.0110954746136865,0.0110954746136865,0.0110954746136865,0.00051425255705464,0.00051425255705464,0.00051425255705464,0.00051425255705464,0.00735786618326604,0.00735786618326604,0.00614983543396838,-0.0947820356414627,-0.000890098209773256,-0.00426187087713476,-0.012078438076847,-0.00051425255705464,-0.00051425255705464
"TWIST1",-0.00051425255705464,-0.00051425255705464,-0.00051425255705464,-0.000890098209773256,-0.000890098209773256,-0.000890098209773256,-0.000890098209773256,-0.00606436448939477,-0.00606436448939477,-0.005025064311813,-0.000406248877365759,0.00522203975465843,0.00273861027606436,0.00545685453218652,0.000890098209773256,0.000890098209773256
"SNAIL1",-0.0488323372788767,-0.0488323372788767,-0.0488323372788767,-0.0495238188148485,-0.0495238188148485,-0.0495238188148485,-0.0495238188148485,-0.088183159612076,-0.088183159612076,-0.0833292493729127,-0.0220312644722978,0.0472910445170105,-0.0726606174796687,0.107755902383077,0.0495238188148485,0.0495238188148485
"MIR190",-0.0481229803389691,-0.0481229803389691,-0.0481229803389691,-0.0438623287098964,-0.0438623287098964,-0.0438623287098964,-0.0438623287098964,-0.085358844259056,-0.085358844259056,-0.0864041066474475,-0.0224268225364044,0.0488323372788767,0.0246961491581014,0.0084950900811297,0.0438623287098964,0.0438623287098964
"MIR200",-0.0686014482947942,-0.0686014482947942,-0.0686014482947942,-0.0708799293074525,-0.0708799293074525,-0.0708799293074525,-0.0708799293074525,-0.163234920197384,-0.163234920197384,-0.096397804324211,-0.0493533114161934,0.0674886096799705,0.0742347418452677,0.0628714882720398,0.0708799293074525,0.0708799293074525
"MIR1199",-0.0734915756726008,-0.0734915756726008,-0.0734915756726008,-0.0802035552817766,-0.0802035552817766,-0.0802035552817766,-0.0802035552817766,-0.0557621771836953,-0.0557621771836953,-0.0350361714568,-0.0281900266802765,0.070998908275521,0.0192552690013949,0.055860616243366,0.0802035552817766,0.0802035552817766
"CD24",-0.0734915756726008,-0.0734915756726008,-0.0734915756726008,-0.0802035552817766,-0.0802035552817766,-0.0802035552817766,-0.0802035552817766,-0.0557621771836953,-0.0557621771836953,-0.0350361714568,-0.0281900266802765,0.070998908275521,0.0192552690013949,0.055860616243366,0.0802035552817766,0.0802035552817766
