"","SNAIL1","MIR34","HA","CD24","MIR190","MIR1199","HAS2","GRHL2","ESRP1","TGFB","MIR200","ZEB1","MIR340","CD44s","TWIST1","MIR129"
"GRHL2",0.178380137896783,0.24937243121267,0.204644530958667,0.304644530958667,0.204517142423635,0.204517142423635,0.204517142423635,0.204517142423635,0.204517142423635,0.176966098692653,0.156698459847659,-0.204473031263512,-0.204517142423635,-0.204644530958667,-0.213834515392739,-0.213834515392739
"MIR340",0.153500086070328,0.143714083819175,0.103827179726853,0.103827179726853,0.103742217959648,0.103742217959648,0.103742217959648,0.103742217959648,0.103742217959648,0.0790947115226152,0.0616661170723725,-0.103712429458009,-0.103742217959648,-0.103827179726853,-0.192244392405875,-0.192244392405875
"MIR1199",0.153500086070328,0.143714083819175,0.103827179726853,0.103827179726853,0.103742217959648,0.103742217959648,0.103742217959648,0.103742217959648,0.103742217959648,0.0790947115226152,0.0616661170723725,-0.103712429458009,-0.103742217959648,-0.103827179726853,-0.192244392405875,-0.192244392405875
"CD44s",0.153500086070328,0.143714083819175,0.103827179726853,0.103827179726853,0.103742217959648,0.103742217959648,0.103742217959648,0.103742217959648,0.103742217959648,0.0790947115226152,0.0616661170723725,-0.103712429458009,-0.103742217959648,-0.103827179726853,-0.192244392405875,-0.192244392405875
"CD24",0.153500086070328,0.143714083819175,0.103827179726853,0.103827179726853,0.103742217959648,0.103742217959648,0.103742217959648,0.103742217959648,0.103742217959648,0.0790947115226152,0.0616661170723725,-0.103712429458009,-0.103742217959648,-0.103827179726853,-0.192244392405875,-0.192244392405875
"TGFB",0.0852167723099512,0.133539121948551,0.0787274232620066,0.0787274232620066,0.0749570719338146,0.0749570719338146,0.0749570719338146,0.0749570719338146,0.0749570719338146,-0.0411506919450238,-0.0583501073960515,-0.0775023124811149,-0.0749570719338146,-0.0787274232620066,-0.18768254717843,-0.18768254717843
"MIR34",0.0852167723099512,0.133539121948551,0.0787274232620066,0.0787274232620066,0.0749570719338146,0.0749570719338146,0.0749570719338146,0.0749570719338146,0.0749570719338146,-0.0411506919450238,-0.0583501073960515,-0.0775023124811149,-0.0749570719338146,-0.0787274232620066,-0.18768254717843,-0.18768254717843
"SNAIL1",-0.00853972301341595,0.131729126451027,0.0749570719338146,0.0749570719338146,0.0775023124811149,0.0775023124811149,0.0775023124811149,0.0775023124811149,0.0775023124811149,-0.047082757604052,-0.0534243982560245,-0.0756635571770131,-0.0775023124811149,-0.0749570719338146,-0.184111661294826,-0.184111661294826
"MIR190",0.0938982950583263,0.130894450568608,0.0737148919336858,0.0737148919336858,0.0787274232620066,0.0787274232620066,0.0787274232620066,0.0787274232620066,0.0787274232620066,0.0509308632944261,-0.0510968997500709,-0.0749570719338146,-0.0787274232620066,-0.0737148919336858,-0.181567281010371,-0.181567281010371
"MIR129",-0.0379696501520668,0.00180286440291738,0.0155573951434879,0.0155573951434879,0.0115335501360363,0.0115335501360363,0.0115335501360363,0.0115335501360363,0.0115335501360363,0.0198959121552598,0.015488276929303,-0.0144150334735457,-0.0115335501360363,-0.0155573951434879,0.248965466024094,0.280089985904763
"TWIST1",-0.0312041773923577,-0.000137388137889516,0.0115335501360363,0.0115335501360363,0.0144150334735457,0.0144150334735457,0.0144150334735457,0.0144150334735457,0.0144150334735457,0.0135560981231381,0.0209702602985669,-0.0124317349349236,-0.0144150334735457,-0.0115335501360363,0.153306470208194,0.284405968117685
"ZEB1",-0.153695462169319,-0.14373236201329,-0.103742217959648,-0.103742217959648,-0.103712429458009,-0.103712429458009,-0.103712429458009,-0.103712429458009,-0.103712429458009,-0.0788670692461924,-0.0616112824900292,0.00364112457871842,0.103712429458009,0.103742217959648,0.192774152455735,0.192774152455735
"MIR200",0.0174388429731827,-0.0127748152229232,-0.09612706704352,-0.09612706704352,-0.0940511176764314,-0.0940511176764314,-0.0940511176764314,-0.0940511176764314,-0.0940511176764314,-0.0857491445103545,-0.17318338534479,0.0955798472494414,0.0940511176764314,0.09612706704352,-0.0649851724138159,-0.0649851724138159
"HA",-0.153500086070328,-0.143714083819175,-0.103827179726853,-0.103827179726853,-0.103742217959648,-0.103742217959648,-0.103742217959648,-0.103742217959648,-0.103742217959648,-0.0790947115226152,-0.0616661170723725,0.103712429458009,0.103742217959648,0.103827179726853,0.192244392405875,0.192244392405875
"HAS2",-0.153405478690953,-0.143503335663222,-0.00408163265306122,-0.104081632653061,-0.103827179726853,-0.103827179726853,-0.103827179726853,-0.103827179726853,-0.103827179726853,-0.0795778033100548,-0.0619822393063029,0.103742217959648,0.103827179726853,0.104081632653061,0.190874529392176,0.190874529392176
"ESRP1",-0.153405478690953,-0.143503335663222,-0.104081632653061,-0.104081632653061,-0.103827179726853,-0.103827179726853,-0.103827179726853,-0.103827179726853,-0.103827179726853,-0.0795778033100548,-0.0619822393063029,0.103742217959648,0.103827179726853,0.00408163265306122,0.190874529392176,0.190874529392176
