"","HA","CD44s","CD24","MIR340","MIR190","HAS2","GRHL2","ESRP1","MIR34","MIR200","TWIST1","MIR129","SNAIL1","ZEB1","TGFB","MIR1199"
"GRHL2",0.510296176966334,0.510296176966334,0.610296176966334,0.535901272507735,0.535901272507735,0.535901272507735,0.535901272507735,0.535901272507735,0.424849713172908,0.442204981090899,0.077698185542126,0.0583311244448714,-0.0618854958601138,-0.542076834925027,-0.458058606384934,-0.535901272507735
"ESRP1",0.346474953617811,0.446474953617811,0.346474953617811,0.341131442167429,0.341131442167429,0.341131442167429,0.341131442167429,0.341131442167429,0.292857940691487,0.259178522193445,0.0563742531977826,0.0318505337799455,-0.0477290224875141,-0.377070269695042,-0.299776040952512,-0.341131442167429
"MIR340",0.341131442167429,0.341131442167429,0.341131442167429,0.377070269695042,0.377070269695042,0.377070269695042,0.377070269695042,0.377070269695042,0.308769426465986,0.28784027140314,0.060666490640705,0.0458231365196716,-0.035713885306814,-0.372810513960755,-0.290017586846231,-0.377070269695042
"CD44s",0.341131442167429,0.341131442167429,0.341131442167429,0.377070269695042,0.377070269695042,0.377070269695042,0.377070269695042,0.377070269695042,0.308769426465986,0.28784027140314,0.060666490640705,0.0458231365196716,-0.035713885306814,-0.372810513960755,-0.290017586846231,-0.377070269695042
"CD24",0.341131442167429,0.341131442167429,0.341131442167429,0.377070269695042,0.377070269695042,0.377070269695042,0.377070269695042,0.377070269695042,0.308769426465986,0.28784027140314,0.060666490640705,0.0458231365196716,-0.035713885306814,-0.372810513960755,-0.290017586846231,-0.377070269695042
"MIR200",0.290111108505494,0.290111108505494,0.290111108505494,0.316490855340937,0.316490855340937,0.316490855340937,0.316490855340937,0.316490855340937,0.328494035995025,0.165567188154576,-0.055285139337814,-0.0240215997698198,0.0251176088717589,-0.311658664161882,-0.261781584294072,-0.316490855340937
"SNAIL1",0.111918343491452,0.111918343491452,0.111918343491452,0.119259817671237,0.119259817671237,0.119259817671237,0.119259817671237,0.119259817671237,0.104181213236673,0.0225714853630278,-0.055264782958502,-0.00789515933005587,-0.113107454773283,-0.115885398596677,-0.0155349471960715,-0.119259817671237
"MIR190",0.105293168729354,0.105293168729354,0.105293168729354,0.11757387048374,0.11757387048374,0.11757387048374,0.11757387048374,0.11757387048374,0.101940515023905,0.0227380451563029,-0.0516697838767021,-0.0065759461115576,-0.0107138058699456,-0.111918343491452,-0.111061167044188,-0.11757387048374
"TWIST1",-0.061706848366413,-0.061706848366413,-0.061706848366413,-0.0732578380932985,-0.0732578380932985,-0.0732578380932985,-0.0732578380932985,-0.0732578380932985,-0.052510289086099,-0.0414496952838512,-0.0581795789469823,-0.112072443706544,-0.0152247382922317,0.0685257573695685,0.0426247959611891,0.0732578380932985
"MIR129",-0.0690093818984547,-0.0690093818984547,-0.0690093818984547,-0.061706848366413,-0.061706848366413,-0.061706848366413,-0.061706848366413,-0.061706848366413,-0.0489069629388862,-0.030855300457858,0.0463706302580387,-0.104774510146513,-0.0096394494216402,0.0732578380932985,0.0501480419459735,0.061706848366413
"TGFB",-0.11757387048374,-0.11757387048374,-0.11757387048374,-0.111918343491452,-0.111918343491452,-0.111918343491452,-0.111918343491452,-0.111918343491452,-0.101704851237573,-0.0160609045435771,0.0564652084257562,0.0129551806034186,0.0159134344679029,0.119259817671237,0.0218245620181095,0.111918343491452
"MIR34",-0.11757387048374,-0.11757387048374,-0.11757387048374,-0.111918343491452,-0.111918343491452,-0.111918343491452,-0.111918343491452,-0.111918343491452,-0.101704851237573,-0.0160609045435771,0.0564652084257562,0.0129551806034186,0.0159134344679029,0.119259817671237,0.0218245620181095,0.111918343491452
"ZEB1",-0.377070269695042,-0.377070269695042,-0.377070269695042,-0.372810513960755,-0.372810513960755,-0.372810513960755,-0.372810513960755,-0.372810513960755,-0.310798306012687,-0.280583828339714,-0.0575190926974205,-0.0364432674015662,0.0456455036721673,0.293173150204007,0.321464741317776,0.372810513960755
"MIR1199",-0.341131442167429,-0.341131442167429,-0.341131442167429,-0.377070269695042,-0.377070269695042,-0.377070269695042,-0.377070269695042,-0.377070269695042,-0.308769426465986,-0.28784027140314,-0.060666490640705,-0.0458231365196716,0.035713885306814,0.372810513960755,0.290017586846231,0.377070269695042
"HA",-0.341131442167429,-0.341131442167429,-0.341131442167429,-0.377070269695042,-0.377070269695042,-0.377070269695042,-0.377070269695042,-0.377070269695042,-0.308769426465986,-0.28784027140314,-0.060666490640705,-0.0458231365196716,0.035713885306814,0.372810513960755,0.290017586846231,0.377070269695042
"HAS2",-0.246474953617811,-0.346474953617811,-0.346474953617811,-0.341131442167429,-0.341131442167429,-0.341131442167429,-0.341131442167429,-0.341131442167429,-0.292857940691487,-0.259178522193445,-0.0563742531977826,-0.0318505337799455,0.0477290224875141,0.377070269695042,0.299776040952512,0.341131442167429
