"","ZEB1","MIR200","MIR129","MIR34","MIR190","HAS2","GRHL2","HA","CD44s","CD24","MIR340","MIR1199","ESRP1","SNAIL1","TGFB","TWIST1"
"GRHL2",-0.11071381130512,0.12885032268013,0.0724371057986301,0.136947520339123,-0.109611032302032,-0.109611032302032,-0.109611032302032,-0.110502752047255,-0.110502752047255,0.0105027520472547,0.109611032302032,0.109611032302032,0.109611032302032,-0.047178938763895,-0.122981061910899,-0.0724371057986301
"ZEB1",-0.100199714427097,-0.0530902539933542,-0.0504530595160723,-0.0155860088970262,-0.00473266746774101,-0.00473266746774101,-0.00473266746774101,-0.00434541694644223,-0.00434541694644223,0.00434541694644223,0.00473266746774101,0.00473266746774101,0.00473266746774101,0.0293004884829251,0.0319175317780004,0.0504530595160723
"SNAIL1",-0.00972897329507948,0.102779711888722,-0.190619311506881,-0.0871780577182573,-0.0140732852772981,-0.0140732852772981,-0.0140732852772981,-0.00711433279826324,-0.00711433279826324,0.00711433279826324,0.0140732852772981,0.0140732852772981,0.0140732852772981,0.00133453165738745,-0.104535897994753,0.190619311506881
"MIR1199",-0.00473266746774101,-0.0494163369763555,-0.0555948482352995,-0.0197351589609999,-0.00434541694644223,-0.00434541694644223,-0.00434541694644223,-0.00969800828034198,-0.00969800828034198,0.00969800828034198,0.00434541694644223,0.00434541694644223,0.00434541694644223,0.0209970042758265,0.030324035843041,0.0555948482352995
"CD24",-0.00473266746774101,-0.0494163369763555,-0.0555948482352995,-0.0197351589609999,-0.00434541694644223,-0.00434541694644223,-0.00434541694644223,-0.00969800828034198,-0.00969800828034198,0.00969800828034198,0.00434541694644223,0.00434541694644223,0.00434541694644223,0.0209970042758265,0.030324035843041,0.0555948482352995
"ESRP1",-0.00434541694644223,-0.0501539555221932,-0.0511199623905506,-0.0123589735026227,-0.00969800828034198,-0.00969800828034198,-0.00969800828034198,0.00989486703772418,-0.0901051329622758,-0.00989486703772418,0.00969800828034198,0.00969800828034198,0.00969800828034198,0.0311199938690147,0.0406622000942488,0.0511199623905506
"TWIST1",-0.00423652325355892,0.0235249600512232,-0.336415652072164,-0.0324002414357116,0.00145241202827825,0.00145241202827825,0.00145241202827825,-0.00699158696946668,-0.00699158696946668,0.00699158696946668,-0.00145241202827825,-0.00145241202827825,-0.00145241202827825,0.0737384445447786,-0.0143888726123595,0.201444161541119
"MIR129",-0.00145241202827825,-0.0214615168729048,0.327182065883307,0.0199579870470451,0.00699158696946668,0.00699158696946668,0.00699158696946668,-0.00552704194260485,-0.00552704194260485,0.00552704194260485,-0.00699158696946668,-0.00699158696946668,-0.00699158696946668,-0.0872831131326749,0.0106413380955943,-0.292186839365387
"HAS2",0.00434541694644223,0.0501539555221932,0.0511199623905506,0.0123589735026227,0.00969800828034198,0.00969800828034198,0.00969800828034198,0.0901051329622758,-0.00989486703772418,0.00989486703772418,-0.00969800828034198,-0.00969800828034198,-0.00969800828034198,-0.0311199938690147,-0.0406622000942488,-0.0511199623905506
"MIR340",0.00473266746774101,0.0494163369763555,0.0555948482352995,0.0197351589609999,0.00434541694644223,0.00434541694644223,0.00434541694644223,0.00969800828034198,0.00969800828034198,-0.00969800828034198,-0.00434541694644223,-0.00434541694644223,-0.00434541694644223,-0.0209970042758265,-0.030324035843041,-0.0555948482352995
"HA",0.00473266746774101,0.0494163369763555,0.0555948482352995,0.0197351589609999,0.00434541694644223,0.00434541694644223,0.00434541694644223,0.00969800828034198,0.00969800828034198,-0.00969800828034198,-0.00434541694644223,-0.00434541694644223,-0.00434541694644223,-0.0209970042758265,-0.030324035843041,-0.0555948482352995
"CD44s",0.00473266746774101,0.0494163369763555,0.0555948482352995,0.0197351589609999,0.00434541694644223,0.00434541694644223,0.00434541694644223,0.00969800828034198,0.00969800828034198,-0.00969800828034198,-0.00434541694644223,-0.00434541694644223,-0.00434541694644223,-0.0209970042758265,-0.030324035843041,-0.0555948482352995
"MIR190",0.00711433279826324,-0.101532218225966,0.186318003624927,0.083556345430859,0.0160260723012624,0.0160260723012624,0.0160260723012624,0.00775539560953306,0.00775539560953306,-0.00775539560953306,-0.0160260723012624,-0.0160260723012624,-0.0160260723012624,-0.10416521779735,0.205888694246058,-0.186318003624927
"TGFB",0.0140732852772981,-0.10365319230295,0.195952847443669,0.0965702234093875,0.00711433279826324,0.00711433279826324,0.00711433279826324,0.0160260723012624,0.0160260723012624,-0.0160260723012624,-0.00711433279826324,-0.00711433279826324,-0.00711433279826324,-0.0909340200257622,0.106599931799401,-0.195952847443669
"MIR34",0.0140732852772981,-0.10365319230295,0.195952847443669,0.0965702234093875,0.00711433279826324,0.00711433279826324,0.00711433279826324,0.0160260723012624,0.0160260723012624,-0.0160260723012624,-0.00711433279826324,-0.00711433279826324,-0.00711433279826324,-0.0909340200257622,0.106599931799401,-0.195952847443669
"MIR200",0.0558479324107049,0.0372933141615275,-0.158951296396952,-0.169691783929488,0.052421469574648,0.052421469574648,0.052421469574648,0.0525733683088252,0.0525733683088252,-0.0525733683088252,-0.052421469574648,-0.052421469574648,-0.052421469574648,0.109951325951427,-0.142311142187268,0.158951296396952
