"","TWIST1","SNAIL1","ZEB1","MIR200","CD44s","MIR340","MIR190","MIR1199","HAS2","ESRP1","GRHL2","HA","CD24","TGFB","MIR129","MIR34"
"TWIST1",-0.0521740875075054,0.0187140959862152,-0.141930301073246,0.0734402777359299,0.143592443817175,0.141512764538799,0.141512764538799,0.141512764538799,0.141512764538799,0.141512764538799,-0.141512764538799,-0.143592443817175,-0.143592443817175,-0.0964004409283156,0.105821898727044,-0.0734402777359299
"ZEB1",-0.129954911485208,-0.113111726034984,-0.0823116771208179,-0.0816291157891152,-0.0177724601485545,-0.017087324610872,-0.017087324610872,-0.017087324610872,-0.017087324610872,-0.017087324610872,0.017087324610872,0.0177724601485545,0.0177724601485545,0.0574099260797576,0.0776658918378117,0.0816291157891152
"MIR200",0.135241335789505,0.118121781800963,-0.0722674768949985,0.191604305755564,0.0738338497377504,0.0717579003706618,0.0717579003706618,0.0717579003706618,0.0717579003706618,0.0717579003706618,-0.0717579003706618,-0.0738338497377504,-0.0738338497377504,-0.286092492116106,-0.0675062208424946,-0.191604305755564
"GRHL2",-0.0984172584246425,-0.0818339437612188,-0.025971476818729,0.00314636749153882,0.0247466475738727,0.026147921459223,0.026147921459223,0.026147921459223,0.026147921459223,0.026147921459223,-0.026147921459223,-0.0247466475738727,0.0752533524261273,-0.0120856318974799,0.068340801484122,-0.00314636749153882
"HA",0.13004839855283,0.114023481163607,-0.017087324610872,0.0820129578655181,0.020406274931902,0.0177724601485545,0.0177724601485545,0.0177724601485545,0.0177724601485545,0.0177724601485545,-0.0177724601485545,-0.020406274931902,-0.020406274931902,-0.05913350331553,-0.0783826260229161,-0.0820129578655181
"CD24",0.13004839855283,0.114023481163607,-0.017087324610872,0.0820129578655181,0.020406274931902,0.0177724601485545,0.0177724601485545,0.0177724601485545,0.0177724601485545,0.0177724601485545,-0.0177724601485545,-0.020406274931902,-0.020406274931902,-0.05913350331553,-0.0783826260229161,-0.0820129578655181
"TGFB",-0.0828480769556398,-0.0252409473220205,-0.0162464715663705,-0.0537476786409335,0.017753500159937,0.0155255652841872,0.0155255652841872,0.0155255652841872,0.0155255652841872,0.0155255652841872,-0.0155255652841872,-0.017753500159937,-0.017753500159937,0.0623186755595496,0.0213068112187727,0.0537476786409335
"MIR34",-0.0828480769556398,-0.0252409473220205,-0.0162464715663705,-0.0537476786409335,0.017753500159937,0.0155255652841872,0.0155255652841872,0.0155255652841872,0.0155255652841872,0.0155255652841872,-0.0155255652841872,-0.017753500159937,-0.017753500159937,0.0623186755595496,0.0213068112187727,0.0537476786409335
"MIR190",0.0834200083238756,0.0245445684919369,0.0155255652841872,0.0526217294395719,-0.0165003673278568,-0.017753500159937,-0.017753500159937,-0.017753500159937,-0.017753500159937,-0.017753500159937,0.017753500159937,0.0165003673278568,0.0165003673278568,-0.163598903155567,-0.0211748270568722,-0.0526217294395719
"SNAIL1",0.0833495205052523,-0.0747670469221237,0.0163576051287064,0.0535765845391775,-0.0155255652841872,-0.0162464715663705,-0.0162464715663705,-0.0162464715663705,-0.0162464715663705,-0.0162464715663705,0.0162464715663705,0.0155255652841872,0.0155255652841872,-0.0638626378543651,-0.0219602073591769,-0.0535765845391775
"MIR340",-0.13004839855283,-0.114023481163607,0.017087324610872,-0.0820129578655181,-0.020406274931902,-0.0177724601485545,-0.0177724601485545,-0.0177724601485545,-0.0177724601485545,-0.0177724601485545,0.0177724601485545,0.020406274931902,0.020406274931902,0.05913350331553,0.0783826260229161,0.0820129578655181
"MIR1199",-0.13004839855283,-0.114023481163607,0.017087324610872,-0.0820129578655181,-0.020406274931902,-0.0177724601485545,-0.0177724601485545,-0.0177724601485545,-0.0177724601485545,-0.0177724601485545,0.0177724601485545,0.020406274931902,0.020406274931902,0.05913350331553,0.0783826260229161,0.0820129578655181
"CD44s",-0.13004839855283,-0.114023481163607,0.017087324610872,-0.0820129578655181,-0.020406274931902,-0.0177724601485545,-0.0177724601485545,-0.0177724601485545,-0.0177724601485545,-0.0177724601485545,0.0177724601485545,0.020406274931902,0.020406274931902,0.05913350331553,0.0783826260229161,0.0820129578655181
"HAS2",-0.127765293529999,-0.113928873784231,0.0177724601485545,-0.0831720727232631,-0.0226963512677798,-0.020406274931902,-0.020406274931902,-0.020406274931902,-0.020406274931902,-0.020406274931902,0.020406274931902,-0.0773036487322201,0.0226963512677798,0.0598098318179454,0.0788392470274823,0.0831720727232631
"ESRP1",-0.127765293529999,-0.113928873784231,0.0177724601485545,-0.0831720727232631,0.0773036487322201,-0.020406274931902,-0.020406274931902,-0.020406274931902,-0.020406274931902,-0.020406274931902,0.020406274931902,0.0226963512677798,0.0226963512677798,0.0598098318179454,0.0788392470274823,0.0831720727232631
"MIR129",-0.0469890924088126,-0.0194139724785989,0.141512764538799,-0.0744873981547781,-0.14523178807947,-0.143592443817175,-0.143592443817175,-0.143592443817175,-0.143592443817175,-0.143592443817175,0.143592443817175,0.14523178807947,0.14523178807947,0.096992156904647,-0.105167962028117,0.0744873981547781
