"","TWIST1","MIR129","MIR200","MIR340","MIR190","MIR1199","HAS2","ESRP1","ZEB1","TGFB","SNAIL1","HA","CD44s","CD24","GRHL2","MIR34"
"GRHL2",0.111658093842926,0.111658093842926,0.202679343617559,0.182044111137618,0.182044111137618,0.182044111137618,0.182044111137618,0.182044111137618,-0.182485222738853,-0.00819268948678761,-0.0829310157342689,-0.181916722602586,-0.181916722602586,-0.0819167226025865,-0.182044111137618,-0.173283223916539
"TWIST1",0.0238903397783113,0.0497678355023713,0.0880255189102358,0.174456944215011,0.174456944215011,0.174456944215011,0.174456944215011,0.174456944215011,-0.175031056949876,-0.00251336686622165,-0.00838978934477308,-0.174381775084468,-0.174381775084468,-0.174381775084468,-0.174456944215011,-0.0811485061208292
"MIR129",0.124517954841073,0.0504217722012989,0.0885490791196599,0.174381775084468,0.174381775084468,0.174381775084468,0.174381775084468,0.174381775084468,-0.174456944215011,-0.00237248210995228,-0.00837606627629497,-0.175126931567329,-0.175126931567329,-0.175126931567329,-0.174381775084468,-0.0805325529332715
"MIR1199",0.0916239258995101,0.0916239258995101,0.0838472061392914,0.0629325248619167,0.0629325248619167,0.0629325248619167,0.0629325248619167,0.0629325248619167,-0.0630814673701086,-0.000771625705041349,-0.0577976772934759,-0.0616580983538454,-0.0616580983538454,-0.0616580983538454,-0.0629325248619167,-0.0774102688681349
"HA",0.0916239258995101,0.0916239258995101,0.0838472061392914,0.0629325248619167,0.0629325248619167,0.0629325248619167,0.0629325248619167,0.0629325248619167,-0.0630814673701086,-0.000771625705041349,-0.0577976772934759,-0.0616580983538454,-0.0616580983538454,-0.0616580983538454,-0.0629325248619167,-0.0774102688681349
"CD24",0.0916239258995101,0.0916239258995101,0.0838472061392914,0.0629325248619167,0.0629325248619167,0.0629325248619167,0.0629325248619167,0.0629325248619167,-0.0630814673701086,-0.000771625705041349,-0.0577976772934759,-0.0616580983538454,-0.0616580983538454,-0.0616580983538454,-0.0629325248619167,-0.0774102688681349
"ESRP1",0.0920805469040763,0.0920805469040763,0.0834257098273841,0.0616580983538454,0.0616580983538454,0.0616580983538454,0.0616580983538454,0.0616580983538454,-0.0629325248619167,-0.00106148077750512,-0.0583653215697294,-0.0649659863945578,-0.164965986394558,-0.0649659863945578,-0.0616580983538454,-0.0762511540103899
"MIR200",-0.061086166788391,-0.061086166788391,0.00764336936666038,0.0604361837181791,0.0604361837181791,0.0604361837181791,0.0604361837181791,0.0604361837181791,-0.0605240417396164,-0.0139681593135823,0.0124298109021708,-0.0599804875156474,-0.0599804875156474,-0.0599804875156474,-0.0604361837181791,-0.159258859675154
"ZEB1",-0.0910941658496503,-0.0910941658496503,-0.0837192587804905,-0.0630814673701086,-0.0630814673701086,-0.0630814673701086,-0.0630814673701086,-0.0630814673701086,-0.0367861092826367,0.000543983428618585,0.0584814936399428,0.0629325248619167,0.0629325248619167,0.0629325248619167,0.0630814673701086,0.07772099816808
"MIR34",-0.0847438947005148,-0.0847438947005148,-0.0363259803281486,0.00784898647525059,0.00784898647525059,0.00784898647525059,0.00784898647525059,0.00784898647525059,-0.00889356496576111,0.0597303448781119,-0.0155406982507925,-0.00784898647525059,-0.00784898647525059,-0.00784898647525059,-0.00784898647525059,-0.0455193617123765
"SNAIL1",-0.085032604623019,-0.085032604623019,-0.0356145890629527,0.00889356496576111,0.00889356496576111,0.00889356496576111,0.00889356496576111,0.00889356496576111,-0.0085500612276322,0.0603641820307204,-0.115964393190436,-0.00784898647525059,-0.00784898647525059,-0.00784898647525059,-0.00889356496576111,-0.0460866737339883
"MIR190",0.0835560372434097,0.0835560372434097,0.0353047705873788,-0.00784898647525059,-0.00784898647525059,-0.00784898647525059,-0.00784898647525059,-0.00784898647525059,0.00784898647525059,0.0400325759374405,0.0153549972294369,0.00860086617449871,0.00860086617449871,0.00860086617449871,0.00784898647525059,0.0444981519716066
"TGFB",0.0847438947005148,0.0847438947005148,0.0363259803281486,-0.00784898647525059,-0.00784898647525059,-0.00784898647525059,-0.00784898647525059,-0.00784898647525059,0.00889356496576111,-0.0597303448781119,0.0155406982507925,0.00784898647525059,0.00784898647525059,0.00784898647525059,0.00784898647525059,0.0455193617123765
"HAS2",-0.0920805469040763,-0.0920805469040763,-0.0834257098273841,-0.0616580983538454,-0.0616580983538454,-0.0616580983538454,-0.0616580983538454,-0.0616580983538454,0.0629325248619167,0.00106148077750512,0.0583653215697294,-0.0350340136054422,0.0649659863945578,0.0649659863945578,0.0616580983538454,0.0762511540103899
"MIR340",-0.0916239258995101,-0.0916239258995101,-0.0838472061392914,-0.0629325248619167,-0.0629325248619167,-0.0629325248619167,-0.0629325248619167,-0.0629325248619167,0.0630814673701086,0.000771625705041349,0.0577976772934759,0.0616580983538454,0.0616580983538454,0.0616580983538454,0.0629325248619167,0.0774102688681349
"CD44s",-0.0916239258995101,-0.0916239258995101,-0.0838472061392914,-0.0629325248619167,-0.0629325248619167,-0.0629325248619167,-0.0629325248619167,-0.0629325248619167,0.0630814673701086,0.000771625705041349,0.0577976772934759,0.0616580983538454,0.0616580983538454,0.0616580983538454,0.0629325248619167,0.0774102688681349
