"","TWIST1","MIR34","CD24","MIR190","MIR1199","HAS2","GRHL2","ESRP1","SNAIL1","MIR200","TGFB","ZEB1","MIR340","HA","CD44s","MIR129"
"MIR129",0.102229913102665,0.255964934651799,0.246421081677704,0.245228831305126,0.245228831305126,0.245228831305126,0.245228831305126,0.245228831305126,0.272692942499558,-0.00258855014731985,-0.0855396058021356,-0.244552309130232,-0.245228831305126,-0.246421081677704,-0.246421081677704,-0.151718348876734
"GRHL2",0.205646099249013,0.268148447969466,0.338691651377515,0.237927320167324,0.237927320167324,0.237927320167324,0.237927320167324,0.237927320167324,0.167868009198715,0.182599317673406,-0.0251024645747299,-0.237486208566089,-0.237927320167324,-0.238691651377515,-0.238691651377515,-0.205646099249013
"HAS2",0.184465973242444,0.169647566618505,0.155442176870748,0.154678818092122,0.154678818092122,0.154678818092122,0.154678818092122,0.154678818092122,0.143431602604081,0.0940969429691577,-0.0227522533810566,-0.15391416218728,-0.154678818092122,-0.255442176870748,-0.155442176870748,-0.184465973242444
"MIR340",0.183461407032398,0.168699199916714,0.154678818092122,0.15391416218728,0.15391416218728,0.15391416218728,0.15391416218728,0.15391416218728,0.142769350948452,0.0940969429691577,-0.022269161593617,-0.153586488669257,-0.15391416218728,-0.154678818092122,-0.154678818092122,-0.183461407032398
"MIR1199",0.183461407032398,0.168699199916714,0.154678818092122,0.15391416218728,0.15391416218728,0.15391416218728,0.15391416218728,0.15391416218728,0.142769350948452,0.0940969429691577,-0.022269161593617,-0.153586488669257,-0.15391416218728,-0.154678818092122,-0.154678818092122,-0.183461407032398
"CD44s",0.183461407032398,0.168699199916714,0.154678818092122,0.15391416218728,0.15391416218728,0.15391416218728,0.15391416218728,0.15391416218728,0.142769350948452,0.0940969429691577,-0.022269161593617,-0.153586488669257,-0.15391416218728,-0.154678818092122,-0.154678818092122,-0.183461407032398
"CD24",0.183461407032398,0.168699199916714,0.154678818092122,0.15391416218728,0.15391416218728,0.15391416218728,0.15391416218728,0.15391416218728,0.142769350948452,0.0940969429691577,-0.022269161593617,-0.153586488669257,-0.15391416218728,-0.154678818092122,-0.154678818092122,-0.183461407032398
"SNAIL1",0.26949356312124,0.214430381148131,0.120445099282084,0.120371537416555,0.120371537416555,0.120371537416555,0.120371537416555,0.120371537416555,0.105966420382136,-0.0966057186420139,-0.137448071742566,-0.120462464876648,-0.120371537416555,-0.120445099282084,-0.120445099282084,-0.26949356312124
"TGFB",0.27005578770717,0.214457396006303,0.120959238099564,0.120445099282084,0.120445099282084,0.120445099282084,0.120445099282084,0.120445099282084,0.205718598813665,-0.0965426839729459,-0.137626846324071,-0.120371537416555,-0.120445099282084,-0.120959238099564,-0.120959238099564,-0.27005578770717
"MIR34",0.27005578770717,0.214457396006303,0.120959238099564,0.120445099282084,0.120445099282084,0.120445099282084,0.120445099282084,0.120445099282084,0.205718598813665,-0.0965426839729459,-0.137626846324071,-0.120371537416555,-0.120445099282084,-0.120959238099564,-0.120959238099564,-0.27005578770717
"ZEB1",-0.182682348135546,-0.168242245063853,-0.15391416218728,-0.153586488669257,-0.153586488669257,-0.153586488669257,-0.153586488669257,-0.153586488669257,-0.142508849483131,-0.094151777551501,0.0219764786667877,0.0534336924993481,0.153586488669257,0.15391416218728,0.15391416218728,0.182682348135546
"MIR200",0.134038840623177,-0.00457657079723144,-0.101837805180766,-0.101989703914944,-0.101989703914944,-0.101989703914944,-0.101989703914944,-0.101989703914944,0.0833752654475478,-0.191879620771743,0.00384518073268705,0.102007275519231,0.101989703914944,0.101837805180766,0.101837805180766,-0.134038840623177
"MIR190",-0.271771581811877,-0.215059647904706,-0.122462997498061,-0.120959238099564,-0.120959238099564,-0.120959238099564,-0.120959238099564,-0.120959238099564,-0.205672173558326,0.096516499107798,0.0382432522036349,0.120445099282084,0.120959238099564,0.122462997498061,0.122462997498061,0.271771581811877
"HA",-0.183461407032398,-0.168699199916714,-0.154678818092122,-0.15391416218728,-0.15391416218728,-0.15391416218728,-0.15391416218728,-0.15391416218728,-0.142769350948452,-0.0940969429691577,0.022269161593617,0.153586488669257,0.15391416218728,0.154678818092122,0.154678818092122,0.183461407032398
"ESRP1",-0.184465973242444,-0.169647566618505,-0.155442176870748,-0.154678818092122,-0.154678818092122,-0.154678818092122,-0.154678818092122,-0.154678818092122,-0.143431602604081,-0.0940969429691577,0.0227522533810566,0.15391416218728,0.154678818092122,0.155442176870748,0.0554421768707483,0.184465973242444
"TWIST1",-0.200817779211451,-0.255102600189218,-0.245228831305126,-0.244552309130232,-0.244552309130232,-0.244552309130232,-0.244552309130232,-0.244552309130232,-0.27224008123978,0.00255775248794196,0.0849478898258043,0.244273951440601,0.244552309130232,0.245228831305126,0.245228831305126,0.150332003075007
